"Plot Title: SA_C_Salinity"
"#","Date Time, GMT-07:00","High Range, μS/cm (LGR S/N: 10745661, SEN S/N: 10745661)","Temp, °C (LGR S/N: 10745661, SEN S/N: 10745661)"
1,07/20/21 04:00:00 PM,402.0,25.28
2,07/20/21 04:15:00 PM,115.0,25.08
3,07/20/21 04:30:00 PM,0.0,25.17
4,07/20/21 04:45:00 PM,0.0,25.49
5,07/20/21 05:00:00 PM,0.0,25.69
6,07/20/21 05:15:00 PM,0.0,25.41
7,07/20/21 05:30:00 PM,0.0,27.05
8,07/20/21 05:45:00 PM,0.0,26.98
9,07/20/21 06:00:00 PM,0.0,26.46
10,07/20/21 06:15:00 PM,0.0,26.12
11,07/20/21 06:30:00 PM,0.0,25.89
12,07/20/21 06:45:00 PM,0.0,25.80
13,07/20/21 07:00:00 PM,0.0,25.69
14,07/20/21 07:15:00 PM,0.0,25.63
15,07/20/21 07:30:00 PM,0.0,25.59
16,07/20/21 07:45:00 PM,0.0,25.55
17,07/20/21 08:00:00 PM,0.0,25.51
18,07/20/21 08:15:00 PM,0.0,25.48
19,07/20/21 08:30:00 PM,0.0,25.49
20,07/20/21 08:45:00 PM,0.0,25.51
21,07/20/21 09:00:00 PM,0.0,25.47
22,07/20/21 09:15:00 PM,0.0,25.44
23,07/20/21 09:30:00 PM,0.0,25.40
24,07/20/21 09:45:00 PM,0.0,25.35
25,07/20/21 10:00:00 PM,0.0,25.29
26,07/20/21 10:15:00 PM,0.0,25.24
27,07/20/21 10:30:00 PM,0.0,25.17
28,07/20/21 10:45:00 PM,0.0,25.12
29,07/20/21 11:00:00 PM,0.0,25.04
30,07/20/21 11:15:00 PM,0.0,24.97
31,07/20/21 11:30:00 PM,0.0,24.89
32,07/20/21 11:45:00 PM,0.0,24.83
33,07/21/21 12:00:00 AM,0.0,24.76
34,07/21/21 12:15:00 AM,0.0,24.68
35,07/21/21 12:30:00 AM,0.0,24.61
36,07/21/21 12:45:00 AM,0.0,24.56
37,07/21/21 01:00:00 AM,0.0,24.47
38,07/21/21 01:15:00 AM,0.0,24.40
39,07/21/21 01:30:00 AM,0.0,24.32
40,07/21/21 01:45:00 AM,0.0,24.26
41,07/21/21 02:00:00 AM,0.0,24.19
42,07/21/21 02:15:00 AM,0.0,24.16
43,07/21/21 02:30:00 AM,0.0,24.10
44,07/21/21 02:45:00 AM,0.0,24.02
45,07/21/21 03:00:00 AM,0.0,23.99
46,07/21/21 03:15:00 AM,0.0,23.91
47,07/21/21 03:30:00 AM,0.0,23.84
48,07/21/21 03:45:00 AM,0.0,23.80
49,07/21/21 04:00:00 AM,0.0,23.72
50,07/21/21 04:15:00 AM,0.0,23.70
51,07/21/21 04:30:00 AM,0.0,23.63
52,07/21/21 04:45:00 AM,0.0,23.55
53,07/21/21 05:00:00 AM,0.0,23.54
54,07/21/21 05:15:00 AM,0.0,23.47
55,07/21/21 05:30:00 AM,0.0,23.42
56,07/21/21 05:45:00 AM,0.0,23.39
57,07/21/21 06:00:00 AM,0.0,23.32
58,07/21/21 06:15:00 AM,0.0,23.31
59,07/21/21 06:30:00 AM,0.0,23.26
60,07/21/21 06:45:00 AM,0.0,23.18
61,07/21/21 07:00:00 AM,0.0,22.98
62,07/21/21 07:15:00 AM,0.0,22.77
63,07/21/21 07:30:00 AM,0.0,22.53
64,07/21/21 07:45:00 AM,0.0,22.37
65,07/21/21 08:00:00 AM,0.0,22.25
66,07/21/21 08:15:00 AM,0.0,22.13
67,07/21/21 08:30:00 AM,0.0,22.10
68,07/21/21 08:45:00 AM,0.0,22.15
69,07/21/21 09:00:00 AM,0.0,22.21
70,07/21/21 09:15:00 AM,0.0,22.13
71,07/21/21 09:30:00 AM,0.0,22.09
