Date,Time,Abs Pres (kPa) c:1 2
07/20/21,14:00:00,101.996
07/20/21,14:15:00,101.957
07/20/21,14:30:00,101.964
07/20/21,14:45:00,101.937
07/20/21,15:00:00,101.937
07/20/21,15:15:00,101.956
07/20/21,15:30:00,101.929
07/20/21,15:45:00,101.927
07/20/21,16:00:00,101.919
07/20/21,16:15:00,101.886
07/20/21,16:30:00,101.870
07/20/21,16:45:00,101.875
07/20/21,17:00:00,101.864
07/20/21,17:15:00,101.831
07/20/21,17:30:00,101.809
07/20/21,17:45:00,101.818
07/20/21,18:00:00,101.784
07/20/21,18:15:00,101.795
07/20/21,18:30:00,101.777
07/20/21,18:45:00,101.747
07/20/21,19:00:00,101.728
07/20/21,19:15:00,101.728
07/20/21,19:30:00,101.743
07/20/21,19:45:00,101.725
07/20/21,20:00:00,101.725
07/20/21,20:15:00,101.710
07/20/21,20:30:00,101.710
07/20/21,20:45:00,101.710
07/20/21,21:00:00,101.695
07/20/21,21:15:00,101.706
07/20/21,21:30:00,101.691
07/20/21,21:45:00,101.721
07/20/21,22:00:00,101.703
07/20/21,22:15:00,101.733
07/20/21,22:30:00,101.714
07/20/21,22:45:00,101.714
07/20/21,23:00:00,101.711
07/20/21,23:15:00,101.723
07/20/21,23:30:00,101.723
07/20/21,23:45:00,101.719
07/21/21,00:00:00,101.701
07/21/21,00:15:00,101.701
07/21/21,00:30:00,101.697
07/21/21,00:45:00,101.709
07/21/21,01:00:00,101.705
07/21/21,01:15:00,101.721
07/21/21,01:30:00,101.702
07/21/21,01:45:00,101.714
07/21/21,02:00:00,101.710
07/21/21,02:15:00,101.710
07/21/21,02:30:00,101.692
07/21/21,02:45:00,101.707
07/21/21,03:00:00,101.718
07/21/21,03:15:00,101.715
07/21/21,03:30:00,101.730
07/21/21,03:45:00,101.727
07/21/21,04:00:00,101.742
07/21/21,04:15:00,101.738
07/21/21,04:30:00,101.738
07/21/21,04:45:00,101.765
07/21/21,05:00:00,101.780
07/21/21,05:15:00,101.762
07/21/21,05:30:00,101.762
07/21/21,05:45:00,101.773
07/21/21,06:00:00,101.773
07/21/21,06:15:00,101.785
07/21/21,06:30:00,101.785
07/21/21,06:45:00,101.782
07/21/21,07:00:00,101.790
07/21/21,07:15:00,101.783
07/21/21,07:30:00,101.792
07/21/21,07:45:00,101.800
07/21/21,08:00:00,102.031
07/21/21,08:15:00,102.042
07/21/21,08:30:00,102.044
07/21/21,08:45:00,102.067
07/21/21,09:00:00,102.060
07/21/21,09:15:00,102.068
07/21/21,09:30:00,102.099
07/21/21,09:45:00,102.115
07/21/21,10:00:00,102.088
07/21/21,10:15:00,103.676
07/21/21,10:30:00,104.025
07/21/21,10:45:00,104.491
07/21/21,11:00:00,105.113
07/21/21,11:15:00,105.845
07/21/21,11:30:00,106.717
07/21/21,11:45:00,107.745
07/21/21,12:00:00,108.873
07/21/21,12:15:00,110.065
07/21/21,12:30:00,111.316
07/21/21,12:45:00,112.581
07/21/21,13:00:00,113.929
07/21/21,13:15:00,115.355
07/21/21,13:30:00,116.869
07/21/21,13:45:00,118.396
07/21/21,14:00:00,119.931
07/21/21,14:15:00,121.518
07/21/21,14:30:00,123.067
07/21/21,14:45:00,124.504
07/21/21,15:00:00,125.861
07/21/21,15:15:00,127.136
07/21/21,15:30:00,128.298
07/21/21,15:45:00,129.345
07/21/21,16:00:00,130.331
07/21/21,16:15:00,131.203
07/21/21,16:30:00,131.963
07/21/21,16:45:00,132.524
07/21/21,17:00:00,133.027
07/21/21,17:15:00,133.115
07/21/21,17:30:00,132.996
07/21/21,17:45:00,132.827
07/21/21,18:00:00,132.658
07/21/21,18:15:00,132.647
07/21/21,18:30:00,132.601
