Date,Time,Intensity (Lux) c:2
07/20/21,14:00:00,107.6
07/20/21,14:15:00,96.9
07/20/21,14:30:00,96.9
07/20/21,14:45:00,96.9
07/20/21,15:00:00,96.9
07/20/21,15:15:00,96.9
07/20/21,15:30:00,107.6
07/20/21,15:45:00,193.8
07/20/21,16:00:00,10.8
07/20/21,16:15:00,21.5
07/20/21,16:30:00,118.4
07/20/21,16:45:00,118.4
07/20/21,17:00:00,118.4
07/20/21,17:15:00,118.4
07/20/21,17:30:00,161.5
07/20/21,17:45:00,161.5
07/20/21,18:00:00,0.0
07/20/21,18:15:00,0.0
07/20/21,18:30:00,0.0
07/20/21,18:45:00,0.0
07/20/21,19:00:00,0.0
07/20/21,19:15:00,0.0
07/20/21,19:30:00,0.0
07/20/21,19:45:00,0.0
07/20/21,20:00:00,0.0
07/20/21,20:15:00,0.0
07/20/21,20:30:00,301.4
07/20/21,20:45:00,0.0
07/20/21,21:00:00,0.0
07/20/21,21:15:00,0.0
07/20/21,21:30:00,0.0
07/20/21,21:45:00,0.0
07/20/21,22:00:00,0.0
07/20/21,22:15:00,0.0
07/20/21,22:30:00,0.0
07/20/21,22:45:00,0.0
07/20/21,23:00:00,0.0
07/20/21,23:15:00,0.0
07/20/21,23:30:00,0.0
07/20/21,23:45:00,0.0
07/21/21,00:00:00,0.0
07/21/21,00:15:00,0.0
07/21/21,00:30:00,0.0
07/21/21,00:45:00,0.0
07/21/21,01:00:00,0.0
07/21/21,01:15:00,0.0
07/21/21,01:30:00,0.0
07/21/21,01:45:00,0.0
07/21/21,02:00:00,0.0
07/21/21,02:15:00,0.0
07/21/21,02:30:00,0.0
07/21/21,02:45:00,0.0
07/21/21,03:00:00,0.0
07/21/21,03:15:00,0.0
07/21/21,03:30:00,0.0
07/21/21,03:45:00,0.0
07/21/21,04:00:00,0.0
07/21/21,04:15:00,0.0
07/21/21,04:30:00,0.0
07/21/21,04:45:00,0.0
07/21/21,05:00:00,0.0
07/21/21,05:15:00,0.0
07/21/21,05:30:00,0.0
07/21/21,05:45:00,0.0
07/21/21,06:00:00,0.0
07/21/21,06:15:00,0.0
07/21/21,06:30:00,0.0
07/21/21,06:45:00,0.0
07/21/21,07:00:00,0.0
07/21/21,07:15:00,0.0
07/21/21,07:30:00,0.0
07/21/21,07:45:00,0.0
07/21/21,08:00:00,115734.1
07/21/21,08:15:00,21355.7
07/21/21,08:30:00,28933.5
07/21/21,08:45:00,55111.5
