Date,Time,Temp (°C) c:1
07/22/21,05:00:00,17.284
07/22/21,05:15:00,17.189
07/22/21,05:30:00,17.189
07/22/21,05:45:00,17.094
07/22/21,06:00:00,16.999
07/22/21,06:15:00,16.903
07/22/21,06:30:00,16.903
07/22/21,06:45:00,16.903
07/22/21,07:00:00,16.999
07/22/21,07:15:00,17.189
07/22/21,07:30:00,17.475
07/22/21,07:45:00,17.760
07/22/21,08:00:00,18.140
07/22/21,08:15:00,18.426
07/22/21,08:30:00,18.711
07/22/21,08:45:00,18.616
07/22/21,09:00:00,18.711
07/22/21,09:15:00,17.189
07/22/21,09:30:00,17.379
07/22/21,09:45:00,21.473
07/22/21,10:00:00,22.238
07/22/21,10:15:00,23.100
07/22/21,10:30:00,23.966
07/22/21,10:45:00,24.835
07/22/21,11:00:00,25.708
07/22/21,11:15:00,26.683
07/22/21,11:30:00,27.567
07/22/21,11:45:00,28.357
07/22/21,12:00:00,29.152
07/22/21,12:15:00,29.953
07/22/21,12:30:00,30.659
07/22/21,12:45:00,29.552
07/22/21,13:00:00,26.488
07/22/21,13:15:00,25.125
07/22/21,13:30:00,23.196
07/22/21,13:45:00,22.429
07/22/21,14:00:00,22.046
07/22/21,14:15:00,21.091
07/22/21,14:30:00,18.236
07/22/21,14:45:00,15.187
07/22/21,15:00:00,14.230
07/22/21,15:15:00,14.230
07/22/21,15:30:00,14.421
07/22/21,15:45:00,14.421
07/22/21,16:00:00,14.325
07/22/21,16:15:00,14.134
07/22/21,16:30:00,14.134
07/22/21,16:45:00,14.134
07/22/21,17:00:00,14.230
07/22/21,17:15:00,14.230
07/22/21,17:30:00,14.134
07/22/21,17:45:00,14.230
07/22/21,18:00:00,14.325
07/22/21,18:15:00,14.230
07/22/21,18:30:00,14.230
07/22/21,18:45:00,14.230
07/22/21,19:00:00,14.325
07/22/21,19:15:00,14.230
07/22/21,19:30:00,14.230
07/22/21,19:45:00,14.230
07/22/21,20:00:00,14.325
07/22/21,20:15:00,14.421
07/22/21,20:30:00,14.230
07/22/21,20:45:00,14.134
07/22/21,21:00:00,14.134
07/22/21,21:15:00,14.230
07/22/21,21:30:00,14.517
07/22/21,21:45:00,14.421
07/22/21,22:00:00,14.325
07/22/21,22:15:00,14.230
07/22/21,22:30:00,14.230
07/22/21,22:45:00,14.230
07/22/21,23:00:00,14.230
07/22/21,23:15:00,14.230
07/22/21,23:30:00,14.230
07/22/21,23:45:00,14.230
07/23/21,00:00:00,14.230
07/23/21,00:15:00,14.230
07/23/21,00:30:00,14.325
07/23/21,00:45:00,14.709
07/23/21,01:00:00,15.282
07/23/21,01:15:00,15.473
07/23/21,01:30:00,15.664
07/23/21,01:45:00,15.951
07/23/21,02:00:00,16.046
07/23/21,02:15:00,16.141
07/23/21,02:30:00,16.141
07/23/21,02:45:00,16.237
07/23/21,03:00:00,16.332
07/23/21,03:15:00,16.523
07/23/21,03:30:00,16.713
07/23/21,03:45:00,16.332
07/23/21,04:00:00,16.332
07/23/21,04:15:00,16.332
07/23/21,04:30:00,16.523
07/23/21,04:45:00,16.713
07/23/21,05:00:00,16.999
07/23/21,05:15:00,17.189
07/23/21,05:30:00,17.475
07/23/21,05:45:00,17.855
07/23/21,06:00:00,17.760
07/23/21,06:15:00,17.665
07/23/21,06:30:00,17.475
07/23/21,06:45:00,17.855
07/23/21,07:00:00,18.045
07/23/21,07:15:00,18.140
07/23/21,07:30:00,18.521
07/23/21,07:45:00,18.901
07/23/21,08:00:00,18.996
07/23/21,08:15:00,18.901
07/23/21,08:30:00,18.521
07/23/21,08:45:00,18.616
07/23/21,09:00:00,18.426
07/23/21,09:15:00,18.331
07/23/21,09:30:00,18.331
07/23/21,09:45:00,18.426
07/23/21,10:00:00,18.806
07/23/21,10:15:00,19.472
07/23/21,10:30:00,20.519
07/23/21,10:45:00,21.282
