Date,Time,Abs Pres (kPa) c:1 2
07/20/21,14:00:00,101.974
07/20/21,14:15:00,101.946
07/20/21,14:30:00,101.952
07/20/21,14:45:00,101.940
07/20/21,15:00:00,101.925
07/20/21,15:15:00,101.925
07/20/21,15:30:00,101.934
07/20/21,15:45:00,101.922
07/20/21,16:00:00,101.900
07/20/21,16:15:00,101.894
07/20/21,16:30:00,101.879
07/20/21,16:45:00,101.870
07/20/21,17:00:00,101.858
07/20/21,17:15:00,101.858
07/20/21,17:30:00,101.849
07/20/21,17:45:00,101.834
07/20/21,18:00:00,101.823
07/20/21,18:15:00,101.802
07/20/21,18:30:00,101.794
07/20/21,18:45:00,101.788
07/20/21,19:00:00,101.770
07/20/21,19:15:00,101.752
07/20/21,19:30:00,101.749
07/20/21,19:45:00,101.734
07/20/21,20:00:00,101.731
07/20/21,20:15:00,101.716
07/20/21,20:30:00,101.698
07/20/21,20:45:00,101.713
07/20/21,21:00:00,101.713
07/20/21,21:15:00,101.713
07/20/21,21:30:00,101.728
07/20/21,21:45:00,101.725
07/20/21,22:00:00,101.710
07/20/21,22:15:00,101.722
07/20/21,22:30:00,101.737
07/20/21,22:45:00,101.734
07/20/21,23:00:00,101.750
07/20/21,23:15:00,101.731
07/20/21,23:30:00,101.744
07/20/21,23:45:00,101.726
07/21/21,00:00:00,101.711
07/21/21,00:15:00,101.708
07/21/21,00:30:00,101.720
07/21/21,00:45:00,101.705
07/21/21,01:00:00,101.717
07/21/21,01:15:00,101.714
07/21/21,01:30:00,101.726
07/21/21,01:45:00,101.726
07/21/21,02:00:00,101.708
07/21/21,02:15:00,101.720
07/21/21,02:30:00,101.705
07/21/21,02:45:00,101.717
07/21/21,03:00:00,101.714
07/21/21,03:15:00,101.714
07/21/21,03:30:00,101.726
07/21/21,03:45:00,101.741
07/21/21,04:00:00,101.753
07/21/21,04:15:00,101.735
07/21/21,04:30:00,101.766
07/21/21,04:45:00,101.763
07/21/21,05:00:00,101.763
07/21/21,05:15:00,101.760
07/21/21,05:30:00,101.790
07/21/21,05:45:00,101.772
07/21/21,06:00:00,101.784
07/21/21,06:15:00,101.784
07/21/21,06:30:00,101.784
07/21/21,06:45:00,101.781
07/21/21,07:00:00,101.775
07/21/21,07:15:00,101.784
07/21/21,07:30:00,101.811
07/21/21,07:45:00,101.805
07/21/21,08:00:00,101.814
07/21/21,08:15:00,101.811
07/21/21,08:30:00,101.823
07/21/21,08:45:00,101.838
07/21/21,09:00:00,101.853
07/21/21,09:15:00,101.865
07/21/21,09:30:00,101.880
07/21/21,09:45:00,101.895
07/21/21,10:00:00,101.895
07/21/21,10:15:00,101.910
07/21/21,10:30:00,101.910
07/21/21,10:45:00,101.910
07/21/21,11:00:00,101.913
07/21/21,11:15:00,101.928
07/21/21,11:30:00,101.931
07/21/21,11:45:00,101.949
07/21/21,12:00:00,101.934
07/21/21,12:15:00,101.922
07/21/21,12:30:00,101.910
07/21/21,12:45:00,101.932
07/21/21,13:00:00,101.935
07/21/21,13:15:00,101.941
07/21/21,13:30:00,101.947
07/21/21,13:45:00,101.938
