Site Name ,LIZ E - SA
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,14727


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,20/07/2021 , 14:15:00,97,97
2,20/07/2021 , 14:30:00,102,102
3,20/07/2021 , 14:45:00,100,100
4,20/07/2021 , 15:00:00,102,102
5,20/07/2021 , 15:15:00,103,103
6,20/07/2021 , 15:30:00,104,104
7,20/07/2021 , 15:45:00,95,95
8,20/07/2021 , 16:00:00,30,30
9,20/07/2021 , 16:15:00,30,30
10,20/07/2021 , 16:30:00,29,29
11,20/07/2021 , 16:45:00,34,34
12,20/07/2021 , 17:00:00,40,40
13,20/07/2021 , 17:15:00,51,51
14,20/07/2021 , 17:30:00,10,10
15,20/07/2021 , 17:45:00,63,63
16,20/07/2021 , 18:00:00,14,14
17,20/07/2021 , 18:15:00,0,0
18,20/07/2021 , 18:30:00,0,0
19,20/07/2021 , 18:45:00,0,0
20,20/07/2021 , 19:00:00,0,0
21,20/07/2021 , 19:15:00,0,0
22,20/07/2021 , 19:30:00,0,0
23,20/07/2021 , 19:45:00,0,0
24,20/07/2021 , 20:00:00,0,0
25,20/07/2021 , 20:15:00,0,0
26,20/07/2021 , 20:30:00,53,53
27,20/07/2021 , 20:45:00,48,48
28,20/07/2021 , 21:00:00,0,0
29,20/07/2021 , 21:15:00,0,0
30,20/07/2021 , 21:30:00,0,0
31,20/07/2021 , 21:45:00,0,0
32,20/07/2021 , 22:00:00,0,0
33,20/07/2021 , 22:15:00,0,0
34,20/07/2021 , 22:30:00,0,0
35,20/07/2021 , 22:45:00,0,0
36,20/07/2021 , 23:00:00,0,0
37,20/07/2021 , 23:15:00,0,0
38,20/07/2021 , 23:30:00,0,0
39,20/07/2021 , 23:45:00,0,0
40,20/07/2021 , 24:00:00,0,0
41,21/07/2021 , 00:15:00,0,0
42,21/07/2021 , 00:30:00,0,0
43,21/07/2021 , 00:45:00,0,0
44,21/07/2021 , 01:00:00,0,0
45,21/07/2021 , 01:15:00,0,0
46,21/07/2021 , 01:30:00,0,0
47,21/07/2021 , 01:45:00,0,0
48,21/07/2021 , 02:00:00,0,0
49,21/07/2021 , 02:15:00,0,0
50,21/07/2021 , 02:30:00,0,0
51,21/07/2021 , 02:45:00,0,0
52,21/07/2021 , 03:00:00,0,0
53,21/07/2021 , 03:15:00,0,0
54,21/07/2021 , 03:30:00,0,0
55,21/07/2021 , 03:45:00,0,0
56,21/07/2021 , 04:00:00,0,0
57,21/07/2021 , 04:15:00,0,0
58,21/07/2021 , 04:30:00,0,0
59,21/07/2021 , 04:45:00,0,0
60,21/07/2021 , 05:00:00,0,0
61,21/07/2021 , 05:15:00,0,0
62,21/07/2021 , 05:30:00,0,0
63,21/07/2021 , 05:45:00,0,0
64,21/07/2021 , 06:00:00,0,0
65,21/07/2021 , 06:15:00,0,0
66,21/07/2021 , 06:30:00,0,0
67,21/07/2021 , 06:45:00,0,0
68,21/07/2021 , 07:00:00,0,0
69,21/07/2021 , 07:15:00,4,4
70,21/07/2021 , 07:30:00,0,0
71,21/07/2021 , 07:45:00,6,6
72,21/07/2021 , 08:00:00,15,15
73,21/07/2021 , 08:15:00,4,4
74,21/07/2021 , 08:30:00,26,26
75,21/07/2021 , 08:45:00,54,54
76,21/07/2021 , 09:00:00,51,51
77,21/07/2021 , 09:15:00,13,13
78,21/07/2021 , 09:30:00,8,8
79,21/07/2021 , 09:45:00,9,9
80,21/07/2021 , 10:00:00,9,9
81,21/07/2021 , 10:15:00,7,7
82,21/07/2021 , 10:30:00,10,10
83,21/07/2021 , 10:45:00,14,14
84,21/07/2021 , 11:00:00,12,12
85,21/07/2021 , 11:15:00,11,11
86,21/07/2021 , 11:30:00,13,13
87,21/07/2021 , 11:45:00,15,15
88,21/07/2021 , 12:00:00,17,17
89,21/07/2021 , 12:15:00,13,13
90,21/07/2021 , 12:30:00,23,23
91,21/07/2021 , 12:45:00,23,23
92,21/07/2021 , 13:00:00,11,11
93,21/07/2021 , 13:15:00,65,65
94,21/07/2021 , 13:30:00,131,131
95,21/07/2021 , 13:45:00,119,119
96,21/07/2021 , 14:00:00,132,132
97,21/07/2021 , 14:15:00,122,122
98,21/07/2021 , 14:30:00,136,136
99,21/07/2021 , 14:45:00,135,135
100,21/07/2021 , 15:00:00,126,126
101,21/07/2021 , 15:15:00,133,133
102,21/07/2021 , 15:30:00,141,141
103,21/07/2021 , 15:45:00,109,109
104,21/07/2021 , 16:00:00,101,101
105,21/07/2021 , 16:15:00,1400,1400
106,21/07/2021 , 16:30:00,11446,11446
107,21/07/2021 , 16:45:00,12574,12574
108,21/07/2021 , 17:00:00,2813,2813
109,21/07/2021 , 17:15:00,2183,2183
110,21/07/2021 , 17:30:00,3713,3713
111,21/07/2021 , 17:45:00,1181,1181
