Date,Time,Abs Pres (kPa) c:1 2
07/20/21,14:00:00,101.850
07/20/21,14:15:00,101.855
07/20/21,14:30:00,101.829
07/20/21,14:45:00,101.842
07/20/21,15:00:00,101.807
07/20/21,15:15:00,101.807
07/20/21,15:30:00,101.812
07/20/21,15:45:00,101.804
07/20/21,16:00:00,101.795
07/20/21,16:15:00,101.793
07/20/21,16:30:00,101.778
07/20/21,16:45:00,101.767
07/20/21,17:00:00,101.754
07/20/21,17:15:00,101.732
07/20/21,17:30:00,101.732
07/20/21,17:45:00,101.721
07/20/21,18:00:00,101.704
07/20/21,18:15:00,101.688
07/20/21,18:30:00,101.671
07/20/21,18:45:00,101.671
07/20/21,19:00:00,101.640
07/20/21,19:15:00,101.655
07/20/21,19:30:00,101.622
07/20/21,19:45:00,101.622
07/20/21,20:00:00,101.622
07/20/21,20:15:00,101.620
07/20/21,20:30:00,101.607
07/20/21,20:45:00,101.607
07/20/21,21:00:00,101.607
07/20/21,21:15:00,101.605
07/20/21,21:30:00,101.620
07/20/21,21:45:00,101.633
07/20/21,22:00:00,101.617
07/20/21,22:15:00,101.646
07/20/21,22:30:00,101.646
07/20/21,22:45:00,101.628
07/20/21,23:00:00,101.641
07/20/21,23:15:00,101.625
07/20/21,23:30:00,101.638
07/20/21,23:45:00,101.636
07/21/21,00:00:00,101.605
07/21/21,00:15:00,101.618
07/21/21,00:30:00,101.600
07/21/21,00:45:00,101.616
07/21/21,01:00:00,101.629
07/21/21,01:15:00,101.626
07/21/21,01:30:00,101.639
07/21/21,01:45:00,101.624
07/21/21,02:00:00,101.621
07/21/21,02:15:00,101.606
07/21/21,02:30:00,101.604
07/21/21,02:45:00,101.601
07/21/21,03:00:00,101.617
07/21/21,03:15:00,101.614
07/21/21,03:30:00,101.614
07/21/21,03:45:00,101.612
07/21/21,04:00:00,101.627
07/21/21,04:15:00,101.640
07/21/21,04:30:00,101.640
07/21/21,04:45:00,101.653
07/21/21,05:00:00,101.653
07/21/21,05:15:00,101.650
07/21/21,05:30:00,101.663
07/21/21,05:45:00,101.648
07/21/21,06:00:00,101.645
07/21/21,06:15:00,101.645
07/21/21,06:30:00,101.676
07/21/21,06:45:00,101.674
07/21/21,07:00:00,101.651
07/21/21,07:15:00,101.662
07/21/21,07:30:00,101.672
07/21/21,07:45:00,101.680
07/21/21,08:00:00,101.708
07/21/21,08:15:00,101.690
07/21/21,08:30:00,101.719
07/21/21,08:45:00,101.719
07/21/21,09:00:00,101.721
07/21/21,09:15:00,101.749
07/21/21,09:30:00,101.749
07/21/21,09:45:00,101.780
07/21/21,10:00:00,101.780
07/21/21,10:15:00,101.780
07/21/21,10:30:00,101.780
07/21/21,10:45:00,101.797
07/21/21,11:00:00,101.800
07/21/21,11:15:00,101.831
07/21/21,11:30:00,101.833
07/21/21,11:45:00,101.835
07/21/21,12:00:00,101.853
07/21/21,12:15:00,101.825
07/21/21,12:30:00,101.812
07/21/21,12:45:00,101.832
07/21/21,13:00:00,101.822
07/21/21,13:15:00,101.842
07/21/21,13:30:00,101.847
07/21/21,13:45:00,101.834
07/21/21,14:00:00,101.839
07/21/21,14:15:00,101.844
07/21/21,14:30:00,101.846
07/21/21,14:45:00,101.845
07/21/21,15:00:00,101.859
07/21/21,15:15:00,101.859
07/21/21,15:30:00,101.865
07/21/21,15:45:00,101.873
07/21/21,16:00:00,101.868
07/21/21,16:15:00,101.848
07/21/21,16:30:00,101.828
07/21/21,16:45:00,101.840
07/21/21,17:00:00,101.823
07/21/21,17:15:00,101.807
07/21/21,17:30:00,101.805
07/21/21,17:45:00,101.787
07/21/21,18:00:00,101.803
07/21/21,18:15:00,101.787
07/21/21,18:30:00,101.785
07/21/21,18:45:00,101.770
07/21/21,19:00:00,101.770
07/21/21,19:15:00,101.770
07/21/21,19:30:00,101.770
07/21/21,19:45:00,101.752
07/21/21,20:00:00,101.752
07/21/21,20:15:00,101.737
07/21/21,20:30:00,101.737
07/21/21,20:45:00,101.752
07/21/21,21:00:00,101.752
07/21/21,21:15:00,101.752
07/21/21,21:30:00,101.770
07/21/21,21:45:00,101.767
07/21/21,22:00:00,101.782
07/21/21,22:15:00,101.782
07/21/21,22:30:00,101.798
07/21/21,22:45:00,101.780
07/21/21,23:00:00,101.795
07/21/21,23:15:00,101.826
07/21/21,23:30:00,101.780
07/21/21,23:45:00,101.811
07/22/21,00:00:00,101.793
07/22/21,00:15:00,101.808
07/22/21,00:30:00,101.808
07/22/21,00:45:00,101.808
07/22/21,01:00:00,101.790
07/22/21,01:15:00,101.806
07/22/21,01:30:00,101.806
07/22/21,01:45:00,101.834
07/22/21,02:00:00,101.819
07/22/21,02:15:00,101.819
07/22/21,02:30:00,101.816
07/22/21,02:45:00,101.816
07/22/21,03:00:00,101.801
07/22/21,03:15:00,101.814
07/22/21,03:30:00,101.798
07/22/21,03:45:00,101.811
07/22/21,04:00:00,101.827
07/22/21,04:15:00,101.842
07/22/21,04:30:00,101.840
07/22/21,04:45:00,101.824
07/22/21,05:00:00,101.822
07/22/21,05:15:00,101.852
