Sensor:             7392-122893,,,
#,         Pacific Standard Time,  Dissolved Oxygen,   Temperature
1,           2021-07-20 14:15:00,7.994,24.544
2,           2021-07-20 14:30:00,7.982,24.796
3,           2021-07-20 14:45:00,7.927,25.058
4,           2021-07-20 15:00:00,7.916,25.311
5,           2021-07-20 15:15:00,7.891,25.471
6,           2021-07-20 15:30:00,7.863,25.665
7,           2021-07-20 15:45:00,7.861,25.783
8,           2021-07-20 15:00:00,7.855,25.926
9,           2021-07-20 16:15:00,7.878,25.572
10,           2021-07-20 16:30:00,7.862,25.53
11,           2021-07-20 16:45:00,7.838,25.918
12,           2021-07-20 17:00:00,7.854,25.892
13,           2021-07-20 17:15:00,7.861,25.437
14,           2021-07-20 17:30:00,7.925,25.311
15,           2021-07-20 17:45:00,7.915,25.226
16,           2021-07-20 18:00:00,7.911,25.243
17,           2021-07-20 18:15:00,7.911,25.252
18,           2021-07-20 18:30:00,7.908,25.26
19,           2021-07-20 18:45:00,7.898,25.235
20,           2021-07-20 19:00:00,7.897,25.252
21,           2021-07-20 19:15:00,7.923,25.235
22,           2021-07-20 19:30:00,7.926,25.235
23,           2021-07-20 19:45:00,7.911,25.235
24,           2021-07-20 20:00:00,7.89,25.218
25,           2021-07-20 20:15:00,7.937,25.193
26,           2021-07-20 20:30:00,7.903,25.21
27,           2021-07-20 20:45:00,7.908,25.226
28,           2021-07-20 21:00:00,7.922,25.21
29,           2021-07-20 21:15:00,7.919,25.176
30,           2021-07-20 21:30:00,7.928,25.167
31,           2021-07-20 21:45:00,7.955,25.117
32,           2021-07-20 22:00:00,7.952,25.083
33,           2021-07-20 22:15:00,7.94,25.041
34,           2021-07-20 22:30:00,7.967,24.99
35,           2021-07-20 22:45:00,7.969,24.931
36,           2021-07-20 23:00:00,7.98,24.864
37,           2021-07-20 23:15:00,7.989,24.805
38,           2021-07-20 23:30:00,7.998,24.721
39,           2021-07-20 23:45:00,8.019,24.636
40,           2021-07-21 00:00:00,8.029,24.569
41,           2021-07-21 00:15:00,8.046,24.476
42,           2021-07-21 00:30:00,8.063,24.383
43,           2021-07-21 00:45:00,8.063,24.341
44,           2021-07-21 01:00:00,8.06,24.249
45,           2021-07-21 01:15:00,8.066,24.206
46,           2021-07-21 01:30:00,8.06,24.097
47,           2021-07-21 01:45:00,8.075,24.013
48,           2021-07-21 02:00:00,8.099,23.962
49,           2021-07-21 02:15:00,8.104,23.92
50,           2021-07-21 02:30:00,8.136,23.852
51,           2021-07-21 02:45:00,8.138,23.802
52,           2021-07-21 03:00:00,8.135,23.743
53,           2021-07-21 03:15:00,8.128,23.692
54,           2021-07-21 03:30:00,8.153,23.616
55,           2021-07-21 03:45:00,8.138,23.6
56,           2021-07-21 04:00:00,8.158,23.515
57,           2021-07-21 04:15:00,8.199,23.448
58,           2021-07-21 04:30:00,8.178,23.406
59,           2021-07-21 04:45:00,8.207,23.347
60,           2021-07-21 05:00:00,8.203,23.305
61,           2021-07-21 05:15:00,8.213,23.246
62,           2021-07-21 05:30:00,8.224,23.203
63,           2021-07-21 05:45:00,8.192,23.161
64,           2021-07-21 06:00:00,8.215,23.102
65,           2021-07-21 06:15:00,8.208,23.069
66,           2021-07-21 06:30:00,8.229,23.035
67,           2021-07-21 06:45:00,8.234,22.951
68,           2021-07-21 07:00:00,8.265,22.63
69,           2021-07-21 07:15:00,8.297,22.31
70,           2021-07-21 07:30:00,8.316,22.057
71,           2021-07-21 07:45:00,8.354,21.838
72,           2021-07-21 08:00:00,8.4,21.711
73,           2021-07-21 08:15:00,8.424,21.585
74,           2021-07-21 08:30:00,8.444,21.534
75,           2021-07-21 08:45:00,8.43,21.551
76,           2021-07-21 09:00:00,8.391,21.576
77,           2021-07-21 09:15:00,8.426,21.56
78,           2021-07-21 09:30:00,8.404,21.585
79,           2021-07-21 09:45:00,8.407,21.661
80,           2021-07-21 10:00:00,8.437,21.695
81,           2021-07-21 10:15:00,8.381,21.77
82,           2021-07-21 10:30:00,8.392,21.829
83,           2021-07-21 10:45:00,8.403,21.872
84,           2021-07-21 11:00:00,8.401,21.956
85,           2021-07-21 11:15:00,8.367,22.023
86,           2021-07-21 11:30:00,8.367,22.133
87,           2021-07-21 11:45:00,8.349,22.217
88,           2021-07-21 12:00:00,8.355,22.335
89,           2021-07-21 12:15:00,8.315,22.436
90,           2021-07-21 12:30:00,8.306,22.597
91,           2021-07-21 12:45:00,8.249,22.757
92,           2021-07-21 13:00:00,8.234,22.976
93,           2021-07-21 13:15:00,8.215,23.161
94,           2021-07-21 13:30:00,8.213,23.321
95,           2021-07-21 13:45:00,8.198,23.507
96,           2021-07-21 14:00:00,8.167,23.701
97,           2021-07-21 14:15:00,8.148,23.869
98,           2021-07-21 14:30:00,8.132,23.987
99,           2021-07-21 14:45:00,8.099,24.215
100,           2021-07-21 15:00:00,8.079,24.383
101,           2021-07-21 15:15:00,8.04,24.552
102,           2021-07-21 15:30:00,8.022,24.704
103,           2021-07-21 15:45:00,7.998,24.872
104,           2021-07-21 15:00:00,8.01,24.999
105,           2021-07-21 16:15:00,7.994,25.092
106,           2021-07-21 16:30:00,7.981,25.167
107,           2021-07-21 16:45:00,7.978,25.201
108,           2021-07-21 17:00:00,7.974,25.243
109,           2021-07-21 17:15:00,7.966,25.235
110,           2021-07-21 17:30:00,7.976,25.21
111,           2021-07-21 17:45:00,7.962,25.167
112,           2021-07-21 18:00:00,7.959,25.117
113,           2021-07-21 18:15:00,7.973,25.083
114,           2021-07-21 18:30:00,7.97,25.024
115,           2021-07-21 18:45:00,8,24.99
116,           2021-07-21 19:00:00,7.973,24.974
117,           2021-07-21 19:15:00,7.998,24.94
118,           2021-07-21 19:30:00,8.015,24.906
119,           2021-07-21 19:45:00,8,24.872
120,           2021-07-21 20:00:00,7.997,24.83
121,           2021-07-21 20:15:00,7.994,24.822
122,           2021-07-21 20:30:00,7.993,24.78
123,           2021-07-21 20:45:00,7.999,24.746
124,           2021-07-21 21:00:00,8.023,24.737
125,           2021-07-21 21:15:00,7.986,24.746
126,           2021-07-21 21:30:00,8.01,24.805
127,           2021-07-21 21:45:00,7.998,24.763
128,           2021-07-21 22:00:00,8.014,24.729
129,           2021-07-21 22:15:00,8.016,24.678
130,           2021-07-21 22:30:00,8.026,24.636
131,           2021-07-21 22:45:00,8.037,24.586
132,           2021-07-21 23:00:00,8.037,24.518
133,           2021-07-21 23:15:00,8.058,24.485
134,           2021-07-21 23:30:00,8.07,24.434
135,           2021-07-21 23:45:00,8.092,24.383
136,           2021-07-22 00:00:00,8.065,24.308
137,           2021-07-22 00:15:00,8.115,24.257
138,           2021-07-22 00:30:00,8.105,24.223
139,           2021-07-22 00:45:00,8.129,24.156
140,           2021-07-22 01:00:00,8.111,24.105
141,           2021-07-22 01:15:00,8.111,24.055
142,           2021-07-22 01:30:00,8.113,23.987
143,           2021-07-22 01:45:00,8.128,23.937
144,           2021-07-22 02:00:00,8.147,23.878
145,           2021-07-22 02:15:00,8.15,23.802
146,           2021-07-22 02:30:00,8.153,23.751
147,           2021-07-22 02:45:00,8.175,23.701
148,           2021-07-22 03:00:00,8.177,23.616
149,           2021-07-22 03:15:00,8.185,23.574
150,           2021-07-22 03:30:00,8.175,23.49
151,           2021-07-22 03:45:00,8.209,23.439
152,           2021-07-22 04:00:00,8.207,23.389
153,           2021-07-22 04:15:00,8.221,23.313
154,           2021-07-22 04:30:00,8.22,23.229
155,           2021-07-22 04:45:00,8.225,23.187
156,           2021-07-22 05:00:00,8.24,23.128
157,           2021-07-22 05:15:00,8.26,23.069
158,           2021-07-22 05:30:00,8.255,23.01
159,           2021-07-22 05:45:00,8.268,22.934
160,           2021-07-22 06:00:00,8.289,22.875
161,           2021-07-22 06:15:00,8.268,22.849
162,           2021-07-22 06:30:00,8.308,22.765
163,           2021-07-22 06:45:00,8.312,22.698
164,           2021-07-22 07:00:00,8.337,22.386
165,           2021-07-22 07:15:00,8.405,22.108
166,           2021-07-22 07:30:00,8.393,21.846
167,           2021-07-22 07:45:00,8.421,21.636
168,           2021-07-22 08:00:00,8.445,21.475
169,           2021-07-22 08:15:00,8.463,21.349
170,           2021-07-22 08:30:00,8.462,21.307
171,           2021-07-22 08:45:00,8.447,21.281
172,           2021-07-22 09:00:00,8.463,21.264
173,           2021-07-22 09:15:00,8.489,21.298
174,           2021-07-22 09:30:00,8.466,21.366
175,           2021-07-22 09:45:00,8.458,21.433
176,           2021-07-22 10:00:00,8.423,21.509
177,           2021-07-22 10:15:00,8.441,21.627
178,           2021-07-22 10:30:00,8.409,21.762
179,           2021-07-22 10:45:00,8.379,21.939
180,           2021-07-22 11:00:00,8.347,22.082
181,           2021-07-22 11:15:00,8.336,22.259
182,           2021-07-22 11:30:00,8.295,22.462
183,           2021-07-22 11:45:00,8.282,22.656
184,           2021-07-22 12:00:00,8.245,22.858
185,           2021-07-22 12:15:00,8.241,23.052
186,           2021-07-22 12:30:00,8.215,23.237
187,           2021-07-22 12:45:00,8.156,23.49
188,           2021-07-22 13:00:00,8.136,23.675
189,           2021-07-22 13:15:00,8.104,23.911
190,           2021-07-22 13:30:00,8.068,24.147
191,           2021-07-22 13:45:00,8.03,24.35
192,           2021-07-22 14:00:00,8.003,24.586
193,           2021-07-22 14:15:00,8.001,24.805
194,           2021-07-22 14:30:00,7.975,25.007
195,           2021-07-22 14:45:00,7.924,25.21
196,           2021-07-22 15:00:00,7.846,25.167
197,           2021-07-22 15:15:00,7.694,26.111
198,           2021-07-22 15:30:00,7.735,26.659
199,           2021-07-22 15:45:00,7.636,27.425
200,           2021-07-22 15:00:00,7.781,26.28
201,           2021-07-22 16:15:00,7.898,25.572
202,           2021-07-22 16:30:00,7.948,25.108
203,           2021-07-22 16:45:00,7.965,24.771
204,           2021-07-22 17:00:00,7.986,24.544
205,           2021-07-22 17:15:00,8.026,24.367
206,           2021-07-22 17:30:00,8.079,24.215
207,           2021-07-22 17:45:00,8.081,24.122
208,           2021-07-22 18:00:00,8.092,24.055
209,           2021-07-22 18:15:00,8.065,24.021
210,           2021-07-22 18:30:00,8.083,24.029
211,           2021-07-22 18:45:00,8.091,24.013
212,           2021-07-22 19:00:00,8.082,23.987
213,           2021-07-22 19:15:00,8.083,23.996
214,           2021-07-22 19:30:00,8.099,23.97
215,           2021-07-22 19:45:00,8.084,23.996
216,           2021-07-22 20:00:00,8.089,23.97
217,           2021-07-22 20:15:00,8.103,23.979
218,           2021-07-22 20:30:00,8.075,23.962
219,           2021-07-22 20:45:00,8.074,24.013
220,           2021-07-22 21:00:00,8.077,24.013
221,           2021-07-22 21:15:00,8.077,24.013
222,           2021-07-22 21:30:00,8.079,24.021
223,           2021-07-22 21:45:00,8.083,23.996
224,           2021-07-22 22:00:00,8.091,23.954
225,           2021-07-22 22:15:00,8.112,23.97
226,           2021-07-22 22:30:00,8.105,23.937
227,           2021-07-22 22:45:00,8.129,23.911
228,           2021-07-22 23:00:00,8.107,23.903
229,           2021-07-22 23:15:00,8.114,23.878
230,           2021-07-22 23:30:00,8.111,23.844
231,           2021-07-22 23:45:00,8.122,23.81
232,           2021-07-23 00:00:00,8.145,23.793
233,           2021-07-23 00:15:00,8.134,23.777
234,           2021-07-23 00:30:00,8.132,23.743
235,           2021-07-23 00:45:00,8.15,23.726
236,           2021-07-23 01:00:00,8.167,23.692
237,           2021-07-23 01:15:00,8.16,23.642
238,           2021-07-23 01:30:00,8.154,23.608
239,           2021-07-23 01:45:00,8.177,23.591
240,           2021-07-23 02:00:00,8.156,23.549
241,           2021-07-23 02:15:00,8.181,23.498
242,           2021-07-23 02:30:00,8.226,23.482
243,           2021-07-23 02:45:00,8.224,23.414
244,           2021-07-23 03:00:00,8.222,23.389
245,           2021-07-23 03:15:00,8.18,23.364
246,           2021-07-23 03:30:00,8.224,23.321
247,           2021-07-23 03:45:00,8.244,23.271
248,           2021-07-23 04:00:00,8.235,23.254
249,           2021-07-23 04:15:00,8.245,23.203
250,           2021-07-23 04:30:00,8.248,23.17
251,           2021-07-23 04:45:00,8.224,23.136
252,           2021-07-23 05:00:00,8.26,23.102
253,           2021-07-23 05:15:00,8.24,23.069
254,           2021-07-23 05:30:00,8.269,23.035
255,           2021-07-23 05:45:00,8.297,22.984
256,           2021-07-23 06:00:00,8.287,22.934
257,           2021-07-23 06:15:00,8.272,22.917
258,           2021-07-23 06:30:00,8.268,22.892
259,           2021-07-23 06:45:00,8.29,22.757
260,           2021-07-23 07:00:00,8.342,22.622
261,           2021-07-23 07:15:00,8.362,22.512
262,           2021-07-23 07:30:00,8.356,22.386
263,           2021-07-23 07:45:00,8.362,22.276
264,           2021-07-23 08:00:00,8.394,22.183
265,           2021-07-23 08:15:00,8.399,22.141
266,           2021-07-23 08:30:00,8.419,22.108
267,           2021-07-23 08:45:00,8.402,22.074
268,           2021-07-23 09:00:00,8.437,22.065
269,           2021-07-23 09:15:00,8.369,22.049
270,           2021-07-23 09:30:00,8.453,21.745
271,           2021-07-23 09:45:00,8.434,21.593
272,           2021-07-23 10:00:00,8.347,22.276
273,           2021-07-23 10:15:00,7.861,27.594
274,           2021-07-23 10:30:00,7.533,30.362
275,           2021-07-23 10:45:00,7.805,26.423
276,           2021-07-23 11:00:00,7.864,25.673
277,           2021-07-23 11:15:00,7.845,26.078
278,           2021-07-23 11:30:00,7.852,25.8
279,           2021-07-23 11:45:00,7.924,25.403
280,           2021-07-23 12:00:00,7.93,24.999
281,           2021-07-23 12:15:00,7.974,24.712
282,           2021-07-23 12:30:00,8.053,24.198
283,           2021-07-23 12:45:00,8.102,23.726
284,           2021-07-23 13:00:00,8.158,23.465
285,           2021-07-23 13:15:00,8.139,23.633
286,           2021-07-23 13:30:00,8.1,23.793
287,           2021-07-23 13:45:00,8.133,23.903
288,           2021-07-23 14:00:00,8.11,23.836
289,           2021-07-23 14:15:00,8.138,23.448
290,           2021-07-23 14:30:00,14.542,23.541
291,           2021-07-23 14:45:00,10.623,21.728
292,           2021-07-23 15:00:00,10.492,20.243
293,           2021-07-23 15:15:00,10.046,22.285
294,           2021-07-23 15:30:00,11.6,15.737
295,           2021-07-23 15:45:00,12.022,14.013
296,           2021-07-23 15:00:00,12.263,13.206
297,           2021-07-23 16:15:00,12.382,12.986
298,           2021-07-23 16:30:00,12.426,12.951
299,           2021-07-23 16:45:00,12.432,13.083
300,           2021-07-23 17:00:00,12.412,13.198
301,           2021-07-23 17:15:00,12.391,13.198
302,           2021-07-23 17:30:00,12.289,13.11
303,           2021-07-23 17:45:00,12.311,13.048
304,           2021-07-23 18:00:00,12.21,13.021
305,           2021-07-23 18:15:00,12.104,13.021
306,           2021-07-23 18:30:00,12.055,13.021
307,           2021-07-23 18:45:00,12.029,13.11
308,           2021-07-23 19:00:00,11.927,13.154
309,           2021-07-23 19:15:00,11.942,13.242
310,           2021-07-23 19:30:00,11.751,13.277
311,           2021-07-23 19:45:00,11.685,13.356
312,           2021-07-23 20:00:00,11.664,13.347
313,           2021-07-23 20:15:00,11.495,13.382
314,           2021-07-23 20:30:00,11.383,13.409
315,           2021-07-23 20:45:00,11.271,13.418
316,           2021-07-23 21:00:00,11.171,13.462
317,           2021-07-23 21:15:00,11.059,13.505
318,           2021-07-23 21:30:00,11.025,13.523
319,           2021-07-23 21:45:00,11.029,13.576
320,           2021-07-23 22:00:00,10.949,13.602
321,           2021-07-23 22:15:00,10.898,13.646
322,           2021-07-23 22:30:00,10.811,13.655
323,           2021-07-23 22:45:00,10.784,13.707
324,           2021-07-23 23:00:00,10.822,13.725
325,           2021-07-23 23:15:00,10.629,13.76
326,           2021-07-23 23:30:00,10.477,13.751
327,           2021-07-23 23:45:00,10.519,13.777
328,           2021-07-24 00:00:00,10.552,13.777
329,           2021-07-24 00:15:00,10.415,13.83
330,           2021-07-24 00:30:00,10.462,13.873
331,           2021-07-24 00:45:00,10.454,13.873
332,           2021-07-24 01:00:00,10.396,13.882
333,           2021-07-24 01:15:00,10.342,13.9
334,           2021-07-24 01:30:00,10.306,13.926
335,           2021-07-24 01:45:00,10.321,13.926
336,           2021-07-24 02:00:00,10.356,13.908
337,           2021-07-24 02:15:00,10.41,13.917
338,           2021-07-24 02:30:00,10.441,13.917
339,           2021-07-24 02:45:00,10.421,13.9
340,           2021-07-24 03:00:00,10.218,13.926
341,           2021-07-24 03:15:00,10.281,13.935
342,           2021-07-24 03:30:00,10.145,13.97
343,           2021-07-24 03:45:00,10.126,13.996
344,           2021-07-24 04:00:00,9.989,14.013
345,           2021-07-24 04:15:00,9.879,14.013
346,           2021-07-24 04:30:00,9.794,14.074
347,           2021-07-24 04:45:00,9.778,14.144
348,           2021-07-24 05:00:00,9.773,14.17
349,           2021-07-24 05:15:00,9.776,14.196
350,           2021-07-24 05:30:00,9.689,14.17
351,           2021-07-24 05:45:00,9.516,14.17
352,           2021-07-24 06:00:00,9.469,14.17
353,           2021-07-24 06:15:00,9.36,14.188
354,           2021-07-24 06:30:00,9.263,14.336
355,           2021-07-24 06:45:00,9.113,14.596
356,           2021-07-24 07:00:00,8.958,15.453
357,           2021-07-24 07:15:00,8.84,16.209
358,           2021-07-24 07:30:00,8.743,16.517
359,           2021-07-24 07:45:00,8.646,16.757
360,           2021-07-24 08:00:00,8.594,16.919
361,           2021-07-24 08:15:00,8.598,16.996
362,           2021-07-24 08:30:00,8.601,16.646
363,           2021-07-24 08:45:00,8.425,17.013
364,           2021-07-24 09:00:00,8.172,17.839
365,           2021-07-24 09:15:00,7.906,19.458
366,           2021-07-24 09:30:00,7.767,20.682
367,           2021-07-24 09:45:00,7.719,21.273
368,           2021-07-24 10:00:00,7.853,21.576
369,           2021-07-24 10:15:00,8.059,21.787
370,           2021-07-24 10:30:00,8.415,21.914
371,           2021-07-24 10:45:00,8.612,19.483
372,           2021-07-24 11:00:00,8.668,19.085
373,           2021-07-24 11:15:00,8.608,19.322
374,           2021-07-24 11:30:00,8.6,19.348
375,           2021-07-24 11:45:00,8.621,19.424
376,           2021-07-24 12:00:00,8.552,19.686
377,           2021-07-24 12:15:00,8.51,19.931
378,           2021-07-24 12:30:00,8.45,20.412
379,           2021-07-24 12:45:00,8.427,20.665
380,           2021-07-24 13:00:00,8.393,20.801
381,           2021-07-24 13:15:00,8.41,20.952
382,           2021-07-24 13:30:00,8.297,21.29
383,           2021-07-24 13:45:00,8.264,21.678
384,           2021-07-24 14:00:00,8.259,21.813
385,           2021-07-24 14:15:00,8.23,21.762
386,           2021-07-24 14:30:00,8.264,21.678
387,           2021-07-24 14:45:00,8.321,21.686
388,           2021-07-24 15:00:00,8.32,21.475
389,           2021-07-24 15:15:00,8.374,23.625
390,           2021-07-24 15:30:00,9.102,22.167
391,           2021-07-24 15:45:00,9.563,22.226
392,           2021-07-24 15:00:00,10.776,18.747
393,           2021-07-24 16:15:00,11.531,15.831
394,           2021-07-24 16:30:00,11.986,14.135
395,           2021-07-24 16:45:00,12.129,13.523
396,           2021-07-24 17:00:00,12.129,13.391
397,           2021-07-24 17:15:00,12.191,13.224
398,           2021-07-24 17:30:00,12.235,13.118
399,           2021-07-24 17:45:00,12.268,13.092
400,           2021-07-24 18:00:00,12.285,13.154
401,           2021-07-24 18:15:00,12.287,13.162
402,           2021-07-24 18:30:00,12.283,13.162
403,           2021-07-24 18:45:00,12.205,13.154
404,           2021-07-24 19:00:00,12.109,13.18
405,           2021-07-24 19:15:00,11.992,13.268
406,           2021-07-24 19:30:00,11.878,13.347
407,           2021-07-24 19:45:00,11.76,13.382
408,           2021-07-24 20:00:00,11.626,13.488
409,           2021-07-24 20:15:00,11.525,13.541
410,           2021-07-24 20:30:00,11.406,13.488
411,           2021-07-24 20:45:00,11.335,13.409
412,           2021-07-24 21:00:00,11.199,13.418
413,           2021-07-24 21:15:00,11.071,13.453
414,           2021-07-24 21:30:00,10.901,13.514
415,           2021-07-24 21:45:00,10.759,13.584
416,           2021-07-24 22:00:00,10.623,13.637
417,           2021-07-24 22:15:00,10.493,13.655
418,           2021-07-24 22:30:00,10.43,13.681
419,           2021-07-24 22:45:00,10.286,13.707
420,           2021-07-24 23:00:00,10.187,13.716
421,           2021-07-24 23:15:00,10.047,13.742
422,           2021-07-24 23:30:00,9.92,13.751
423,           2021-07-24 23:45:00,9.802,13.777
424,           2021-07-25 00:00:00,9.687,13.777
425,           2021-07-25 00:15:00,9.561,13.83
426,           2021-07-25 00:30:00,9.411,13.83
427,           2021-07-25 00:45:00,9.282,13.812
428,           2021-07-25 01:00:00,9.198,13.838
429,           2021-07-25 01:15:00,9.158,13.847
430,           2021-07-25 01:30:00,9.082,13.9
431,           2021-07-25 01:45:00,8.995,13.97
432,           2021-07-25 02:00:00,8.889,13.978
433,           2021-07-25 02:15:00,8.773,14.013
434,           2021-07-25 02:30:00,8.648,14.083
435,           2021-07-25 02:45:00,8.536,14.231
436,           2021-07-25 03:00:00,8.469,14.188
437,           2021-07-25 03:15:00,8.486,13.952
438,           2021-07-25 03:30:00,8.488,13.961
439,           2021-07-25 03:45:00,8.543,13.812
440,           2021-07-25 04:00:00,8.586,13.663
441,           2021-07-25 04:15:00,8.579,13.593
442,           2021-07-25 04:30:00,8.579,13.514
443,           2021-07-25 04:45:00,8.54,13.444
444,           2021-07-25 05:00:00,8.499,13.391
445,           2021-07-25 05:15:00,8.464,13.33
446,           2021-07-25 05:30:00,8.401,13.33
447,           2021-07-25 05:45:00,8.281,13.391
448,           2021-07-25 06:00:00,8.226,13.462
449,           2021-07-25 06:15:00,8.107,13.532
450,           2021-07-25 06:30:00,8.025,13.681
451,           2021-07-25 06:45:00,7.914,13.83
452,           2021-07-25 07:00:00,7.783,14.135
453,           2021-07-25 07:15:00,7.646,14.501
454,           2021-07-25 07:30:00,7.571,14.813
455,           2021-07-25 07:45:00,7.46,15.263
456,           2021-07-25 08:00:00,7.358,15.935
457,           2021-07-25 08:15:00,7.299,16.295
458,           2021-07-25 08:30:00,7.293,16.423
459,           2021-07-25 08:45:00,7.255,16.586
460,           2021-07-25 09:00:00,7.274,16.953
461,           2021-07-25 09:15:00,7.295,17.166
462,           2021-07-25 09:30:00,7.287,17.839
463,           2021-07-25 09:45:00,7.305,18.34
464,           2021-07-25 10:00:00,7.287,19.28
465,           2021-07-25 10:15:00,7.312,20.303
466,           2021-07-25 10:30:00,7.531,20.488
467,           2021-07-25 10:45:00,7.841,20.362
468,           2021-07-25 11:00:00,8.106,20.514
469,           2021-07-25 11:15:00,8.322,20.919
470,           2021-07-25 11:30:00,8.431,20.345
471,           2021-07-25 11:45:00,8.494,19.939
472,           2021-07-25 12:00:00,8.437,20.032
473,           2021-07-25 12:15:00,8.506,19.88
474,           2021-07-25 12:30:00,8.496,19.956
475,           2021-07-25 12:45:00,8.457,20.142
476,           2021-07-25 13:00:00,8.455,20.193
477,           2021-07-25 13:15:00,8.406,20.412
478,           2021-07-25 13:30:00,8.397,20.581
479,           2021-07-25 13:45:00,8.356,20.691
480,           2021-07-25 14:00:00,8.331,20.944
481,           2021-07-25 14:15:00,8.369,20.657
482,           2021-07-25 14:30:00,8.446,20.235
483,           2021-07-25 14:45:00,8.439,20.277
484,           2021-07-25 15:00:00,8.447,20.252
485,           2021-07-25 15:15:00,8.347,20.775
486,           2021-07-25 15:30:00,8.352,20.978
487,           2021-07-25 15:45:00,8.223,23.667
