Sensor:             7450-914536,,,
#,         Pacific Standard Time,  Dissolved Oxygen,   Temperature
1,           2021-07-20 14:15:00,8.471,23.634
2,           2021-07-20 14:30:00,8.428,23.844
3,           2021-07-20 14:45:00,8.407,24.095
4,           2021-07-20 15:00:00,8.364,24.397
5,           2021-07-20 15:15:00,8.323,24.666
6,           2021-07-20 15:30:00,8.273,24.927
7,           2021-07-20 15:45:00,8.26,25.12
8,           2021-07-20 16:00:00,8.229,25.221
9,           2021-07-20 16:15:00,8.228,26.056
10,           2021-07-20 16:30:00,8.146,26.826
11,           2021-07-20 16:45:00,8.215,26.267
12,           2021-07-20 17:00:00,8.265,25.837
13,           2021-07-20 17:15:00,8.336,25.28
14,           2021-07-20 17:30:00,8.354,25.146
15,           2021-07-20 17:45:00,8.375,25.011
16,           2021-07-20 18:00:00,8.385,24.91
17,           2021-07-20 18:15:00,8.401,24.817
18,           2021-07-20 18:30:00,8.405,24.75
19,           2021-07-20 18:45:00,8.403,24.675
20,           2021-07-20 19:00:00,8.415,24.658
21,           2021-07-20 19:15:00,8.41,24.607
22,           2021-07-20 19:30:00,8.424,24.591
23,           2021-07-20 19:45:00,8.424,24.565
24,           2021-07-20 20:00:00,8.431,24.532
25,           2021-07-20 20:15:00,8.44,24.515
26,           2021-07-20 20:30:00,8.434,24.507
27,           2021-07-20 20:45:00,8.431,24.498
28,           2021-07-20 21:00:00,8.429,24.515
29,           2021-07-20 21:15:00,8.439,24.481
30,           2021-07-20 21:30:00,8.447,24.49
31,           2021-07-20 21:45:00,8.45,24.456
32,           2021-07-20 22:00:00,8.453,24.439
33,           2021-07-20 22:15:00,8.474,24.406
34,           2021-07-20 22:30:00,8.468,24.389
35,           2021-07-20 22:45:00,8.483,24.33
36,           2021-07-20 23:00:00,8.49,24.28
37,           2021-07-20 23:15:00,8.497,24.246
38,           2021-07-20 23:30:00,8.508,24.204
39,           2021-07-20 23:45:00,8.53,24.137
40,           2021-07-21 00:00:00,8.52,24.087
41,           2021-07-21 00:15:00,8.519,24.036
42,           2021-07-21 00:30:00,8.543,23.969
43,           2021-07-21 00:45:00,8.547,23.902
44,           2021-07-21 01:00:00,8.57,23.827
45,           2021-07-21 01:15:00,8.571,23.776
46,           2021-07-21 01:30:00,8.57,23.718
47,           2021-07-21 01:45:00,8.592,23.642
48,           2021-07-21 02:00:00,8.604,23.584
49,           2021-07-21 02:15:00,8.606,23.542
50,           2021-07-21 02:30:00,8.617,23.475
51,           2021-07-21 02:45:00,8.61,23.433
52,           2021-07-21 03:00:00,8.63,23.366
53,           2021-07-21 03:15:00,8.638,23.316
54,           2021-07-21 03:30:00,8.655,23.265
55,           2021-07-21 03:45:00,8.658,23.207
56,           2021-07-21 04:00:00,8.665,23.173
57,           2021-07-21 04:15:00,8.671,23.106
58,           2021-07-21 04:30:00,8.684,23.048
59,           2021-07-21 04:45:00,8.691,22.981
60,           2021-07-21 05:00:00,8.695,22.955
61,           2021-07-21 05:15:00,8.7,22.905
62,           2021-07-21 05:30:00,8.728,22.838
63,           2021-07-21 05:45:00,8.74,22.813
64,           2021-07-21 06:00:00,8.724,22.746
65,           2021-07-21 06:15:00,8.739,22.721
66,           2021-07-21 06:30:00,8.743,22.671
67,           2021-07-21 06:45:00,8.759,22.612
68,           2021-07-21 07:00:00,8.77,22.47
69,           2021-07-21 07:15:00,8.78,22.336
70,           2021-07-21 07:30:00,8.801,22.169
71,           2021-07-21 07:45:00,8.836,22.018
72,           2021-07-21 08:00:00,9.162,19.037
73,           2021-07-21 08:15:00,9.747,16.368
74,           2021-07-21 08:30:00,9.877,15.805
75,           2021-07-21 08:45:00,9.895,15.686
76,           2021-07-21 09:00:00,9.917,15.669
77,           2021-07-21 09:15:00,9.873,15.916
78,           2021-07-21 09:30:00,9.856,15.763
79,           2021-07-21 09:45:00,9.869,15.797
80,           2021-07-21 10:00:00,9.795,16.283
81,           2021-07-21 10:15:00,14.331,16.92
82,           2021-07-21 10:30:00,15.568,17.513
83,           2021-07-21 10:45:00,15.892,17.758
84,           2021-07-21 11:00:00,16.357,17.876
85,           2021-07-21 11:15:00,16.129,18.062
86,           2021-07-21 11:30:00,16.12,18.365
87,           2021-07-21 11:45:00,16.211,18.289
88,           2021-07-21 12:00:00,14.978,18.087
89,           2021-07-21 12:15:00,15.169,18.525
90,           2021-07-21 12:30:00,14.156,18.112
91,           2021-07-21 12:45:00,13.056,17.479
92,           2021-07-21 13:00:00,12.351,16.997
93,           2021-07-21 13:15:00,11.856,16.53
94,           2021-07-21 13:30:00,11.535,15.899
95,           2021-07-21 13:45:00,11.34,14.801
96,           2021-07-21 14:00:00,11.084,14.075
97,           2021-07-21 14:15:00,10.777,13.701
98,           2021-07-21 14:30:00,10.669,13.632
99,           2021-07-21 14:45:00,10.587,13.553
100,           2021-07-21 15:00:00,10.567,13.509
101,           2021-07-21 15:15:00,10.616,13.658
102,           2021-07-21 15:30:00,10.819,13.858
103,           2021-07-21 15:45:00,10.89,13.954
104,           2021-07-21 16:00:00,10.944,14.066
105,           2021-07-21 16:15:00,10.896,13.893
106,           2021-07-21 16:30:00,10.896,13.701
107,           2021-07-21 16:45:00,10.807,13.527
108,           2021-07-21 17:00:00,10.831,13.431
109,           2021-07-21 17:15:00,10.803,13.405
110,           2021-07-21 17:30:00,10.839,13.431
111,           2021-07-21 17:45:00,10.885,13.501
112,           2021-07-21 18:00:00,10.869,13.527
113,           2021-07-21 18:15:00,10.856,13.527
114,           2021-07-21 18:30:00,10.829,13.544
115,           2021-07-21 18:45:00,10.761,13.57
116,           2021-07-21 19:00:00,10.825,13.597
117,           2021-07-21 19:15:00,10.841,13.614
118,           2021-07-21 19:30:00,10.81,13.649
119,           2021-07-21 19:45:00,10.833,13.64
120,           2021-07-21 20:00:00,10.827,13.649
121,           2021-07-21 20:15:00,10.737,13.675
122,           2021-07-21 20:30:00,10.638,13.675
123,           2021-07-21 20:45:00,10.533,13.71
124,           2021-07-21 21:00:00,10.363,13.71
125,           2021-07-21 21:15:00,10.426,13.719
126,           2021-07-21 21:30:00,10.279,13.71
127,           2021-07-21 21:45:00,9.02,13.78
128,           2021-07-21 22:00:00,8.687,13.771
129,           2021-07-21 22:15:00,8.313,13.754
130,           2021-07-21 22:30:00,8.145,13.78
131,           2021-07-21 22:45:00,8.057,13.797
132,           2021-07-21 23:00:00,8.023,13.806
133,           2021-07-21 23:15:00,7.948,13.849
134,           2021-07-21 23:30:00,8.831,13.884
135,           2021-07-21 23:45:00,9.366,13.893
136,           2021-07-22 00:00:00,9.938,13.849
137,           2021-07-22 00:15:00,9.802,13.806
138,           2021-07-22 00:30:00,9.882,13.745
139,           2021-07-22 00:45:00,9.633,13.701
140,           2021-07-22 01:00:00,9.439,13.71
141,           2021-07-22 01:15:00,9.355,13.701
142,           2021-07-22 01:30:00,9.429,13.675
143,           2021-07-22 01:45:00,9.381,13.632
144,           2021-07-22 02:00:00,9.128,13.64
145,           2021-07-22 02:15:00,8.937,13.614
146,           2021-07-22 02:30:00,9.284,13.605
147,           2021-07-22 02:45:00,9.138,13.605
148,           2021-07-22 03:00:00,9.067,13.588
149,           2021-07-22 03:15:00,9.243,13.614
150,           2021-07-22 03:30:00,9.164,13.632
151,           2021-07-22 03:45:00,8.724,13.623
152,           2021-07-22 04:00:00,8.477,13.605
153,           2021-07-22 04:15:00,8.416,13.649
154,           2021-07-22 04:30:00,8.05,13.675
155,           2021-07-22 04:45:00,7.98,13.762
156,           2021-07-22 05:00:00,8.453,14.223
157,           2021-07-22 05:15:00,8.986,14.793
158,           2021-07-22 05:30:00,8.919,15.017
159,           2021-07-22 05:45:00,8.688,15.128
160,           2021-07-22 06:00:00,8.889,15.223
161,           2021-07-22 06:15:00,9.222,15.403
162,           2021-07-22 06:30:00,9.082,15.797
163,           2021-07-22 06:45:00,8.779,15.925
164,           2021-07-22 07:00:00,8.623,15.882
165,           2021-07-22 07:15:00,8.616,15.959
166,           2021-07-22 07:30:00,8.716,16.061
167,           2021-07-22 07:45:00,8.954,16.121
168,           2021-07-22 08:00:00,9.267,16.189
169,           2021-07-22 08:15:00,9.711,16.317
170,           2021-07-22 08:30:00,10.392,16.445
171,           2021-07-22 08:45:00,11.203,16.623
172,           2021-07-22 09:00:00,12.068,16.666
173,           2021-07-22 09:15:00,12.833,16.649
174,           2021-07-22 09:30:00,14.036,16.861
175,           2021-07-22 09:45:00,15.679,17.412
176,           2021-07-22 10:00:00,16.375,17.623
177,           2021-07-22 10:15:00,16.955,18.028
178,           2021-07-22 10:30:00,17.6,18.449
179,           2021-07-22 10:45:00,18.286,18.869
180,           2021-07-22 11:00:00,19.019,19.407
181,           2021-07-22 11:15:00,19.796,19.977
182,           2021-07-22 11:30:00,20.447,20.554
183,           2021-07-22 11:45:00,20.877,20.998
184,           2021-07-22 12:00:00,21.461,21.441
185,           2021-07-22 12:15:00,21.691,21.742
186,           2021-07-22 12:30:00,21.444,21.96
187,           2021-07-22 12:45:00,16.206,21.282
188,           2021-07-22 13:00:00,14.698,19.298
189,           2021-07-22 13:15:00,14.311,19.348
190,           2021-07-22 13:30:00,14.14,17.868
191,           2021-07-22 13:45:00,13.519,16.793
192,           2021-07-22 14:00:00,13.095,16.096
193,           2021-07-22 14:15:00,12.703,15.446
194,           2021-07-22 14:30:00,12.357,14.422
195,           2021-07-22 14:45:00,12.06,13.387
196,           2021-07-22 15:00:00,11.688,13.054
197,           2021-07-22 15:15:00,11.51,13.081
198,           2021-07-22 15:30:00,11.413,12.931
199,           2021-07-22 15:45:00,11.33,12.791
200,           2021-07-22 16:00:00,11.301,12.756
201,           2021-07-22 16:15:00,11.187,12.888
202,           2021-07-22 16:30:00,11.33,13.037
203,           2021-07-22 16:45:00,11.51,13.308
204,           2021-07-22 17:00:00,11.556,13.448
205,           2021-07-22 17:15:00,11.619,13.212
206,           2021-07-22 17:30:00,11.68,13.081
207,           2021-07-22 17:45:00,11.566,13.046
208,           2021-07-22 18:00:00,11.544,13.133
209,           2021-07-22 18:15:00,11.529,13.168
210,           2021-07-22 18:30:00,11.563,13.195
211,           2021-07-22 18:45:00,11.406,13.23
212,           2021-07-22 19:00:00,11.519,13.221
213,           2021-07-22 19:15:00,11.468,13.247
214,           2021-07-22 19:30:00,11.436,13.265
215,           2021-07-22 19:45:00,11.288,13.317
216,           2021-07-22 20:00:00,11.226,13.308
217,           2021-07-22 20:15:00,11.191,13.3
218,           2021-07-22 20:30:00,11.103,13.326
219,           2021-07-22 20:45:00,10.95,13.343
220,           2021-07-22 21:00:00,10.819,13.352
221,           2021-07-22 21:15:00,10.733,13.37
222,           2021-07-22 21:30:00,10.704,13.405
223,           2021-07-22 21:45:00,10.373,13.431
224,           2021-07-22 22:00:00,10.377,13.448
225,           2021-07-22 22:15:00,10.193,13.44
226,           2021-07-22 22:30:00,10.207,13.44
227,           2021-07-22 22:45:00,10.014,13.483
228,           2021-07-22 23:00:00,9.956,13.457
229,           2021-07-22 23:15:00,9.872,13.483
230,           2021-07-22 23:30:00,9.753,13.474
231,           2021-07-22 23:45:00,9.263,13.492
232,           2021-07-23 00:00:00,9.271,13.431
233,           2021-07-23 00:15:00,9.405,13.448
234,           2021-07-23 00:30:00,8.812,13.509
235,           2021-07-23 00:45:00,8.733,13.492
236,           2021-07-23 01:00:00,8.233,13.509
237,           2021-07-23 01:15:00,7.979,13.518
238,           2021-07-23 01:30:00,7.562,13.527
239,           2021-07-23 01:45:00,7.304,13.518
240,           2021-07-23 02:00:00,6.822,13.536
241,           2021-07-23 02:15:00,6.48,13.553
242,           2021-07-23 02:30:00,6.331,13.553
243,           2021-07-23 02:45:00,7.314,13.501
244,           2021-07-23 03:00:00,7.402,13.527
245,           2021-07-23 03:15:00,7.245,13.518
246,           2021-07-23 03:30:00,7.204,13.518
247,           2021-07-23 03:45:00,6.969,13.544
248,           2021-07-23 04:00:00,7.092,13.527
249,           2021-07-23 04:15:00,7.033,13.536
250,           2021-07-23 04:30:00,7.051,13.553
251,           2021-07-23 04:45:00,6.614,13.57
252,           2021-07-23 05:00:00,6.35,13.588
253,           2021-07-23 05:15:00,6.095,13.605
254,           2021-07-23 05:30:00,6.574,13.832
255,           2021-07-23 05:45:00,7.312,14.266
256,           2021-07-23 06:00:00,7.834,14.663
257,           2021-07-23 06:15:00,8.056,14.982
258,           2021-07-23 06:30:00,8.194,15.042
259,           2021-07-23 06:45:00,8.335,15.068
260,           2021-07-23 07:00:00,8.603,15.309
261,           2021-07-23 07:15:00,8.801,15.583
262,           2021-07-23 07:30:00,8.811,15.634
263,           2021-07-23 07:45:00,8.795,15.694
264,           2021-07-23 08:00:00,8.879,15.805
265,           2021-07-23 08:15:00,8.987,15.857
266,           2021-07-23 08:30:00,9.091,15.874
267,           2021-07-23 08:45:00,9.345,15.857
268,           2021-07-23 09:00:00,9.888,15.968
269,           2021-07-23 09:15:00,11.26,16.249
270,           2021-07-23 09:30:00,12.193,16.487
271,           2021-07-23 09:45:00,12.94,16.615
272,           2021-07-23 10:00:00,14.045,16.92
273,           2021-07-23 10:15:00,15.635,17.488
274,           2021-07-23 10:30:00,17.065,17.918
275,           2021-07-23 10:45:00,17.633,18.028
276,           2021-07-23 11:00:00,18.376,18.373
277,           2021-07-23 11:15:00,19.028,18.785
278,           2021-07-23 11:30:00,19.688,19.306
279,           2021-07-23 11:45:00,20.45,19.918
280,           2021-07-23 12:00:00,21.169,20.529
281,           2021-07-23 12:15:00,21.778,21.107
282,           2021-07-23 12:30:00,22.287,21.675
283,           2021-07-23 12:45:00,22.734,22.135
284,           2021-07-23 13:00:00,23.086,22.504
285,           2021-07-23 13:15:00,22.941,22.83
286,           2021-07-23 13:30:00,21.237,22.914
287,           2021-07-23 13:45:00,19.064,22.186
288,           2021-07-23 14:00:00,16.337,19.147
289,           2021-07-23 14:15:00,16.821,20.521
290,           2021-07-23 14:30:00,14.346,17.124
291,           2021-07-23 14:45:00,12.83,16.292
292,           2021-07-23 15:00:00,10.451,15.626
293,           2021-07-23 15:15:00,9.883,14.586
294,           2021-07-23 15:30:00,9.13,13.378
295,           2021-07-23 15:45:00,8.948,12.931
296,           2021-07-23 16:00:00,8.946,12.826
297,           2021-07-23 16:15:00,8.913,12.72
298,           2021-07-23 16:30:00,8.883,12.632
299,           2021-07-23 16:45:00,8.974,12.667
300,           2021-07-23 17:00:00,9.226,12.773
301,           2021-07-23 17:15:00,9.551,12.949
302,           2021-07-23 17:30:00,9.894,13.168
303,           2021-07-23 17:45:00,9.948,13.247
304,           2021-07-23 18:00:00,9.684,13.125
305,           2021-07-23 18:15:00,9.444,12.958
306,           2021-07-23 18:30:00,9.238,12.835
307,           2021-07-23 18:45:00,9.147,12.72
308,           2021-07-23 19:00:00,9.091,12.791
309,           2021-07-23 19:15:00,9.229,12.844
310,           2021-07-23 19:30:00,9.117,12.861
311,           2021-07-23 19:45:00,8.998,12.914
312,           2021-07-23 20:00:00,8.745,12.931
313,           2021-07-23 20:15:00,8.621,12.958
314,           2021-07-23 20:30:00,8.78,12.958
315,           2021-07-23 20:45:00,8.633,12.984
316,           2021-07-23 21:00:00,9.036,12.993
317,           2021-07-23 21:15:00,8.771,12.984
318,           2021-07-23 21:30:00,8.656,13.019
319,           2021-07-23 21:45:00,8.415,13.054
320,           2021-07-23 22:00:00,8.188,13.089
321,           2021-07-23 22:15:00,7.767,13.107
322,           2021-07-23 22:30:00,7.49,13.133
323,           2021-07-23 22:45:00,7.492,13.098
324,           2021-07-23 23:00:00,7.274,13.125
325,           2021-07-23 23:15:00,6.8,13.142
326,           2021-07-23 23:30:00,6.336,13.151
327,           2021-07-23 23:45:00,5.979,13.151
328,           2021-07-24 00:00:00,6.074,13.186
329,           2021-07-24 00:15:00,7.512,13.098
330,           2021-07-24 00:30:00,7.309,13.125
331,           2021-07-24 00:45:00,6.406,13.177
332,           2021-07-24 01:00:00,6.231,13.195
333,           2021-07-24 01:15:00,5.915,13.195
334,           2021-07-24 01:30:00,5.144,13.195
335,           2021-07-24 01:45:00,4.862,13.195
336,           2021-07-24 02:00:00,4.961,13.212
337,           2021-07-24 02:15:00,5.561,13.212
338,           2021-07-24 02:30:00,6.23,13.186
339,           2021-07-24 02:45:00,6.673,13.195
340,           2021-07-24 03:00:00,7.045,13.177
341,           2021-07-24 03:15:00,7.016,13.186
342,           2021-07-24 03:30:00,6.868,13.186
343,           2021-07-24 03:45:00,6.77,13.212
344,           2021-07-24 04:00:00,6.668,13.212
345,           2021-07-24 04:15:00,6.677,13.221
346,           2021-07-24 04:30:00,6.574,13.23
347,           2021-07-24 04:45:00,6.567,13.212
348,           2021-07-24 05:00:00,6.258,13.23
349,           2021-07-24 05:15:00,5.979,13.23
350,           2021-07-24 05:30:00,5.944,13.247
351,           2021-07-24 05:45:00,5.67,13.256
352,           2021-07-24 06:00:00,5.386,13.282
353,           2021-07-24 06:15:00,4.39,13.308
354,           2021-07-24 06:30:00,3.929,13.343
355,           2021-07-24 06:45:00,4.122,13.474
356,           2021-07-24 07:00:00,7.794,14.214
357,           2021-07-24 07:15:00,8.68,14.465
358,           2021-07-24 07:30:00,8.853,14.517
359,           2021-07-24 07:45:00,8.428,14.543
360,           2021-07-24 08:00:00,9.087,14.715
361,           2021-07-24 08:15:00,9.296,14.896
362,           2021-07-24 08:30:00,9.355,14.956
363,           2021-07-24 08:45:00,9.579,15.146
364,           2021-07-24 09:00:00,9.847,15.257
365,           2021-07-24 09:15:00,10.266,15.309
366,           2021-07-24 09:30:00,10.808,15.412
367,           2021-07-24 09:45:00,11.522,15.617
368,           2021-07-24 10:00:00,12.355,15.899
369,           2021-07-24 10:15:00,13.122,16.172
370,           2021-07-24 10:30:00,14.247,16.445
371,           2021-07-24 10:45:00,15.743,17.005
372,           2021-07-24 11:00:00,16.996,17.775
373,           2021-07-24 11:15:00,18.179,18.483
374,           2021-07-24 11:30:00,18.772,18.903
375,           2021-07-24 11:45:00,19.265,19.365
376,           2021-07-24 12:00:00,20.002,19.926
377,           2021-07-24 12:15:00,20.577,20.58
378,           2021-07-24 12:30:00,21.101,21.232
379,           2021-07-24 12:45:00,21.541,21.826
380,           2021-07-24 13:00:00,21.914,22.42
381,           2021-07-24 13:15:00,22.102,22.972
382,           2021-07-24 13:30:00,22.302,23.466
383,           2021-07-24 13:45:00,22.553,23.852
384,           2021-07-24 14:00:00,21.845,24.104
385,           2021-07-24 14:15:00,21.275,23.684
386,           2021-07-24 14:30:00,18.374,21.935
387,           2021-07-24 14:45:00,16.723,19.616
388,           2021-07-24 15:00:00,15.766,19.457
389,           2021-07-24 15:15:00,12.673,16.903
390,           2021-07-24 15:30:00,11.907,16.326
391,           2021-07-24 15:45:00,11.374,15.874
392,           2021-07-24 16:00:00,10.694,14.853
393,           2021-07-24 16:15:00,9.892,14.006
394,           2021-07-24 16:30:00,9.653,13.675
395,           2021-07-24 16:45:00,9.462,13.492
396,           2021-07-24 17:00:00,9.299,13.238
397,           2021-07-24 17:15:00,9.501,13.3
398,           2021-07-24 17:30:00,9.517,13.282
399,           2021-07-24 17:45:00,9.744,13.378
400,           2021-07-24 18:00:00,10.319,13.614
401,           2021-07-24 18:15:00,10.587,13.875
402,           2021-07-24 18:30:00,9.866,13.483
403,           2021-07-24 18:45:00,9.146,13.054
404,           2021-07-24 19:00:00,8.824,12.835
