scan_no,datetime,do_mgL,temp,date,time,do_cor
1,2021-07-20T21:00:00Z,9.05,23.28,07/20/21,14:00:00,9.035422680904556
2,2021-07-20T21:15:00Z,8.99,23.68,07/20/21,14:15:00,8.983573531518047
3,2021-07-20T21:30:00Z,8.93,23.96,07/20/21,14:30:00,8.93172438213154
4,2021-07-20T21:45:00Z,8.89,24.18,07/20/21,14:45:00,8.897158282540536
5,2021-07-20T22:00:00Z,8.84,24.44,07/20/21,15:00:00,8.853950658051778
6,2021-07-20T22:15:00Z,8.81,24.62,07/20/21,15:15:00,8.828026083358525
7,2021-07-20T22:30:00Z,8.79,24.78,07/20/21,15:30:00,8.810743033563021
8,2021-07-20T22:45:00Z,8.75,24.94,07/20/21,15:45:00,8.776176933972016
9,2021-07-20T23:00:00Z,8.74,25.06,07/20/21,16:00:00,8.767535409074265
10,2021-07-20T23:15:00Z,8.67,24.68,07/20/21,16:15:00,8.707044734790006
11,2021-07-20T23:30:00Z,8.76,24.72,07/20/21,16:30:00,8.784818458869767
12,2021-07-20T23:45:00Z,8.73,24.92,07/20/21,16:45:00,8.758893884176514
13,2021-07-21T00:00:00Z,8.68,25.08,07/20/21,17:00:00,8.715686259687757
14,2021-07-21T00:15:00Z,8.72,24.68,07/20/21,17:15:00,8.750252359278763
15,2021-07-21T00:30:00Z,8.74,24.64,07/20/21,17:30:00,8.767535409074265
16,2021-07-21T00:45:00Z,8.74,24.6,07/20/21,17:45:00,8.767535409074265
17,2021-07-21T01:00:00Z,8.76,24.62,07/20/21,18:00:00,8.784818458869767
18,2021-07-21T01:15:00Z,8.73,24.64,07/20/21,18:15:00,8.758893884176514
19,2021-07-21T01:30:00Z,8.73,24.66,07/20/21,18:30:00,8.758893884176514
20,2021-07-21T01:45:00Z,8.72,24.66,07/20/21,18:45:00,8.750252359278763
21,2021-07-21T02:00:00Z,8.72,24.64,07/20/21,19:00:00,8.750252359278763
22,2021-07-21T02:15:00Z,8.72,24.64,07/20/21,19:15:00,8.750252359278763
23,2021-07-21T02:30:00Z,8.71,24.64,07/20/21,19:30:00,8.741610834381012
24,2021-07-21T02:45:00Z,8.73,24.62,07/20/21,19:45:00,8.758893884176514
25,2021-07-21T03:00:00Z,8.72,24.6,07/20/21,20:00:00,8.750252359278763
26,2021-07-21T03:15:00Z,8.72,24.58,07/20/21,20:15:00,8.750252359278763
27,2021-07-21T03:30:00Z,8.74,24.6,07/20/21,20:30:00,8.767535409074265
28,2021-07-21T03:45:00Z,8.69,24.66,07/20/21,20:45:00,8.724327784585508
29,2021-07-21T04:00:00Z,8.7,24.64,07/20/21,21:00:00,8.73296930948326
30,2021-07-21T04:15:00Z,8.72,24.6,07/20/21,21:15:00,8.750252359278763
31,2021-07-21T04:30:00Z,8.72,24.56,07/20/21,21:30:00,8.750252359278763
32,2021-07-21T04:45:00Z,8.74,24.52,07/20/21,21:45:00,8.767535409074265
33,2021-07-21T05:00:00Z,8.74,24.46,07/20/21,22:00:00,8.767535409074265
34,2021-07-21T05:15:00Z,8.75,24.42,07/20/21,22:15:00,8.776176933972016
35,2021-07-21T05:30:00Z,8.77,24.36,07/20/21,22:30:00,8.79345998376752
36,2021-07-21T05:45:00Z,8.78,24.32,07/20/21,22:45:00,8.80210150866527
37,2021-07-21T06:00:00Z,8.8,24.26,07/20/21,23:00:00,8.819384558460774
38,2021-07-21T06:15:00Z,8.81,24.2,07/20/21,23:15:00,8.828026083358525
39,2021-07-21T06:30:00Z,8.82,24.14,07/20/21,23:30:00,8.836667608256276
40,2021-07-21T06:45:00Z,8.82,24.06,07/20/21,23:45:00,8.836667608256276
41,2021-07-21T07:00:00Z,8.83,24,07/21/21,00:00:00,8.845309133154027
42,2021-07-21T07:15:00Z,8.84,23.94,07/21/21,00:15:00,8.853950658051778
43,2021-07-21T07:30:00Z,8.85,23.86,07/21/21,00:30:00,8.862592182949529
44,2021-07-21T07:45:00Z,8.87,23.82,07/21/21,00:45:00,8.87987523274503
45,2021-07-21T08:00:00Z,8.87,23.74,07/21/21,01:00:00,8.87987523274503
46,2021-07-21T08:15:00Z,8.89,23.68,07/21/21,01:15:00,8.897158282540536
47,2021-07-21T08:30:00Z,8.89,23.6,07/21/21,01:30:00,8.897158282540536
48,2021-07-21T08:45:00Z,8.91,23.54,07/21/21,01:45:00,8.914441332336038
49,2021-07-21T09:00:00Z,8.91,23.48,07/21/21,02:00:00,8.914441332336038
50,2021-07-21T09:15:00Z,8.92,23.42,07/21/21,02:15:00,8.923082857233789
51,2021-07-21T09:30:00Z,8.94,23.36,07/21/21,02:30:00,8.94036590702929
52,2021-07-21T09:45:00Z,8.94,23.32,07/21/21,02:45:00,8.94036590702929
53,2021-07-21T10:00:00Z,8.95,23.26,07/21/21,03:00:00,8.949007431927042
54,2021-07-21T10:15:00Z,8.96,23.22,07/21/21,03:15:00,8.957648956824794
55,2021-07-21T10:30:00Z,8.97,23.16,07/21/21,03:30:00,8.966290481722545
56,2021-07-21T10:45:00Z,8.97,23.1,07/21/21,03:45:00,8.966290481722545
57,2021-07-21T11:00:00Z,8.99,23.06,07/21/21,04:00:00,8.983573531518047
58,2021-07-21T11:15:00Z,9.01,23,07/21/21,04:15:00,9.00085658131355
59,2021-07-21T11:30:00Z,9,22.94,07/21/21,04:30:00,8.9922150564158
60,2021-07-21T11:45:00Z,9.03,22.88,07/21/21,04:45:00,9.018139631109053
61,2021-07-21T12:00:00Z,9.02,22.84,07/21/21,05:00:00,9.009498106211302
62,2021-07-21T12:15:00Z,9.05,22.78,07/21/21,05:15:00,9.035422680904556
63,2021-07-21T12:30:00Z,9.04,22.74,07/21/21,05:30:00,9.026781156006804
64,2021-07-21T12:45:00Z,9.06,22.7,07/21/21,05:45:00,9.044064205802307
65,2021-07-21T13:00:00Z,9.08,22.64,07/21/21,06:00:00,9.06134725559781
66,2021-07-21T13:15:00Z,9.09,22.6,07/21/21,06:15:00,9.06998878049556
67,2021-07-21T13:30:00Z,9.09,22.56,07/21/21,06:30:00,9.06998878049556
68,2021-07-21T13:45:00Z,9.05,22.48,07/21/21,06:45:00,9.035422680904556
