scan_no,datetime,do_mgL,temp,date,time,do_cor
1,2021-07-20T14:15:00Z,7.994,24.544,07/20/21,14:15:00,8.78960655518142
2,2021-07-20T14:30:00Z,7.982,24.796,07/20/21,14:30:00,8.776145545779768
3,2021-07-20T14:45:00Z,7.927,25.058,07/20/21,14:45:00,8.714449252688862
4,2021-07-20T15:00:00Z,7.916,25.311,07/20/21,15:00:00,8.70210999407068
5,2021-07-20T15:15:00Z,7.891,25.471,07/20/21,15:15:00,8.674066224483905
6,2021-07-20T15:30:00Z,7.863,25.665,07/20/21,15:30:00,8.642657202546717
7,2021-07-20T15:45:00Z,7.861,25.783,07/20/21,15:45:00,8.640413700979774
8,2021-07-20T15:00:00Z,7.855,25.926,07/20/21,15:00:00,8.633683196278948
9,2021-07-20T16:15:00Z,7.878,25.572,07/20/21,16:15:00,8.659483464298782
10,2021-07-20T16:30:00Z,7.862,25.53,07/20/21,16:30:00,8.641535451763245
11,2021-07-20T16:45:00Z,7.838,25.918,07/20/21,16:45:00,8.61461343295994
12,2021-07-20T17:00:00Z,7.854,25.892,07/20/21,17:00:00,8.632561445495478
13,2021-07-20T17:15:00Z,7.861,25.437,07/20/21,17:15:00,8.640413700979774
14,2021-07-20T17:30:00Z,7.925,25.311,07/20/21,17:30:00,8.71220575112192
15,2021-07-20T17:45:00Z,7.915,25.226,07/20/21,17:45:00,8.70098824328721
16,2021-07-20T18:00:00Z,7.911,25.243,07/20/21,18:00:00,8.696501240153324
17,2021-07-20T18:15:00Z,7.911,25.252,07/20/21,18:15:00,8.696501240153324
18,2021-07-20T18:30:00Z,7.908,25.26,07/20/21,18:30:00,8.693135987802913
19,2021-07-20T18:45:00Z,7.898,25.235,07/20/21,18:45:00,8.681918479968202
20,2021-07-20T19:00:00Z,7.897,25.252,07/20/21,19:00:00,8.680796729184731
21,2021-07-20T19:15:00Z,7.923,25.235,07/20/21,19:15:00,8.709962249554978
22,2021-07-20T19:30:00Z,7.926,25.235,07/20/21,19:30:00,8.713327501905392
23,2021-07-20T19:45:00Z,7.911,25.235,07/20/21,19:45:00,8.696501240153324
24,2021-07-20T20:00:00Z,7.89,25.218,07/20/21,20:00:00,8.672944473700433
25,2021-07-20T20:15:00Z,7.937,25.193,07/20/21,20:15:00,8.725666760523572
26,2021-07-20T20:30:00Z,7.903,25.21,07/20/21,20:30:00,8.687527233885557
27,2021-07-20T20:45:00Z,7.908,25.226,07/20/21,20:45:00,8.693135987802913
28,2021-07-20T21:00:00Z,7.922,25.21,07/20/21,21:00:00,8.708840498771506
29,2021-07-20T21:15:00Z,7.919,25.176,07/20/21,21:15:00,8.705475246421093
30,2021-07-20T21:30:00Z,7.928,25.167,07/20/21,21:30:00,8.715571003472332
31,2021-07-20T21:45:00Z,7.955,25.117,07/20/21,21:45:00,8.74585827462605
32,2021-07-20T22:00:00Z,7.952,25.083,07/20/21,22:00:00,8.742493022275637
33,2021-07-20T22:15:00Z,7.94,25.041,07/20/21,22:15:00,8.729032012873985
34,2021-07-20T22:30:00Z,7.967,24.99,07/20/21,22:30:00,8.759319284027702
35,2021-07-20T22:45:00Z,7.969,24.931,07/20/21,22:45:00,8.761562785594645
36,2021-07-20T23:00:00Z,7.98,24.864,07/20/21,23:00:00,8.773902044212827
37,2021-07-20T23:15:00Z,7.989,24.805,07/20/21,23:15:00,8.783997801264064
38,2021-07-20T23:30:00Z,7.998,24.721,07/20/21,23:30:00,8.794093558315303
39,2021-07-20T23:45:00Z,8.019,24.636,07/20/21,23:45:00,8.817650324768195
40,2021-07-21T00:00:00Z,8.029,24.569,07/21/21,00:00:00,8.828867832602906
41,2021-07-21T00:15:00Z,8.046,24.476,07/21/21,00:15:00,8.847937595921913
42,2021-07-21T00:30:00Z,8.063,24.383,07/21/21,00:30:00,8.86700735924092
43,2021-07-21T00:45:00Z,8.063,24.341,07/21/21,00:45:00,8.86700735924092
44,2021-07-21T01:00:00Z,8.06,24.249,07/21/21,01:00:00,8.863642106890508
45,2021-07-21T01:15:00Z,8.066,24.206,07/21/21,01:15:00,8.870372611591334
46,2021-07-21T01:30:00Z,8.06,24.097,07/21/21,01:30:00,8.863642106890508
47,2021-07-21T01:45:00Z,8.075,24.013,07/21/21,01:45:00,8.880468368642571
48,2021-07-21T02:00:00Z,8.099,23.962,07/21/21,02:00:00,8.907390387445878
49,2021-07-21T02:15:00Z,8.104,23.92,07/21/21,02:15:00,8.912999141363231
50,2021-07-21T02:30:00Z,8.136,23.852,07/21/21,02:30:00,8.948895166434305
51,2021-07-21T02:45:00Z,8.138,23.802,07/21/21,02:45:00,8.951138668001247
52,2021-07-21T03:00:00Z,8.135,23.743,07/21/21,03:00:00,8.947773415650834
53,2021-07-21T03:15:00Z,8.128,23.692,07/21/21,03:15:00,8.939921160166536
54,2021-07-21T03:30:00Z,8.153,23.616,07/21/21,03:30:00,8.967964929753313
55,2021-07-21T03:45:00Z,8.138,23.6,07/21/21,03:45:00,8.951138668001247
56,2021-07-21T04:00:00Z,8.158,23.515,07/21/21,04:00:00,8.973573683670667
57,2021-07-21T04:15:00Z,8.199,23.448,07/21/21,04:15:00,9.01956546579298
58,2021-07-21T04:30:00Z,8.178,23.406,07/21/21,04:30:00,8.996008699340088
59,2021-07-21T04:45:00Z,8.207,23.347,07/21/21,04:45:00,9.028539472060748
60,2021-07-21T05:00:00Z,8.203,23.305,07/21/21,05:00:00,9.024052468926863
61,2021-07-21T05:15:00Z,8.213,23.246,07/21/21,05:15:00,9.035269976761573
62,2021-07-21T05:30:00Z,8.224,23.203,07/21/21,05:30:00,9.047609235379754
63,2021-07-21T05:45:00Z,8.192,23.161,07/21/21,05:45:00,9.011713210308683
64,2021-07-21T06:00:00Z,8.215,23.102,07/21/21,06:00:00,9.037513478328515
65,2021-07-21T06:15:00Z,8.208,23.069,07/21/21,06:15:00,9.029661222844219
66,2021-07-21T06:30:00Z,8.229,23.035,07/21/21,06:30:00,9.053217989297108
67,2021-07-21T06:45:00Z,8.234,22.951,07/21/21,06:45:00,9.058826743214464
68,2021-07-21T07:00:00Z,8.265,22.63,07/21/21,07:00:00,9.093601017502067
69,2021-07-21T07:15:00Z,8.297,22.31,07/21/21,07:15:00,9.12949704257314
70,2021-07-21T07:30:00Z,8.316,22.057,07/21/21,07:30:00,9.15081030745909
71,2021-07-21T07:45:00Z,8.354,21.838,07/21/21,07:45:00,9.193436837230987
72,2021-07-21T08:00:00Z,8.4,21.711,07/21/21,08:00:00,9.245037373270655
73,2021-07-21T08:15:00Z,8.424,21.585,07/21/21,08:15:00,9.271959392073958
74,2021-07-21T08:30:00Z,8.444,21.534,07/21/21,08:30:00,9.294394407743379
75,2021-07-21T08:45:00Z,8.43,21.551,07/21/21,08:45:00,9.278689896774784
76,2021-07-21T09:00:00Z,8.391,21.576,07/21/21,09:00:00,9.234941616219414
77,2021-07-21T09:15:00Z,8.426,21.56,07/21/21,09:15:00,9.2742028936409
78,2021-07-21T09:30:00Z,8.404,21.585,07/21/21,09:30:00,9.249524376404539
79,2021-07-21T09:45:00Z,8.407,21.661,07/21/21,09:45:00,9.252889628754952
80,2021-07-21T10:00:00Z,8.437,21.695,07/21/21,10:00:00,9.28654215225908
81,2021-07-21T10:15:00Z,8.381,21.77,07/21/21,10:15:00,9.223724108384705
82,2021-07-21T10:30:00Z,8.392,21.829,07/21/21,10:30:00,9.236063367002885
83,2021-07-21T10:45:00Z,8.403,21.872,07/21/21,10:45:00,9.248402625621068
84,2021-07-21T11:00:00Z,8.401,21.956,07/21/21,11:00:00,9.246159124054126
85,2021-07-21T11:15:00Z,8.367,22.023,07/21/21,11:15:00,9.208019597416111
86,2021-07-21T11:30:00Z,8.367,22.133,07/21/21,11:30:00,9.208019597416111
87,2021-07-21T11:45:00Z,8.349,22.217,07/21/21,11:45:00,9.187828083313633
88,2021-07-21T12:00:00Z,8.355,22.335,07/21/21,12:00:00,9.19455858801446
89,2021-07-21T12:15:00Z,8.315,22.436,07/21/21,12:15:00,9.149688556675617
90,2021-07-21T12:30:00Z,8.306,22.597,07/21/21,12:30:00,9.139592799624378
91,2021-07-21T12:45:00Z,8.249,22.757,07/21/21,12:45:00,9.075653004966531
92,2021-07-21T13:00:00Z,8.234,22.976,07/21/21,13:00:00,9.058826743214464
93,2021-07-21T13:15:00Z,8.215,23.161,07/21/21,13:15:00,9.037513478328515
94,2021-07-21T13:30:00Z,8.213,23.321,07/21/21,13:30:00,9.035269976761573
95,2021-07-21T13:45:00Z,8.198,23.507,07/21/21,13:45:00,9.018443715009509
96,2021-07-21T14:00:00Z,8.167,23.701,07/21/21,14:00:00,8.983669440721906
97,2021-07-21T14:15:00Z,8.148,23.869,07/21/21,14:15:00,8.962356175835957
98,2021-07-21T14:30:00Z,8.132,23.987,07/21/21,14:30:00,8.94440816330042
99,2021-07-21T14:45:00Z,8.099,24.215,07/21/21,14:45:00,8.907390387445878
100,2021-07-21T15:00:00Z,8.079,24.383,07/21/21,15:00:00,8.884955371776458
101,2021-07-21T15:15:00Z,8.04,24.552,07/21/21,15:15:00,8.8412070912210865
102,2021-07-21T15:30:00Z,8.022,24.704,07/21/21,15:30:00,8.821015577118608
103,2021-07-21T15:45:00Z,7.998,24.872,07/21/21,15:45:00,8.794093558315303
104,2021-07-21T15:00:00Z,8.01,24.999,07/21/21,15:00:00,8.807554567716956
105,2021-07-21T16:15:00Z,7.994,25.092,07/21/21,16:15:00,8.78960655518142
106,2021-07-21T16:30:00Z,7.981,25.167,07/21/21,16:30:00,8.775023794996297
107,2021-07-21T16:45:00Z,7.978,25.201,07/21/21,16:45:00,8.771658542645884
108,2021-07-21T17:00:00Z,7.974,25.243,07/21/21,17:00:00,8.767171539512
109,2021-07-21T17:15:00Z,7.966,25.235,07/21/21,17:15:00,8.758197533244232
110,2021-07-21T17:30:00Z,7.976,25.21,07/21/21,17:30:00,8.769415041078942
111,2021-07-21T17:45:00Z,7.962,25.167,07/21/21,17:45:00,8.753710530110347
112,2021-07-21T18:00:00Z,7.959,25.117,07/21/21,18:00:00,8.750345277759934
113,2021-07-21T18:15:00Z,7.973,25.083,07/21/21,18:15:00,8.766049788728528
114,2021-07-21T18:30:00Z,7.97,25.024,07/21/21,18:30:00,8.762684536378115
115,2021-07-21T18:45:00Z,8,24.99,07/21/21,18:45:00,8.796337059882246
116,2021-07-21T19:00:00Z,7.973,24.974,07/21/21,19:00:00,8.766049788728528
117,2021-07-21T19:15:00Z,7.998,24.94,07/21/21,19:15:00,8.794093558315303
118,2021-07-21T19:30:00Z,8.015,24.906,07/21/21,19:30:00,8.813163321634311
119,2021-07-21T19:45:00Z,8,24.872,07/21/21,19:45:00,8.796337059882246
120,2021-07-21T20:00:00Z,7.997,24.83,07/21/21,20:00:00,8.792971807531833
121,2021-07-21T20:15:00Z,7.994,24.822,07/21/21,20:15:00,8.78960655518142
122,2021-07-21T20:30:00Z,7.993,24.78,07/21/21,20:30:00,8.78848480439795
123,2021-07-21T20:45:00Z,7.999,24.746,07/21/21,20:45:00,8.795215309098774
124,2021-07-21T21:00:00Z,8.023,24.737,07/21/21,21:00:00,8.822137327902078
125,2021-07-21T21:15:00Z,7.986,24.746,07/21/21,21:15:00,8.780632548913651
126,2021-07-21T21:30:00Z,8.01,24.805,07/21/21,21:30:00,8.807554567716956
127,2021-07-21T21:45:00Z,7.998,24.763,07/21/21,21:45:00,8.794093558315303
128,2021-07-21T22:00:00Z,8.014,24.729,07/21/21,22:00:00,8.81204157085084
129,2021-07-21T22:15:00Z,8.016,24.678,07/21/21,22:15:00,8.814285072417782
130,2021-07-21T22:30:00Z,8.026,24.636,07/21/21,22:30:00,8.825502580252492
131,2021-07-21T22:45:00Z,8.037,24.586,07/21/21,22:45:00,8.837841838870675
132,2021-07-21T23:00:00Z,8.037,24.518,07/21/21,23:00:00,8.837841838870675
133,2021-07-21T23:15:00Z,8.058,24.485,07/21/21,23:15:00,8.861398605323565
134,2021-07-21T23:30:00Z,8.07,24.434,07/21/21,23:30:00,8.874859614725217
135,2021-07-21T23:45:00Z,8.092,24.383,07/21/21,23:45:00,8.899538131961581
136,2021-07-22T00:00:00Z,8.065,24.308,07/22/21,00:00:00,8.869250860807862
137,2021-07-22T00:15:00Z,8.115,24.257,07/22/21,00:15:00,8.925338399981413
138,2021-07-22T00:30:00Z,8.105,24.223,07/22/21,00:30:00,8.914120892146704
139,2021-07-22T00:45:00Z,8.129,24.156,07/22/21,00:45:00,8.941042910950006
140,2021-07-22T01:00:00Z,8.111,24.105,07/22/21,01:00:00,8.92085139684753
141,2021-07-22T01:15:00Z,8.111,24.055,07/22/21,01:15:00,8.92085139684753
142,2021-07-22T01:30:00Z,8.113,23.987,07/22/21,01:30:00,8.92309489841447
143,2021-07-22T01:45:00Z,8.128,23.937,07/22/21,01:45:00,8.939921160166536
144,2021-07-22T02:00:00Z,8.147,23.878,07/22/21,02:00:00,8.961234425052487
145,2021-07-22T02:15:00Z,8.15,23.802,07/22/21,02:15:00,8.9645996774029
146,2021-07-22T02:30:00Z,8.153,23.751,07/22/21,02:30:00,8.967964929753313
147,2021-07-22T02:45:00Z,8.175,23.701,07/22/21,02:45:00,8.992643446989675
148,2021-07-22T03:00:00Z,8.177,23.616,07/22/21,03:00:00,8.994886948556616
149,2021-07-22T03:15:00Z,8.185,23.574,07/22/21,03:15:00,9.003860954824386
150,2021-07-22T03:30:00Z,8.175,23.49,07/22/21,03:30:00,8.992643446989675
151,2021-07-22T03:45:00Z,8.209,23.439,07/22/21,03:45:00,9.030782973627689
152,2021-07-22T04:00:00Z,8.207,23.389,07/22/21,04:00:00,9.028539472060748
153,2021-07-22T04:15:00Z,8.221,23.313,07/22/21,04:15:00,9.044243983029341
154,2021-07-22T04:30:00Z,8.22,23.229,07/22/21,04:30:00,9.04312223224587
155,2021-07-22T04:45:00Z,8.225,23.187,07/22/21,04:45:00,9.048730986163225
156,2021-07-22T05:00:00Z,8.24,23.128,07/22/21,05:00:00,9.065557247915292
157,2021-07-22T05:15:00Z,8.26,23.069,07/22/21,05:15:00,9.087992263584711
158,2021-07-22T05:30:00Z,8.255,23.01,07/22/21,05:30:00,9.082383509667357
159,2021-07-22T05:45:00Z,8.268,22.934,07/22/21,05:45:00,9.09696626985248
160,2021-07-22T06:00:00Z,8.289,22.875,07/22/21,06:00:00,9.12052303630537
161,2021-07-22T06:15:00Z,8.268,22.849,07/22/21,06:15:00,9.09696626985248
162,2021-07-22T06:30:00Z,8.308,22.765,07/22/21,06:30:00,9.14183630119132
163,2021-07-22T06:45:00Z,8.312,22.698,07/22/21,06:45:00,9.146323304325204
164,2021-07-22T07:00:00Z,8.337,22.386,07/22/21,07:00:00,9.174367073911979
165,2021-07-22T07:15:00Z,8.405,22.108,07/22/21,07:15:00,9.25064612718801
166,2021-07-22T07:30:00Z,8.393,21.846,07/22/21,07:30:00,9.237185117786359
167,2021-07-22T07:45:00Z,8.421,21.636,07/22/21,07:45:00,9.268594139723545
168,2021-07-22T08:00:00Z,8.445,21.475,07/22/21,08:00:00,9.29551615852685
169,2021-07-22T08:15:00Z,8.463,21.349,07/22/21,08:15:00,9.315707672629328
170,2021-07-22T08:30:00Z,8.462,21.307,07/22/21,08:30:00,9.314585921845858
171,2021-07-22T08:45:00Z,8.447,21.281,07/22/21,08:45:00,9.29775966009379
172,2021-07-22T09:00:00Z,8.463,21.264,07/22/21,09:00:00,9.315707672629328
173,2021-07-22T09:15:00Z,8.489,21.298,07/22/21,09:15:00,9.344873192999575
174,2021-07-22T09:30:00Z,8.466,21.366,07/22/21,09:30:00,9.319072924979741
175,2021-07-22T09:45:00Z,8.458,21.433,07/22/21,09:45:00,9.310098918711974
176,2021-07-22T10:00:00Z,8.423,21.509,07/22/21,10:00:00,9.270837641290488
177,2021-07-22T10:15:00Z,8.441,21.627,07/22/21,10:15:00,9.291029155392966
178,2021-07-22T10:30:00Z,8.409,21.762,07/22/21,10:30:00,9.255133130321894
179,2021-07-22T10:45:00Z,8.379,21.939,07/22/21,10:45:00,9.221480606817762
180,2021-07-22T11:00:00Z,8.347,22.082,07/22/21,11:00:00,9.18558458174669
181,2021-07-22T11:15:00Z,8.336,22.259,07/22/21,11:15:00,9.173245323128508
182,2021-07-22T11:30:00Z,8.295,22.462,07/22/21,11:30:00,9.127253541006198
183,2021-07-22T11:45:00Z,8.282,22.656,07/22/21,11:45:00,9.112670780821073
184,2021-07-22T12:00:00Z,8.245,22.858,07/22/21,12:00:00,9.071166001832646
185,2021-07-22T12:15:00Z,8.241,23.052,07/22/21,12:15:00,9.066678998698762
186,2021-07-22T12:30:00Z,8.215,23.237,07/22/21,12:30:00,9.037513478328515
187,2021-07-22T12:45:00Z,8.156,23.49,07/22/21,12:45:00,8.971330182103726
188,2021-07-22T13:00:00Z,8.136,23.675,07/22/21,13:00:00,8.948895166434305
189,2021-07-22T13:15:00Z,8.104,23.911,07/22/21,13:15:00,8.912999141363231
190,2021-07-22T13:30:00Z,8.068,24.147,07/22/21,13:30:00,8.872616113158275
191,2021-07-22T13:45:00Z,8.03,24.35,07/22/21,13:45:00,8.829989583386377
192,2021-07-22T14:00:00Z,8.003,24.586,07/22/21,14:00:00,8.79970231223266
193,2021-07-22T14:15:00Z,8.001,24.805,07/22/21,14:15:00,8.797458810665717
194,2021-07-22T14:30:00Z,7.975,25.007,07/22/21,14:30:00,8.768293290295471
195,2021-07-22T14:45:00Z,7.924,25.21,07/22/21,14:45:00,8.711084000338449
196,2021-07-22T15:00:00Z,7.846,25.167,07/22/21,15:00:00,8.623587439227709
197,2021-07-22T15:15:00Z,7.694,26.111,07/22/21,15:15:00,8.453081320140114
198,2021-07-22T15:30:00Z,7.735,26.659,07/22/21,15:30:00,8.499073102262425
199,2021-07-22T15:45:00Z,7.636,27.425,07/22/21,15:45:00,8.388019774698796
200,2021-07-22T15:00:00Z,7.781,26.28,07/22/21,15:00:00,8.550673638302092
201,2021-07-22T16:15:00Z,7.898,25.572,07/22/21,16:15:00,8.681918479968202
202,2021-07-22T16:30:00Z,7.948,25.108,07/22/21,16:30:00,8.738006019141753
203,2021-07-22T16:45:00Z,7.965,24.771,07/22/21,16:45:00,8.75707578246076
204,2021-07-22T17:00:00Z,7.986,24.544,07/22/21,17:00:00,8.780632548913651
205,2021-07-22T17:15:00Z,8.026,24.367,07/22/21,17:15:00,8.825502580252492
206,2021-07-22T17:30:00Z,8.079,24.215,07/22/21,17:30:00,8.884955371776458
207,2021-07-22T17:45:00Z,8.081,24.122,07/22/21,17:45:00,8.887198873343399
208,2021-07-22T18:00:00Z,8.092,24.055,07/22/21,18:00:00,8.899538131961581
209,2021-07-22T18:15:00Z,8.065,24.021,07/22/21,18:15:00,8.869250860807862
210,2021-07-22T18:30:00Z,8.083,24.029,07/22/21,18:30:00,8.889442374910342
211,2021-07-22T18:45:00Z,8.091,24.013,07/22/21,18:45:00,8.898416381178109
212,2021-07-22T19:00:00Z,8.082,23.987,07/22/21,19:00:00,8.888320624126871
213,2021-07-22T19:15:00Z,8.083,23.996,07/22/21,19:15:00,8.889442374910342
214,2021-07-22T19:30:00Z,8.099,23.97,07/22/21,19:30:00,8.907390387445878
215,2021-07-22T19:45:00Z,8.084,23.996,07/22/21,19:45:00,8.890564125693812
216,2021-07-22T20:00:00Z,8.089,23.97,07/22/21,20:00:00,8.896172879611168
217,2021-07-22T20:15:00Z,8.103,23.979,07/22/21,20:15:00,8.911877390579761
218,2021-07-22T20:30:00Z,8.075,23.962,07/22/21,20:30:00,8.880468368642571
219,2021-07-22T20:45:00Z,8.074,24.013,07/22/21,20:45:00,8.8793466178591
220,2021-07-22T21:00:00Z,8.077,24.013,07/22/21,21:00:00,8.882711870209514
221,2021-07-22T21:15:00Z,8.077,24.013,07/22/21,21:15:00,8.882711870209514
