scan_no,datetime,do_mgL,temp,date,time,do_cor
1,2021-07-20T14:15:00Z,8.471,23.634,07/20/21,14:15:00,8.736661402642316
2,2021-07-20T14:30:00Z,8.428,23.844,07/20/21,14:30:00,8.691653980368029
3,2021-07-20T14:45:00Z,8.407,24.095,07/20/21,14:45:00,8.669673611350353
4,2021-07-20T15:00:00Z,8.364,24.397,07/20/21,15:00:00,8.624666189076066
5,2021-07-20T15:15:00Z,8.323,24.666,07/20/21,15:15:00,8.58175213527965
6,2021-07-20T15:30:00Z,8.273,24.927,07/20/21,15:30:00,8.529417923332804
7,2021-07-20T15:45:00Z,8.26,25.12,07/20/21,15:45:00,8.515811028226624
8,2021-07-20T16:00:00Z,8.229,25.221,07/20/21,16:00:00,8.483363816819578
9,2021-07-20T16:15:00Z,8.228,26.056,07/20/21,16:15:00,8.482317132580642
10,2021-07-20T16:30:00Z,8.146,26.826,07/20/21,16:30:00,8.396489024987815
11,2021-07-20T16:45:00Z,8.215,26.267,07/20/21,16:45:00,8.468710237474463
12,2021-07-20T17:00:00Z,8.265,25.837,07/20/21,17:00:00,8.521044449421309
13,2021-07-20T17:15:00Z,8.336,25.28,07/20/21,17:15:00,8.595359030385831
14,2021-07-20T17:30:00Z,8.354,25.146,07/20/21,17:30:00,8.614199346686695
15,2021-07-20T17:45:00Z,8.375,25.011,07/20/21,17:45:00,8.63617971570437
16,2021-07-20T18:00:00Z,8.385,24.91,07/20/21,18:00:00,8.64664655809374
17,2021-07-20T18:15:00Z,8.401,24.817,07/20/21,18:15:00,8.663393505916732
18,2021-07-20T18:30:00Z,8.405,24.75,07/20/21,18:30:00,8.667580242872479
19,2021-07-20T18:45:00Z,8.403,24.675,07/20/21,18:45:00,8.665486874394606
20,2021-07-20T19:00:00Z,8.415,24.658,07/20/21,19:00:00,8.678047085261847
21,2021-07-20T19:15:00Z,8.41,24.607,07/20/21,19:15:00,8.672813664067164
22,2021-07-20T19:30:00Z,8.424,24.591,07/20/21,19:30:00,8.68746724341228
23,2021-07-20T19:45:00Z,8.424,24.565,07/20/21,19:45:00,8.68746724341228
24,2021-07-20T20:00:00Z,8.431,24.532,07/20/21,20:00:00,8.694794033084838
25,2021-07-20T20:15:00Z,8.44,24.515,07/20/21,20:15:00,8.704214191235272
26,2021-07-20T20:30:00Z,8.434,24.507,07/20/21,20:30:00,8.697934085801649
27,2021-07-20T20:45:00Z,8.431,24.498,07/20/21,20:45:00,8.694794033084838
28,2021-07-20T21:00:00Z,8.429,24.515,07/20/21,21:00:00,8.692700664606965
29,2021-07-20T21:15:00Z,8.439,24.481,07/20/21,21:15:00,8.703167506996335
30,2021-07-20T21:30:00Z,8.447,24.49,07/20/21,21:30:00,8.711540980907829
31,2021-07-20T21:45:00Z,8.45,24.456,07/20/21,21:45:00,8.71468103362464
32,2021-07-20T22:00:00Z,8.453,24.439,07/20/21,22:00:00,8.717821086341452
33,2021-07-20T22:15:00Z,8.474,24.406,07/20/21,22:15:00,8.739801455359128
34,2021-07-20T22:30:00Z,8.468,24.389,07/20/21,22:30:00,8.733521349925505
35,2021-07-20T22:45:00Z,8.483,24.33,07/20/21,22:45:00,8.74922161350956
36,2021-07-20T23:00:00Z,8.49,24.28,07/20/21,23:00:00,8.75654840318212
37,2021-07-20T23:15:00Z,8.497,24.246,07/20/21,23:15:00,8.763875192854677
38,2021-07-20T23:30:00Z,8.508,24.204,07/20/21,23:30:00,8.775388719482981
39,2021-07-20T23:45:00Z,8.53,24.137,07/20/21,23:45:00,8.798415772739595
40,2021-07-21T00:00:00Z,8.52,24.087,07/21/21,00:00:00,8.787948930350225
41,2021-07-21T00:15:00Z,8.519,24.036,07/21/21,00:15:00,8.78690224611129
42,2021-07-21T00:30:00Z,8.543,23.969,07/21/21,00:30:00,8.812022667845774
43,2021-07-21T00:45:00Z,8.547,23.902,07/21/21,00:45:00,8.816209404801524
44,2021-07-21T01:00:00Z,8.57,23.827,07/21/21,01:00:00,8.840283142297073
45,2021-07-21T01:15:00Z,8.571,23.776,07/21/21,01:15:00,8.84132982653601
46,2021-07-21T01:30:00Z,8.57,23.718,07/21/21,01:30:00,8.840283142297073
47,2021-07-21T01:45:00Z,8.592,23.642,07/21/21,01:45:00,8.863310195553685
48,2021-07-21T02:00:00Z,8.604,23.584,07/21/21,02:00:00,8.875870406420928
49,2021-07-21T02:15:00Z,8.606,23.542,07/21/21,02:15:00,8.877963774898802
50,2021-07-21T02:30:00Z,8.617,23.475,07/21/21,02:30:00,8.889477301527108
51,2021-07-21T02:45:00Z,8.61,23.433,07/21/21,02:45:00,8.88215051185455
52,2021-07-21T03:00:00Z,8.63,23.366,07/21/21,03:00:00,8.903084196633289
53,2021-07-21T03:15:00Z,8.638,23.316,07/21/21,03:15:00,8.911457670544785
54,2021-07-21T03:30:00Z,8.655,23.265,07/21/21,03:30:00,8.92925130260671
55,2021-07-21T03:45:00Z,8.658,23.207,07/21/21,03:45:00,8.932391355323523
56,2021-07-21T04:00:00Z,8.665,23.173,07/21/21,04:00:00,8.93971814499608
57,2021-07-21T04:15:00Z,8.671,23.106,07/21/21,04:15:00,8.945998250429701
58,2021-07-21T04:30:00Z,8.684,23.048,07/21/21,04:30:00,8.959605145535882
59,2021-07-21T04:45:00Z,8.691,22.981,07/21/21,04:45:00,8.966931935208441
60,2021-07-21T05:00:00Z,8.695,22.955,07/21/21,05:00:00,8.97111867216419
61,2021-07-21T05:15:00Z,8.7,22.905,07/21/21,05:15:00,8.976352093358873
62,2021-07-21T05:30:00Z,8.728,22.838,07/21/21,05:30:00,9.005659252049107
63,2021-07-21T05:45:00Z,8.74,22.813,07/21/21,05:45:00,9.01821946291635
64,2021-07-21T06:00:00Z,8.724,22.746,07/21/21,06:00:00,9.00147251509336
65,2021-07-21T06:15:00Z,8.739,22.721,07/21/21,06:15:00,9.017172778677415
66,2021-07-21T06:30:00Z,8.743,22.671,07/21/21,06:30:00,9.021359515633161
67,2021-07-21T06:45:00Z,8.759,22.612,07/21/21,06:45:00,9.038106463456153
68,2021-07-21T07:00:00Z,8.77,22.47,07/21/21,07:00:00,9.049619990084459
69,2021-07-21T07:15:00Z,8.78,22.336,07/21/21,07:15:00,9.060086832473827
70,2021-07-21T07:30:00Z,8.801,22.169,07/21/21,07:30:00,9.082067201491503
71,2021-07-21T07:45:00Z,8.836,22.018,07/21/21,07:45:00,9.118701149854296
72,2021-07-21T08:00:00Z,9.162,19.037,07/21/21,08:00:00,9.459920211747736
73,2021-07-21T08:15:00Z,9.747,16.368,07/21/21,08:15:00,10.07223049152584
74,2021-07-21T08:30:00Z,9.877,15.805,07/21/21,08:30:00,10.208299442587641
75,2021-07-21T08:45:00Z,9.895,15.686,07/21/21,08:45:00,10.227139758888505
76,2021-07-21T09:00:00Z,9.917,15.669,07/21/21,09:00:00,10.250166812145117
77,2021-07-21T09:15:00Z,9.873,15.916,07/21/21,09:15:00,10.204112705631891
78,2021-07-21T09:30:00Z,9.856,15.763,07/21/21,09:30:00,10.186319073569964
79,2021-07-21T09:45:00Z,9.869,15.797,07/21/21,09:45:00,10.199925968676144
80,2021-07-21T10:00:00Z,9.795,16.283,07/21/21,10:00:00,10.122471334994811
81,2021-07-21T10:15:00Z,14.331,16.92,07/21/21,10:15:00,14.870231042812726
82,2021-07-21T10:30:00Z,15.568,17.513,07/21/21,10:30:00,16.16497944637771
83,2021-07-21T10:45:00Z,15.892,17.758,07/21/21,10:45:00,16.504105139793275
84,2021-07-21T11:00:00Z,16.357,17.876,07/21/21,11:00:00,16.990813310898947
85,2021-07-21T11:15:00Z,16.129,18.062,07/21/21,11:15:00,16.75216930442133
86,2021-07-21T11:30:00Z,16.12,18.365,07/21/21,11:30:00,16.742749146270896
87,2021-07-21T11:45:00Z,16.211,18.289,07/21/21,11:45:00,16.837997412014154
88,2021-07-21T12:00:00Z,14.978,18.087,07/21/21,12:00:00,15.54743574540492
89,2021-07-21T12:15:00Z,15.169,18.525,07/21/21,12:15:00,15.747352435041874
90,2021-07-21T12:30:00Z,14.156,18.112,07/21/21,12:30:00,14.687061300998764
91,2021-07-21T12:45:00Z,13.056,17.479,07/21/21,12:45:00,13.53570863816814
92,2021-07-21T13:00:00Z,12.351,16.997,07/21/21,13:00:00,12.797796249717607
93,2021-07-21T13:15:00Z,11.856,16.53,07/21/21,13:15:00,12.279687551443825
94,2021-07-21T13:30:00Z,11.535,15.899,07/21/21,13:30:00,11.94370191074507
95,2021-07-21T13:45:00Z,11.34,14.801,07/21/21,13:45:00,11.739598484152369
96,2021-07-21T14:00:00Z,11.084,14.075,07/21/21,14:00:00,11.471647318984514
97,2021-07-21T14:15:00Z,10.777,13.701,07/21/21,14:15:00,11.150315257630876
98,2021-07-21T14:30:00Z,10.669,13.632,07/21/21,14:30:00,11.037273359825688
99,2021-07-21T14:45:00Z,10.587,13.553,07/21/21,14:45:00,10.95144525223286
100,2021-07-21T15:00:00Z,10.567,13.509,07/21/21,15:00:00,10.930511567454122
101,2021-07-21T15:15:00Z,10.616,13.658,07/21/21,15:15:00,10.981799095162032
102,2021-07-21T15:30:00Z,10.819,13.858,07/21/21,15:30:00,11.19427599566623
103,2021-07-21T15:45:00Z,10.89,13.954,07/21/21,15:45:00,11.26859057663075
