scan_no,datetime,do_mgL,temp,date,time,do_cor
1,2021-07-20T21:00:00Z,8.74,23.84,07/20/21,14:00:00,8.621954966967689
2,2021-07-20T21:15:00Z,8.71,24.04,07/20/21,14:15:00,8.592923207467114
3,2021-07-20T21:30:00Z,8.67,24.2,07/20/21,14:30:00,8.554214194799679
4,2021-07-20T21:45:00Z,8.65,24.36,07/20/21,14:45:00,8.534859688465962
5,2021-07-20T22:00:00Z,8.64,24.54,07/20/21,15:00:00,8.525182435299104
6,2021-07-20T22:15:00Z,8.61,24.68,07/20/21,15:15:00,8.496150675798527
7,2021-07-20T22:30:00Z,8.58,24.82,07/20/21,15:30:00,8.467118916297952
8,2021-07-20T22:45:00Z,8.55,24.96,07/20/21,15:45:00,8.438087156797378
9,2021-07-20T23:00:00Z,8.54,25.06,07/20/21,16:00:00,8.428409903630516
10,2021-07-20T23:15:00Z,8.57,24.72,07/20/21,16:15:00,8.457441663131094
11,2021-07-20T23:30:00Z,8.58,24.72,07/20/21,16:30:00,8.467118916297952
12,2021-07-20T23:45:00Z,8.57,24.88,07/20/21,16:45:00,8.457441663131094
13,2021-07-21T00:00:00Z,8.56,25,07/20/21,17:00:00,8.447764409964236
14,2021-07-21T00:15:00Z,8.38,24.76,07/20/21,17:15:00,8.273573852960782
15,2021-07-21T00:30:00Z,8.31,26.88,07/20/21,17:30:00,8.205833080792772
16,2021-07-21T00:45:00Z,8.37,26.32,07/20/21,17:45:00,8.263896599793922
17,2021-07-21T01:00:00Z,8.57,25.7,07/20/21,18:00:00,8.457441663131094
18,2021-07-21T01:15:00Z,8.65,25.36,07/20/21,18:15:00,8.534859688465962
19,2021-07-21T01:30:00Z,8.68,25.12,07/20/21,18:30:00,8.563891447966537
20,2021-07-21T01:45:00Z,8.73,24.94,07/20/21,18:45:00,8.61227771380083
21,2021-07-21T02:00:00Z,8.76,24.82,07/20/21,19:00:00,8.641309473301405
22,2021-07-21T02:15:00Z,8.78,24.72,07/20/21,19:15:00,8.660663979635123
23,2021-07-21T02:30:00Z,8.79,24.64,07/20/21,19:30:00,8.67034123280198
24,2021-07-21T02:45:00Z,8.82,24.58,07/20/21,19:45:00,8.699372992302557
25,2021-07-21T03:00:00Z,8.82,24.54,07/20/21,20:00:00,8.699372992302557
26,2021-07-21T03:15:00Z,8.83,24.5,07/20/21,20:15:00,8.709050245469415
27,2021-07-21T03:30:00Z,8.84,24.46,07/20/21,20:30:00,8.718727498636273
28,2021-07-21T03:45:00Z,8.82,24.46,07/20/21,20:45:00,8.699372992302557
29,2021-07-21T04:00:00Z,8.83,24.46,07/20/21,21:00:00,8.709050245469415
30,2021-07-21T04:15:00Z,8.83,24.44,07/20/21,21:15:00,8.709050245469415
31,2021-07-21T04:30:00Z,8.84,24.44,07/20/21,21:30:00,8.718727498636273
