scan_no,datetime,do_mgL,temp,date,time,do_cor
1,2021-07-20T21:00:00Z,8.92,23.44,07/20/21,14:00:00,8.79985545241974
2,2021-07-20T21:15:00Z,8.9,23.74,07/20/21,14:15:00,8.781736430950172
3,2021-07-20T21:30:00Z,8.83,23.98,07/20/21,14:30:00,8.718319855806687
4,2021-07-20T21:45:00Z,8.79,24.18,07/20/21,14:45:00,8.682081812867553
5,2021-07-20T22:00:00Z,8.77,24.38,07/20/21,15:00:00,8.663962791397985
6,2021-07-20T22:15:00Z,8.75,24.54,07/20/21,15:15:00,8.645843769928419
7,2021-07-20T22:30:00Z,8.66,24.94,07/20/21,15:30:00,8.564308173315368
8,2021-07-20T22:45:00Z,8.6,25.1,07/20/21,15:45:00,8.509951108906666
9,2021-07-20T23:00:00Z,8.58,25.22,07/20/21,16:00:00,8.491832087437098
10,2021-07-20T23:15:00Z,8.64,24.74,07/20/21,16:15:00,8.5461891518458
11,2021-07-20T23:30:00Z,8.65,24.78,07/20/21,16:30:00,8.555248662580583
12,2021-07-20T23:45:00Z,8.64,24.96,07/20/21,16:45:00,8.5461891518458
13,2021-07-21T00:00:00Z,8.61,25.1,07/20/21,17:00:00,8.519010619641449
14,2021-07-21T00:15:00Z,8.61,24.68,07/20/21,17:15:00,8.519010619641449
15,2021-07-21T00:30:00Z,8.66,24.66,07/20/21,17:30:00,8.564308173315368
16,2021-07-21T00:45:00Z,8.66,24.64,07/20/21,17:45:00,8.564308173315368
17,2021-07-21T01:00:00Z,8.66,24.64,07/20/21,18:00:00,8.564308173315368
18,2021-07-21T01:15:00Z,8.65,24.64,07/20/21,18:15:00,8.555248662580583
19,2021-07-21T01:30:00Z,8.65,24.62,07/20/21,18:30:00,8.555248662580583
20,2021-07-21T01:45:00Z,8.64,24.62,07/20/21,18:45:00,8.5461891518458
21,2021-07-21T02:00:00Z,8.65,24.6,07/20/21,19:00:00,8.555248662580583
22,2021-07-21T02:15:00Z,8.65,24.58,07/20/21,19:15:00,8.555248662580583
23,2021-07-21T02:30:00Z,8.66,24.58,07/20/21,19:30:00,8.564308173315368
24,2021-07-21T02:45:00Z,8.66,24.56,07/20/21,19:45:00,8.564308173315368
25,2021-07-21T03:00:00Z,8.66,24.54,07/20/21,20:00:00,8.564308173315368
26,2021-07-21T03:15:00Z,8.66,24.52,07/20/21,20:15:00,8.564308173315368
27,2021-07-21T03:30:00Z,8.65,24.56,07/20/21,20:30:00,8.555248662580583
28,2021-07-21T03:45:00Z,8.66,24.62,07/20/21,20:45:00,8.564308173315368
29,2021-07-21T04:00:00Z,8.65,24.6,07/20/21,21:00:00,8.555248662580583
30,2021-07-21T04:15:00Z,8.67,24.56,07/20/21,21:15:00,8.573367684050151
31,2021-07-21T04:30:00Z,8.68,24.5,07/20/21,21:30:00,8.582427194784934
32,2021-07-21T04:45:00Z,8.67,24.44,07/20/21,21:45:00,8.573367684050151
33,2021-07-21T05:00:00Z,8.7,24.4,07/20/21,22:00:00,8.6005462162545
34,2021-07-21T05:15:00Z,8.72,24.34,07/20/21,22:15:00,8.61866523772407
35,2021-07-21T05:30:00Z,8.7,24.28,07/20/21,22:30:00,8.6005462162545
36,2021-07-21T05:45:00Z,8.73,24.22,07/20/21,22:45:00,8.627724748458853
37,2021-07-21T06:00:00Z,8.73,24.16,07/20/21,23:00:00,8.627724748458853
38,2021-07-21T06:15:00Z,8.75,24.08,07/20/21,23:15:00,8.645843769928419
39,2021-07-21T06:30:00Z,8.76,24.02,07/20/21,23:30:00,8.654903280663202
40,2021-07-21T06:45:00Z,8.77,23.96,07/20/21,23:45:00,8.663962791397985
41,2021-07-21T07:00:00Z,8.79,23.88,07/21/21,00:00:00,8.682081812867553
42,2021-07-21T07:15:00Z,8.81,23.8,07/21/21,00:15:00,8.70020083433712
43,2021-07-21T07:30:00Z,8.82,23.72,07/21/21,00:30:00,8.709260345071904
44,2021-07-21T07:45:00Z,8.83,23.66,07/21/21,00:45:00,8.718319855806687
45,2021-07-21T08:00:00Z,8.86,23.58,07/21/21,01:00:00,8.745498388011038
46,2021-07-21T08:15:00Z,8.86,23.5,07/21/21,01:15:00,8.745498388011038
47,2021-07-21T08:30:00Z,8.88,23.44,07/21/21,01:30:00,8.763617409480606
48,2021-07-21T08:45:00Z,8.9,23.36,07/21/21,01:45:00,8.781736430950172
49,2021-07-21T09:00:00Z,8.91,23.3,07/21/21,02:00:00,8.790795941684957
50,2021-07-21T09:15:00Z,8.91,23.26,07/21/21,02:15:00,8.790795941684957
51,2021-07-21T09:30:00Z,8.93,23.2,07/21/21,02:30:00,8.808914963154523
52,2021-07-21T09:45:00Z,8.94,23.14,07/21/21,02:45:00,8.817974473889306
53,2021-07-21T10:00:00Z,8.94,23.1,07/21/21,03:00:00,8.817974473889306
54,2021-07-21T10:15:00Z,8.96,23.04,07/21/21,03:15:00,8.836093495358874
55,2021-07-21T10:30:00Z,8.96,22.98,07/21/21,03:30:00,8.836093495358874
56,2021-07-21T10:45:00Z,8.96,22.94,07/21/21,03:45:00,8.836093495358874
57,2021-07-21T11:00:00Z,8.98,22.88,07/21/21,04:00:00,8.854212516828442
58,2021-07-21T11:15:00Z,9,22.84,07/21/21,04:15:00,8.872331538298008
59,2021-07-21T11:30:00Z,9.01,22.78,07/21/21,04:30:00,8.881391049032791
60,2021-07-21T11:45:00Z,9.03,22.72,07/21/21,04:45:00,8.899510070502357
61,2021-07-21T12:00:00Z,9.03,22.68,07/21/21,05:00:00,8.899510070502357
62,2021-07-21T12:15:00Z,9.04,22.62,07/21/21,05:15:00,8.908569581237142
63,2021-07-21T12:30:00Z,9.06,22.56,07/21/21,05:30:00,8.92668860270671
64,2021-07-21T12:45:00Z,9.07,22.52,07/21/21,05:45:00,8.935748113441493
65,2021-07-21T13:00:00Z,9.07,22.48,07/21/21,06:00:00,8.935748113441493
66,2021-07-21T13:15:00Z,9.09,22.44,07/21/21,06:15:00,8.953867134911059
67,2021-07-21T13:30:00Z,9.09,22.4,07/21/21,06:30:00,8.953867134911059
68,2021-07-21T13:45:00Z,9.11,22.32,07/21/21,06:45:00,8.971986156380627
69,2021-07-21T14:00:00Z,9.17,22.02,07/21/21,07:00:00,9.026343220789329
70,2021-07-21T14:15:00Z,9.28,21.74,07/21/21,07:15:00,9.125997838871946
71,2021-07-21T14:30:00Z,9.32,21.5,07/21/21,07:30:00,9.162235881811082
72,2021-07-21T14:45:00Z,9.35,21.32,07/21/21,07:45:00,9.189414414015431
73,2021-07-21T15:00:00Z,9.39,21.18,07/21/21,08:00:00,9.225652456954567
74,2021-07-21T15:15:00Z,9.43,21.08,07/21/21,08:15:00,9.261890499893699
75,2021-07-21T15:30:00Z,9.44,21.02,07/21/21,08:30:00,9.270950010628484
76,2021-07-21T15:45:00Z,9.44,21.06,07/21/21,08:45:00,9.270950010628484
77,2021-07-21T16:00:00Z,9.43,21.1,07/21/21,09:00:00,9.261890499893699
78,2021-07-21T16:15:00Z,9.44,21.08,07/21/21,09:15:00,9.270950010628484
79,2021-07-21T16:30:00Z,9.44,21.06,07/21/21,09:30:00,9.270950010628484
80,2021-07-21T16:45:00Z,9.44,21.08,07/21/21,09:45:00,9.270950010628484
81,2021-07-21T17:00:00Z,9.44,21.12,07/21/21,10:00:00,9.270950010628484
82,2021-07-21T17:15:00Z,9.44,21.16,07/21/21,10:15:00,9.270950010628484
