"Plot Title: BO_Oxygen"
"#","Date Time, GMT-07:00","DO conc, mg/L (LGR S/N: 20409019, SEN S/N: 20409019)","Temp, °C (LGR S/N: 20409019, SEN S/N: 20409019)"
1,07/20/21 02:00:00 PM,9.05,23.28
2,07/20/21 02:15:00 PM,8.99,23.68
3,07/20/21 02:30:00 PM,8.93,23.96
4,07/20/21 02:45:00 PM,8.89,24.18
5,07/20/21 03:00:00 PM,8.84,24.44
6,07/20/21 03:15:00 PM,8.81,24.62
7,07/20/21 03:30:00 PM,8.79,24.78
8,07/20/21 03:45:00 PM,8.75,24.94
9,07/20/21 04:00:00 PM,8.74,25.06
10,07/20/21 04:15:00 PM,8.67,24.68
11,07/20/21 04:30:00 PM,8.76,24.72
12,07/20/21 04:45:00 PM,8.73,24.92
13,07/20/21 05:00:00 PM,8.68,25.08
14,07/20/21 05:15:00 PM,8.72,24.68
15,07/20/21 05:30:00 PM,8.74,24.64
16,07/20/21 05:45:00 PM,8.74,24.60
17,07/20/21 06:00:00 PM,8.76,24.62
18,07/20/21 06:15:00 PM,8.73,24.64
19,07/20/21 06:30:00 PM,8.73,24.66
20,07/20/21 06:45:00 PM,8.72,24.66
21,07/20/21 07:00:00 PM,8.72,24.64
22,07/20/21 07:15:00 PM,8.72,24.64
23,07/20/21 07:30:00 PM,8.71,24.64
24,07/20/21 07:45:00 PM,8.73,24.62
25,07/20/21 08:00:00 PM,8.72,24.60
26,07/20/21 08:15:00 PM,8.72,24.58
27,07/20/21 08:30:00 PM,8.74,24.60
28,07/20/21 08:45:00 PM,8.69,24.66
29,07/20/21 09:00:00 PM,8.70,24.64
30,07/20/21 09:15:00 PM,8.72,24.60
31,07/20/21 09:30:00 PM,8.72,24.56
32,07/20/21 09:45:00 PM,8.74,24.52
33,07/20/21 10:00:00 PM,8.74,24.46
34,07/20/21 10:15:00 PM,8.75,24.42
35,07/20/21 10:30:00 PM,8.77,24.36
36,07/20/21 10:45:00 PM,8.78,24.32
37,07/20/21 11:00:00 PM,8.80,24.26
38,07/20/21 11:15:00 PM,8.81,24.20
39,07/20/21 11:30:00 PM,8.82,24.14
40,07/20/21 11:45:00 PM,8.82,24.06
41,07/21/21 12:00:00 AM,8.83,24.00
42,07/21/21 12:15:00 AM,8.84,23.94
43,07/21/21 12:30:00 AM,8.85,23.86
44,07/21/21 12:45:00 AM,8.87,23.82
45,07/21/21 01:00:00 AM,8.87,23.74
46,07/21/21 01:15:00 AM,8.89,23.68
47,07/21/21 01:30:00 AM,8.89,23.60
48,07/21/21 01:45:00 AM,8.91,23.54
49,07/21/21 02:00:00 AM,8.91,23.48
50,07/21/21 02:15:00 AM,8.92,23.42
51,07/21/21 02:30:00 AM,8.94,23.36
52,07/21/21 02:45:00 AM,8.94,23.32
53,07/21/21 03:00:00 AM,8.95,23.26
54,07/21/21 03:15:00 AM,8.96,23.22
55,07/21/21 03:30:00 AM,8.97,23.16
56,07/21/21 03:45:00 AM,8.97,23.10
57,07/21/21 04:00:00 AM,8.99,23.06
58,07/21/21 04:15:00 AM,9.01,23.00
59,07/21/21 04:30:00 AM,9.00,22.94
60,07/21/21 04:45:00 AM,9.03,22.88
61,07/21/21 05:00:00 AM,9.02,22.84
62,07/21/21 05:15:00 AM,9.05,22.78
63,07/21/21 05:30:00 AM,9.04,22.74
64,07/21/21 05:45:00 AM,9.06,22.70
65,07/21/21 06:00:00 AM,9.08,22.64
66,07/21/21 06:15:00 AM,9.09,22.60
67,07/21/21 06:30:00 AM,9.09,22.56
68,07/21/21 06:45:00 AM,9.05,22.48
69,07/21/21 07:00:00 AM,9.06,22.16
70,07/21/21 07:15:00 AM,9.13,21.88
71,07/21/21 07:30:00 AM,9.16,21.64
72,07/21/21 07:45:00 AM,9.21,21.46
73,07/21/21 08:00:00 AM,9.24,21.32
74,07/21/21 08:15:00 AM,9.26,21.20
75,07/21/21 08:30:00 AM,9.30,21.14
76,07/21/21 08:45:00 AM,9.30,21.16
77,07/21/21 09:00:00 AM,9.32,21.20
78,07/21/21 09:15:00 AM,9.30,21.18
79,07/21/21 09:30:00 AM,9.30,21.16
80,07/21/21 09:45:00 AM,9.32,21.18
81,07/21/21 10:00:00 AM,9.33,21.20
82,07/21/21 10:15:00 AM,9.32,21.24
83,07/21/21 10:30:00 AM,9.30,21.28
84,07/21/21 10:45:00 AM,9.29,21.34
85,07/21/21 11:00:00 AM,9.29,21.40
86,07/21/21 11:15:00 AM,9.29,21.48
87,07/21/21 11:30:00 AM,9.28,21.54
88,07/21/21 11:45:00 AM,9.28,21.62
89,07/21/21 12:00:00 PM,9.26,21.74
90,07/21/21 12:15:00 PM,9.25,21.82
