"Plot Title: JL_Light"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10612025, SEN S/N: 10612025)","Intensity, Lux (LGR S/N: 10612025, SEN S/N: 10612025)"
1,07/20/21 02:00:00 PM,24.448,21.5
2,07/20/21 02:15:00 PM,24.738,32.3
3,07/20/21 02:30:00 PM,24.738,32.3
4,07/20/21 02:45:00 PM,24.931,32.3
5,07/20/21 03:00:00 PM,24.931,32.3
6,07/20/21 03:15:00 PM,25.125,32.3
7,07/20/21 03:30:00 PM,25.222,32.3
8,07/20/21 03:45:00 PM,25.319,32.3
9,07/20/21 04:00:00 PM,25.416,32.3
10,07/20/21 04:15:00 PM,24.448,32.3
11,07/20/21 04:30:00 PM,24.835,32.3
12,07/20/21 04:45:00 PM,25.222,32.3
13,07/20/21 05:00:00 PM,25.222,32.3
14,07/20/21 05:15:00 PM,24.545,32.3
15,07/20/21 05:30:00 PM,24.738,32.3
16,07/20/21 05:45:00 PM,24.738,32.3
17,07/20/21 06:00:00 PM,24.835,0.0
18,07/20/21 06:15:00 PM,24.931,0.0
19,07/20/21 06:30:00 PM,24.931,0.0
20,07/20/21 06:45:00 PM,24.931,0.0
21,07/20/21 07:00:00 PM,24.931,0.0
22,07/20/21 07:15:00 PM,24.931,0.0
23,07/20/21 07:30:00 PM,24.931,0.0
24,07/20/21 07:45:00 PM,24.835,0.0
25,07/20/21 08:00:00 PM,24.835,0.0
26,07/20/21 08:15:00 PM,24.835,0.0
27,07/20/21 08:30:00 PM,24.835,204.5
28,07/20/21 08:45:00 PM,24.931,0.0
29,07/20/21 09:00:00 PM,24.835,0.0
30,07/20/21 09:15:00 PM,24.835,0.0
31,07/20/21 09:30:00 PM,24.835,0.0
32,07/20/21 09:45:00 PM,24.738,0.0
33,07/20/21 10:00:00 PM,24.738,0.0
34,07/20/21 10:15:00 PM,24.641,0.0
35,07/20/21 10:30:00 PM,24.545,0.0
36,07/20/21 10:45:00 PM,24.545,0.0
37,07/20/21 11:00:00 PM,24.448,0.0
