"Plot Title: NI_C_Light"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10436989, SEN S/N: 10436989)","Intensity, Lux (LGR S/N: 10436989, SEN S/N: 10436989)"
1,07/20/21 02:00:00 PM,24.255,107.6
2,07/20/21 02:15:00 PM,24.448,96.9
3,07/20/21 02:30:00 PM,24.545,96.9
4,07/20/21 02:45:00 PM,24.738,96.9
5,07/20/21 03:00:00 PM,24.835,96.9
6,07/20/21 03:15:00 PM,24.931,96.9
7,07/20/21 03:30:00 PM,25.028,107.6
8,07/20/21 03:45:00 PM,24.931,193.8
9,07/20/21 04:00:00 PM,24.641,10.8
10,07/20/21 04:15:00 PM,23.581,21.5
11,07/20/21 04:30:00 PM,24.448,118.4
12,07/20/21 04:45:00 PM,25.028,118.4
13,07/20/21 05:00:00 PM,25.222,118.4
14,07/20/21 05:15:00 PM,24.641,118.4
15,07/20/21 05:30:00 PM,24.641,161.5
16,07/20/21 05:45:00 PM,24.545,161.5
17,07/20/21 06:00:00 PM,24.738,0.0
18,07/20/21 06:15:00 PM,24.931,0.0
19,07/20/21 06:30:00 PM,24.931,0.0
20,07/20/21 06:45:00 PM,24.931,0.0
21,07/20/21 07:00:00 PM,24.931,0.0
22,07/20/21 07:15:00 PM,24.931,0.0
23,07/20/21 07:30:00 PM,24.931,0.0
24,07/20/21 07:45:00 PM,24.835,0.0
25,07/20/21 08:00:00 PM,24.835,0.0
26,07/20/21 08:15:00 PM,24.835,0.0
27,07/20/21 08:30:00 PM,24.738,301.4
28,07/20/21 08:45:00 PM,24.738,0.0
29,07/20/21 09:00:00 PM,24.738,0.0
30,07/20/21 09:15:00 PM,24.835,0.0
31,07/20/21 09:30:00 PM,24.738,0.0
32,07/20/21 09:45:00 PM,24.641,0.0
33,07/20/21 10:00:00 PM,24.641,0.0
34,07/20/21 10:15:00 PM,24.545,0.0
35,07/20/21 10:30:00 PM,24.545,0.0
36,07/20/21 10:45:00 PM,24.448,0.0
37,07/20/21 11:00:00 PM,24.351,0.0
38,07/20/21 11:15:00 PM,24.255,0.0
39,07/20/21 11:30:00 PM,24.255,0.0
40,07/20/21 11:45:00 PM,24.158,0.0
41,07/21/21 12:00:00 AM,24.062,0.0
42,07/21/21 12:15:00 AM,23.966,0.0
