"Plot Title: SA_C_Oxygen"
"#","Date Time, GMT-07:00","DO conc, mg/L (LGR S/N: 10441886, SEN S/N: 10441886)","Temp, °C (LGR S/N: 10441886, SEN S/N: 10441886)"
1,07/20/21 02:00:00 PM,8.74,23.84
2,07/20/21 02:15:00 PM,8.71,24.04
3,07/20/21 02:30:00 PM,8.67,24.20
4,07/20/21 02:45:00 PM,8.65,24.36
5,07/20/21 03:00:00 PM,8.64,24.54
6,07/20/21 03:15:00 PM,8.61,24.68
7,07/20/21 03:30:00 PM,8.58,24.82
8,07/20/21 03:45:00 PM,8.55,24.96
9,07/20/21 04:00:00 PM,8.54,25.06
10,07/20/21 04:15:00 PM,8.57,24.72
11,07/20/21 04:30:00 PM,8.58,24.72
12,07/20/21 04:45:00 PM,8.57,24.88
13,07/20/21 05:00:00 PM,8.56,25.00
14,07/20/21 05:15:00 PM,8.38,24.76
15,07/20/21 05:30:00 PM,8.31,26.88
16,07/20/21 05:45:00 PM,8.37,26.32
17,07/20/21 06:00:00 PM,8.57,25.70
18,07/20/21 06:15:00 PM,8.65,25.36
19,07/20/21 06:30:00 PM,8.68,25.12
20,07/20/21 06:45:00 PM,8.73,24.94
21,07/20/21 07:00:00 PM,8.76,24.82
22,07/20/21 07:15:00 PM,8.78,24.72
23,07/20/21 07:30:00 PM,8.79,24.64
24,07/20/21 07:45:00 PM,8.82,24.58
25,07/20/21 08:00:00 PM,8.82,24.54
26,07/20/21 08:15:00 PM,8.83,24.50
27,07/20/21 08:30:00 PM,8.84,24.46
28,07/20/21 08:45:00 PM,8.82,24.46
29,07/20/21 09:00:00 PM,8.83,24.46
30,07/20/21 09:15:00 PM,8.83,24.44
31,07/20/21 09:30:00 PM,8.84,24.44
32,07/20/21 09:45:00 PM,8.85,24.42
33,07/20/21 10:00:00 PM,8.86,24.40
34,07/20/21 10:15:00 PM,8.86,24.36
35,07/20/21 10:30:00 PM,8.87,24.32
36,07/20/21 10:45:00 PM,8.87,24.30
37,07/20/21 11:00:00 PM,8.89,24.26
38,07/20/21 11:15:00 PM,8.90,24.20
39,07/20/21 11:30:00 PM,8.91,24.16
40,07/20/21 11:45:00 PM,8.92,24.10
41,07/21/21 12:00:00 AM,8.92,24.04
42,07/21/21 12:15:00 AM,8.93,23.98
43,07/21/21 12:30:00 AM,8.93,23.94
44,07/21/21 12:45:00 AM,8.95,23.86
45,07/21/21 01:00:00 AM,8.96,23.80
46,07/21/21 01:15:00 AM,8.98,23.74
47,07/21/21 01:30:00 AM,8.98,23.66
48,07/21/21 01:45:00 AM,9.00,23.60
49,07/21/21 02:00:00 AM,9.01,23.54
50,07/21/21 02:15:00 AM,9.02,23.48
51,07/21/21 02:30:00 AM,9.03,23.42
52,07/21/21 02:45:00 AM,9.03,23.36
53,07/21/21 03:00:00 AM,9.05,23.32
54,07/21/21 03:15:00 AM,9.06,23.26
55,07/21/21 03:30:00 AM,9.07,23.20
56,07/21/21 03:45:00 AM,9.07,23.16
57,07/21/21 04:00:00 AM,9.08,23.10
58,07/21/21 04:15:00 AM,9.08,23.04
59,07/21/21 04:30:00 AM,9.09,22.98
60,07/21/21 04:45:00 AM,9.10,22.94
61,07/21/21 05:00:00 AM,9.11,22.88
62,07/21/21 05:15:00 AM,9.12,22.84
63,07/21/21 05:30:00 AM,9.14,22.78
64,07/21/21 05:45:00 AM,9.14,22.74
65,07/21/21 06:00:00 AM,9.15,22.68
66,07/21/21 06:15:00 AM,9.16,22.64
67,07/21/21 06:30:00 AM,9.17,22.60
68,07/21/21 06:45:00 AM,9.17,22.56
69,07/21/21 07:00:00 AM,9.17,22.46
70,07/21/21 07:15:00 AM,9.18,22.32
71,07/21/21 07:30:00 AM,9.22,22.16
72,07/21/21 07:45:00 AM,9.25,22.00
73,07/21/21 08:00:00 AM,9.27,21.84
74,07/21/21 08:15:00 AM,9.31,21.70
75,07/21/21 08:30:00 AM,9.33,21.60
76,07/21/21 08:45:00 AM,9.35,21.50
77,07/21/21 09:00:00 AM,9.36,21.48
78,07/21/21 09:15:00 AM,9.37,21.44
79,07/21/21 09:30:00 AM,9.37,21.40
80,07/21/21 09:45:00 AM,9.39,21.40
81,07/21/21 10:00:00 AM,9.39,21.40
82,07/21/21 10:15:00 AM,9.39,21.40
83,07/21/21 10:30:00 AM,9.38,21.40
84,07/21/21 10:45:00 AM,9.38,21.42
85,07/21/21 11:00:00 AM,9.38,21.44
86,07/21/21 11:15:00 AM,9.39,21.48
87,07/21/21 11:30:00 AM,9.39,21.54
88,07/21/21 11:45:00 AM,9.38,21.58
89,07/21/21 12:00:00 PM,9.37,21.64
90,07/21/21 12:15:00 PM,9.36,21.72
91,07/21/21 12:30:00 PM,9.34,21.80
92,07/21/21 12:45:00 PM,9.34,21.90
93,07/21/21 01:00:00 PM,9.31,22.00
94,07/21/21 01:15:00 PM,9.30,22.12
95,07/21/21 01:30:00 PM,9.28,22.28
96,07/21/21 01:45:00 PM,9.26,22.44
97,07/21/21 02:00:00 PM,9.23,22.62
98,07/21/21 02:15:00 PM,9.20,22.78
99,07/21/21 02:30:00 PM,9.16,22.94
100,07/21/21 02:45:00 PM,9.12,23.08
101,07/21/21 03:00:00 PM,9.11,23.24
102,07/21/21 03:15:00 PM,9.07,23.40
103,07/21/21 03:30:00 PM,9.06,23.54
104,07/21/21 03:45:00 PM,9.03,23.72
105,07/21/21 04:00:00 PM,9.01,23.80
106,07/21/21 04:15:00 PM,8.88,24.20
107,07/21/21 04:30:00 PM,8.61,25.66
108,07/21/21 04:45:00 PM,8.33,27.04
109,07/21/21 05:00:00 PM,8.35,26.56
110,07/21/21 05:15:00 PM,8.39,26.32
111,07/21/21 05:30:00 PM,8.39,26.44
112,07/21/21 05:45:00 PM,8.44,26.04
113,07/21/21 06:00:00 PM,8.51,25.64
114,07/21/21 06:15:00 PM,8.57,25.28
115,07/21/21 06:30:00 PM,8.65,24.90
116,07/21/21 06:45:00 PM,8.67,24.54
117,07/21/21 07:00:00 PM,8.73,24.26
118,07/21/21 07:15:00 PM,8.77,24.04
119,07/21/21 07:30:00 PM,8.81,23.82
120,07/21/21 07:45:00 PM,8.85,23.60
121,07/21/21 08:00:00 PM,8.90,23.38
122,07/21/21 08:15:00 PM,8.94,23.16
123,07/21/21 08:30:00 PM,8.99,22.92
124,07/21/21 08:45:00 PM,9.02,22.68
125,07/21/21 09:00:00 PM,9.07,22.42
126,07/21/21 09:15:00 PM,9.13,22.20
127,07/21/21 09:30:00 PM,9.17,21.94
128,07/21/21 09:45:00 PM,9.22,21.72
129,07/21/21 10:00:00 PM,9.29,21.48
130,07/21/21 10:15:00 PM,9.32,21.26
131,07/21/21 10:30:00 PM,9.37,21.04
132,07/21/21 10:45:00 PM,9.40,20.84
133,07/21/21 11:00:00 PM,9.45,20.68
134,07/21/21 11:15:00 PM,9.50,20.48
135,07/21/21 11:30:00 PM,9.53,20.32
136,07/21/21 11:45:00 PM,9.58,20.14
137,07/22/21 12:00:00 AM,9.61,19.96
138,07/22/21 12:15:00 AM,9.65,19.80
139,07/22/21 12:30:00 AM,9.67,19.64
140,07/22/21 12:45:00 AM,9.72,19.48
141,07/22/21 01:00:00 AM,9.75,19.34
142,07/22/21 01:15:00 AM,9.79,19.18
143,07/22/21 01:30:00 AM,9.81,19.02
144,07/22/21 01:45:00 AM,9.85,18.88
145,07/22/21 02:00:00 AM,9.86,18.74
146,07/22/21 02:15:00 AM,9.90,18.60
147,07/22/21 02:30:00 AM,9.93,18.46
148,07/22/21 02:45:00 AM,9.95,18.34
149,07/22/21 03:00:00 AM,9.97,18.22
150,07/22/21 03:15:00 AM,9.99,18.10
151,07/22/21 03:30:00 AM,10.02,17.98
152,07/22/21 03:45:00 AM,10.05,17.86
153,07/22/21 04:00:00 AM,10.07,17.74
154,07/22/21 04:15:00 AM,10.10,17.62
155,07/22/21 04:30:00 AM,10.13,17.48
156,07/22/21 04:45:00 AM,10.16,17.36
157,07/22/21 05:00:00 AM,10.18,17.26
158,07/22/21 05:15:00 AM,10.20,17.16
159,07/22/21 05:30:00 AM,10.22,17.06
160,07/22/21 05:45:00 AM,10.24,16.98
161,07/22/21 06:00:00 AM,10.26,16.90
162,07/22/21 06:15:00 AM,10.28,16.84
163,07/22/21 06:30:00 AM,10.29,16.78
164,07/22/21 06:45:00 AM,10.29,16.74
165,07/22/21 07:00:00 AM,10.29,16.78
166,07/22/21 07:15:00 AM,10.28,16.86
167,07/22/21 07:30:00 AM,10.26,17.02
168,07/22/21 07:45:00 AM,10.22,17.22
169,07/22/21 08:00:00 AM,10.15,17.46
170,07/22/21 08:15:00 AM,10.10,17.74
171,07/22/21 08:30:00 AM,10.03,18.04
172,07/22/21 08:45:00 AM,9.75,18.66
173,07/22/21 09:00:00 AM,9.82,18.24
174,07/22/21 09:15:00 AM,9.44,18.92
175,07/22/21 09:30:00 AM,8.87,21.24
176,07/22/21 09:45:00 AM,8.75,20.42
177,07/22/21 10:00:00 AM,8.38,22.18
178,07/22/21 10:15:00 AM,8.14,23.64
179,07/22/21 10:30:00 AM,8.06,24.56
180,07/22/21 10:45:00 AM,8.67,21.62
181,07/22/21 11:00:00 AM,8.30,23.60
182,07/22/21 11:15:00 AM,7.98,25.38
183,07/22/21 11:30:00 AM,7.83,26.12
184,07/22/21 11:45:00 AM,7.75,27.10
185,07/22/21 12:00:00 PM,7.87,26.48
186,07/22/21 12:15:00 PM,7.95,26.82
187,07/22/21 12:30:00 PM,17.94,25.26
188,07/22/21 12:45:00 PM,17.70,23.56
189,07/22/21 01:00:00 PM,16.62,22.78
190,07/22/21 01:15:00 PM,16.42,22.32
191,07/22/21 01:30:00 PM,17.61,22.36
192,07/22/21 01:45:00 PM,18.12,22.36
193,07/22/21 02:00:00 PM,17.69,21.72
194,07/22/21 02:15:00 PM,17.00,20.70
195,07/22/21 02:30:00 PM,14.89,17.92
196,07/22/21 02:45:00 PM,13.39,15.04
197,07/22/21 03:00:00 PM,12.70,14.36
198,07/22/21 03:15:00 PM,12.63,14.30
199,07/22/21 03:30:00 PM,12.27,14.22
200,07/22/21 03:45:00 PM,11.97,14.06
201,07/22/21 04:00:00 PM,11.75,13.88
202,07/22/21 04:15:00 PM,11.43,13.76
203,07/22/21 04:30:00 PM,11.37,13.72
204,07/22/21 04:45:00 PM,11.43,13.66
205,07/22/21 05:00:00 PM,11.01,13.58
206,07/22/21 05:15:00 PM,11.32,13.50
207,07/22/21 05:30:00 PM,10.88,13.46
208,07/22/21 05:45:00 PM,11.16,13.48
209,07/22/21 06:00:00 PM,11.22,13.50
210,07/22/21 06:15:00 PM,11.05,13.48
211,07/22/21 06:30:00 PM,11.05,13.50
212,07/22/21 06:45:00 PM,11.03,13.54
213,07/22/21 07:00:00 PM,10.89,13.56
214,07/22/21 07:15:00 PM,10.89,13.54
215,07/22/21 07:30:00 PM,10.87,13.50
216,07/22/21 07:45:00 PM,11.25,13.50
217,07/22/21 08:00:00 PM,11.33,13.52
218,07/22/21 08:15:00 PM,10.90,13.56
219,07/22/21 08:30:00 PM,10.66,13.58
220,07/22/21 08:45:00 PM,10.65,13.62
221,07/22/21 09:00:00 PM,10.63,13.64
222,07/22/21 09:15:00 PM,10.60,13.66
223,07/22/21 09:30:00 PM,10.58,13.70
224,07/22/21 09:45:00 PM,10.03,13.72
225,07/22/21 10:00:00 PM,9.81,13.74
226,07/22/21 10:15:00 PM,10.12,13.76
227,07/22/21 10:30:00 PM,9.50,13.78
228,07/22/21 10:45:00 PM,9.42,13.78
229,07/22/21 11:00:00 PM,9.36,13.80
230,07/22/21 11:15:00 PM,9.41,13.82
231,07/22/21 11:30:00 PM,9.20,13.82
232,07/22/21 11:45:00 PM,9.46,13.82
