7392-122893
OS REV: 1.11 Sensor Cal: 1439861837
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1627863360,+3.50,+16.970,+10.605,+1.017
1627864260,+3.50,+16.996,+10.670,+1.019
1627865160,+3.50,+17.039,+10.803,+1.018
1627866060,+3.50,+17.098,+10.907,+1.017
1627866960,+3.50,+17.124,+10.892,+1.016
1627867860,+3.50,+17.124,+10.915,+1.017
1627868760,+3.50,+17.141,+10.844,+1.018
1627869660,+3.50,+17.149,+10.864,+1.020
1627870560,+3.50,+17.158,+10.880,+1.021
1627871460,+3.50,+17.184,+10.862,+1.020
1627872360,+3.50,+17.201,+10.806,+1.021
1627873260,+3.50,+17.201,+10.754,+1.020
1627874160,+3.50,+17.209,+10.737,+1.020
1627875060,+3.50,+17.235,+10.678,+1.022
1627875960,+3.50,+17.294,+10.579,+1.020
1627876860,+3.50,+17.422,+10.529,+1.020
1627877760,+3.50,+17.533,+10.479,+1.020
1627878660,+3.50,+17.601,+10.686,+1.022
1627879560,+3.50,+17.533,+10.814,+1.020
1627880460,+3.50,+17.482,+10.791,+1.022
1627881360,+3.50,+17.405,+10.818,+1.020
1627882260,+3.50,+17.328,+10.787,+1.021
1627883160,+3.50,+17.286,+10.672,+1.020
1627884060,+3.50,+17.269,+10.543,+1.020
1627884960,+3.49,+17.269,+10.301,+1.019
1627885860,+3.50,+17.269,+10.044,+1.017
1627886760,+3.50,+17.277,+10.049,+1.019
1627887660,+3.50,+17.303, +9.894,+1.018
1627888560,+3.50,+17.286, +9.755,+1.016
1627889460,+3.50,+17.294, +9.482,+1.015
1627890360,+3.50,+17.269, +8.990,+1.012
1627891260,+3.50,+17.286, +9.551,+1.019
1627892160,+3.50,+17.371, +9.829,+1.021
1627893060,+3.50,+17.507, +9.852,+1.022
1627893960,+3.50,+17.839, +9.718,+1.022
1627894860,+3.50,+18.459, +9.518,+1.021
1627895760,+3.50,+18.942, +9.397,+1.021
1627896660,+3.50,+19.238, +9.474,+1.021
1627897560,+3.50,+19.365, +9.483,+1.020
1627898460,+3.50,+19.458, +9.417,+1.020
1627899360,+3.50,+19.491, +9.338,+1.020
1627900260,+3.50,+19.475, +9.299,+1.021
1627901160,+3.50,+19.483, +9.185,+1.021
1627902060,+3.50,+19.500, +9.090,+1.021
1627902960,+3.50,+19.475, +9.000,+1.019
1627903860,+3.50,+19.373, +8.855,+1.021
1627904760,+3.50,+19.348, +8.647,+1.021
1627905660,+3.50,+19.356, +8.608,+1.022
1627906560,+3.50,+19.483, +8.334,+1.022
1627907460,+3.50,+19.576, +8.104,+1.020
1627908360,+3.50,+19.703, +7.896,+1.019
1627909260,+3.50,+19.796, +7.724,+1.019
1627910160,+3.50,+19.762, +7.577,+1.019
1627911060,+3.50,+19.652, +7.430,+1.017
1627911960,+3.50,+19.508, +7.379,+1.018
1627912860,+3.50,+19.170, +7.312,+1.017
1627913760,+3.50,+18.942, +7.378,+1.018
1627914660,+3.50,+18.611, +7.371,+1.019
1627915560,+3.50,+18.467, +7.322,+1.018
1627916460,+3.50,+18.425, +7.369,+1.019
1627917360,+3.50,+18.442, +7.430,+1.020
1627918260,+3.50,+18.492, +8.129,+1.017
1627919160,+3.50,+18.577, +8.351,+1.015
1627920060,+3.50,+18.721, +8.361,+1.015
1627920960,+3.50,+18.933, +8.184,+1.019
1627921860,+3.50,+19.026, +8.180,+1.018
1627922760,+3.50,+19.119, +8.201,+1.020
1627923660,+3.50,+19.238, +8.433,+1.019
1627924560,+3.50,+19.508, +9.190,+1.009
1627925460,+3.50,+19.737, +9.756,+1.004
1627926360,+3.51,+19.694, +9.605,+1.014
1627927260,+3.51,+19.593, +9.618,+1.016
1627928160,+3.50,+19.026, +9.712,+1.017
1627929060,+3.51,+17.941, +9.845,+1.020
1627929960,+3.50,+17.601, +9.947,+1.019
1627930860,+3.50,+17.192,+10.011,+1.018
1627931760,+3.50,+16.919,+10.101,+1.020
1627932660,+3.51,+16.800,+10.225,+1.021
1627933560,+3.51,+16.740,+10.390,+1.021
1627934460,+3.50,+16.723,+10.472,+1.020
1627935360,+3.50,+16.586,+10.527,+1.022
1627936260,+3.50,+16.500,+10.564,+1.019
1627937160,+3.50,+16.398,+10.725,+1.020
1627938060,+3.50,+16.303,+10.792,+1.018
1627938960,+3.50,+16.295,+10.779,+1.020
1627939860,+3.50,+16.355,+10.934,+1.021
1627940760,+3.50,+16.363,+10.984,+1.022
1627941660,+3.50,+16.415,+11.220,+1.020
1627942560,+3.50,+16.398,+11.381,+1.018
1627943460,+3.50,+16.423,+11.529,+1.017
1627944360,+3.50,+16.492,+11.631,+1.017
1627945260,+3.50,+16.509,+11.768,+1.021
1627946160,+3.50,+16.569,+11.875,+1.016
1627947060,+3.50,+16.611,+11.925,+1.017
1627947960,+3.50,+16.697,+11.785,+1.017
1627948860,+3.50,+16.765,+11.778,+1.019
1627949760,+3.50,+16.808,+11.864,+1.019
