MiniDOT Logger Concatenated Data File
Sensor:             7392-122893
Concatenation Date: 2022Feb17 13:09:49 PST

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Pacific Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1626815760,           2021-07-20 21:16:00,           2021-07-20 14:16:00,      3.500000,     24.544000,          7.994000,                    95.933000,      1.020000
                1626816660,           2021-07-20 21:31:00,           2021-07-20 14:31:00,      3.510000,     24.796000,          7.982000,                    96.236866,      1.021000
                1626817560,           2021-07-20 21:46:00,           2021-07-20 14:46:00,      3.510000,     25.058000,          7.927000,                    96.036684,      1.018000
                1626818460,           2021-07-20 22:01:00,           2021-07-20 15:01:00,      3.510000,     25.311000,          7.916000,                    96.350321,      1.020000
                1626819360,           2021-07-20 22:16:00,           2021-07-20 15:16:00,      3.510000,     25.471000,          7.891000,                    96.328015,      1.019000
                1626820260,           2021-07-20 22:31:00,           2021-07-20 15:31:00,      3.510000,     25.665000,          7.863000,                    96.327162,      1.019000
                1626821160,           2021-07-20 22:46:00,           2021-07-20 15:46:00,      3.510000,     25.783000,          7.861000,                    96.510131,      1.019000
                1626822060,           2021-07-20 23:01:00,           2021-07-20 16:01:00,      3.510000,     25.926000,          7.855000,                    96.687847,      1.021000
                1626822960,           2021-07-20 23:16:00,           2021-07-20 16:16:00,      3.510000,     25.572000,          7.878000,                    96.347128,      1.020000
                1626823860,           2021-07-20 23:31:00,           2021-07-20 16:31:00,      3.520000,     25.530000,          7.862000,                    96.077651,      1.018000
                1626824760,           2021-07-20 23:46:00,           2021-07-20 16:46:00,      3.520000,     25.918000,          7.838000,                    96.464555,      1.019000
                1626825660,           2021-07-21 00:01:00,           2021-07-20 17:01:00,      3.520000,     25.892000,          7.854000,                    96.615763,      1.020000
                1626826560,           2021-07-21 00:16:00,           2021-07-20 17:16:00,      3.520000,     25.437000,          7.861000,                    95.902085,      1.017000
                1626827460,           2021-07-21 00:31:00,           2021-07-20 17:31:00,      3.520000,     25.311000,          7.925000,                    96.459866,      1.020000
                1626828360,           2021-07-21 00:46:00,           2021-07-20 17:46:00,      3.520000,     25.226000,          7.915000,                    96.187969,      1.018000
                1626829260,           2021-07-21 01:01:00,           2021-07-20 18:01:00,      3.520000,     25.243000,          7.911000,                    96.169375,      1.019000
                1626830160,           2021-07-21 01:16:00,           2021-07-20 18:16:00,      3.520000,     25.252000,          7.911000,                    96.185267,      1.019000
                1626831060,           2021-07-21 01:31:00,           2021-07-20 18:31:00,      3.520000,     25.260000,          7.908000,                    96.162913,      1.020000
                1626831960,           2021-07-21 01:46:00,           2021-07-20 18:46:00,      3.520000,     25.235000,          7.898000,                    95.997239,      1.019000
                1626832860,           2021-07-21 02:01:00,           2021-07-20 19:01:00,      3.530000,     25.252000,          7.897000,                    96.015049,      1.019000
                1626833760,           2021-07-21 02:16:00,           2021-07-20 19:16:00,      3.530000,     25.235000,          7.923000,                    96.301105,      1.021000
                1626834660,           2021-07-21 02:31:00,           2021-07-20 19:31:00,      3.530000,     25.235000,          7.926000,                    96.337569,      1.021000
                1626835560,           2021-07-21 02:46:00,           2021-07-20 19:46:00,      3.530000,     25.235000,          7.911000,                    96.155250,      1.021000
