7450-914536
OS REV: 1.05 Sensor Cal: 1620327588
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1629260160,+3.51,+14.465, +9.418,+0.932
1629261060,+3.51,+14.413, +9.570,+0.933
1629261960,+3.51,+14.404, +9.168,+0.933
1629262860,+3.51,+14.456, +8.498,+0.933
1629263760,+3.51,+14.482, +8.372,+0.933
1629264660,+3.51,+14.534, +8.356,+0.933
1629265560,+3.51,+14.534, +8.054,+0.933
1629266460,+3.51,+14.517, +7.370,+0.932
1629267360,+3.51,+14.525, +8.454,+0.932
1629268260,+3.51,+14.430, +8.993,+0.932
1629269160,+3.51,+14.352, +9.145,+0.933
1629270060,+3.51,+14.344, +8.766,+0.933
1629270960,+3.51,+14.352, +8.391,+0.933
1629271860,+3.51,+14.361, +8.285,+0.933
1629272760,+3.51,+14.370, +7.583,+0.933
1629273660,+3.51,+14.404, +7.622,+0.933
1629274560,+3.51,+14.430, +7.791,+0.933
1629275460,+3.51,+14.491, +7.705,+0.933
1629276360,+3.51,+14.465, +7.492,+0.933
1629277260,+3.51,+14.491, +7.232,+0.933
1629278160,+3.51,+14.499, +6.257,+0.934
1629279060,+3.51,+14.620, +5.507,+0.935
1629279960,+3.51,+14.999, +6.478,+0.933
1629280860,+3.51,+15.532, +7.821,+0.933
1629281760,+3.51,+15.805, +8.307,+0.933
1629282660,+3.51,+15.874, +8.672,+0.932
1629283560,+3.51,+15.874, +8.676,+0.932
1629284460,+3.51,+15.993, +8.418,+0.932
1629285360,+3.51,+16.309, +8.053,+0.932
1629286260,+3.51,+16.402, +7.916,+0.932
1629287160,+3.51,+16.377, +7.727,+0.932
1629288060,+3.51,+16.360, +7.550,+0.932
1629288960,+3.51,+16.334, +7.440,+0.932
1629289860,+3.51,+16.377, +7.346,+0.932
1629290760,+3.51,+16.402, +7.207,+0.932
1629291660,+3.51,+16.411, +6.995,+0.932
1629292560,+3.51,+16.385, +6.778,+0.932
1629293460,+3.51,+16.377, +6.616,+0.933
1629294360,+3.51,+16.360, +6.413,+0.932
1629295260,+3.51,+16.402, +6.357,+0.932
1629296160,+3.51,+16.445, +6.525,+0.932
1629297060,+3.51,+16.385, +6.929,+0.933
1629297960,+3.51,+16.258, +7.661,+0.932
1629298860,+3.51,+16.215, +8.377,+0.931
1629299760,+3.51,+16.215, +9.268,+0.931
1629300660,+3.51,+16.249,+10.356,+0.931
1629301560,+3.51,+16.343,+11.447,+0.931
1629302460,+3.51,+16.530,+11.853,+0.931
1629303360,+3.51,+16.725,+13.399,+0.932
1629304260,+3.51,+16.912,+14.289,+0.932
1629305160,+3.51,+17.065,+14.750,+0.932
1629306060,+3.51,+17.242,+14.631,+0.932
1629306960,+3.51,+17.445,+14.704,+0.933
1629307860,+3.51,+17.192,+11.360,+0.931
1629308760,+3.51,+17.073, +9.921,+0.930
1629309660,+3.51,+17.454,+12.242,+0.931
1629310560,+3.51,+17.521,+11.499,+0.931
1629311460,+3.51,+16.878, +9.014,+0.930
1629312360,+3.51,+16.496, +8.650,+0.931
1629313260,+3.51,+16.249, +8.857,+0.932
1629314160,+3.51,+15.993, +8.646,+0.932
1629315060,+3.51,+15.343, +8.644,+0.931
1629315960,+3.51,+14.612, +8.471,+0.932
1629316860,+3.51,+14.127, +8.267,+0.932
1629317760,+3.51,+13.901, +8.142,+0.932
1629318660,+3.52,+13.806, +8.114,+0.933
1629319560,+3.51,+13.780, +8.077,+0.933
1629320460,+3.52,+13.693, +8.032,+0.933
1629321360,+3.52,+13.675, +8.131,+0.933
1629322260,+3.52,+13.693, +8.224,+0.933
1629323160,+3.51,+13.814, +8.342,+0.933
1629324060,+3.51,+13.884, +8.411,+0.933
1629324960,+3.51,+13.884, +8.575,+0.933
1629325860,+3.51,+13.945, +9.098,+0.933
1629326760,+3.51,+14.075, +9.128,+0.933
1629327660,+3.51,+14.136, +8.922,+0.933
1629328560,+3.51,+14.075, +8.905,+0.933
1629329460,+3.51,+14.075, +8.858,+0.932
1629330360,+3.51,+14.118, +8.882,+0.933
1629331260,+3.51,+14.162, +9.142,+0.933
1629332160,+3.51,+14.188, +9.260,+0.933
1629333060,+3.51,+14.205, +9.439,+0.932
1629333960,+3.51,+14.205, +9.469,+0.932
1629334860,+3.51,+14.214, +9.628,+0.932
1629335760,+3.51,+14.240, +9.535,+0.932
1629336660,+3.51,+14.231, +9.619,+0.933
1629337560,+3.51,+14.274, +9.830,+0.932
1629338460,+3.51,+14.300, +9.958,+0.932
1629339360,+3.51,+14.318,+10.118,+0.932
1629340260,+3.51,+14.326,+10.093,+0.932
1629341160,+3.51,+14.326,+10.031,+0.932
1629342060,+3.51,+14.326,+10.169,+0.932
1629342960,+3.51,+14.318, +9.691,+0.932
1629343860,+3.51,+14.300, +9.379,+0.932
1629344760,+3.51,+14.292, +9.338,+0.933
1629345660,+3.51,+14.300, +9.232,+0.932
1629346560,+3.51,+14.300, +8.957,+0.933
