MiniDOT Logger Concatenated Data File
Sensor:             7450-914536
Concatenation Date: 2022Feb17 13:09:56 PST

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Pacific Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1626815760,           2021-07-20 21:16:00,           2021-07-20 14:16:00,      3.510000,     23.634000,          8.471000,                    99.945025,      0.938000
                1626816660,           2021-07-20 21:31:00,           2021-07-20 14:31:00,      3.510000,     23.844000,          8.428000,                    99.830259,      0.938000
                1626817560,           2021-07-20 21:46:00,           2021-07-20 14:46:00,      3.500000,     24.095000,          8.407000,                   100.049998,      0.937000
                1626818460,           2021-07-20 22:01:00,           2021-07-20 15:01:00,      3.510000,     24.397000,          8.364000,                   100.099697,      0.938000
                1626819360,           2021-07-20 22:16:00,           2021-07-20 15:16:00,      3.510000,     24.666000,          8.323000,                   100.107235,      0.938000
                1626820260,           2021-07-20 22:31:00,           2021-07-20 15:31:00,      3.510000,     24.927000,          8.273000,                    99.986882,      0.938000
                1626821160,           2021-07-20 22:46:00,           2021-07-20 15:46:00,      3.510000,     25.120000,          8.260000,                   100.185255,      0.938000
                1626822060,           2021-07-20 23:01:00,           2021-07-20 16:01:00,      3.510000,     25.221000,          8.229000,                    99.994708,      0.938000
                1626822960,           2021-07-20 23:16:00,           2021-07-20 16:16:00,      3.510000,     26.056000,          8.228000,                   101.518655,      0.940000
                1626823860,           2021-07-20 23:31:00,           2021-07-20 16:31:00,      3.510000,     26.826000,          8.146000,                   101.914303,      0.939000
                1626824760,           2021-07-20 23:46:00,           2021-07-20 16:46:00,      3.510000,     26.267000,          8.215000,                   101.746697,      0.939000
                1626825660,           2021-07-21 00:01:00,           2021-07-20 17:01:00,      3.510000,     25.837000,          8.265000,                   101.569933,      0.939000
                1626826560,           2021-07-21 00:16:00,           2021-07-20 17:16:00,      3.510000,     25.280000,          8.336000,                   101.404698,      0.939000
                1626827460,           2021-07-21 00:31:00,           2021-07-20 17:31:00,      3.510000,     25.146000,          8.354000,                   101.373835,      0.940000
                1626828360,           2021-07-21 00:46:00,           2021-07-20 17:46:00,      3.510000,     25.011000,          8.375000,                   101.376485,      0.939000
                1626829260,           2021-07-21 01:01:00,           2021-07-20 18:01:00,      3.520000,     24.910000,          8.385000,                   101.308733,      0.940000
                1626830160,           2021-07-21 01:16:00,           2021-07-20 18:16:00,      3.520000,     24.817000,          8.401000,                   101.327943,      0.940000
                1626831060,           2021-07-21 01:31:00,           2021-07-20 18:31:00,      3.520000,     24.750000,          8.405000,                   101.250741,      0.940000
                1626831960,           2021-07-21 01:46:00,           2021-07-20 18:46:00,      3.520000,     24.675000,          8.403000,                   101.086297,      0.939000
                1626832860,           2021-07-21 02:01:00,           2021-07-20 19:01:00,      3.520000,     24.658000,          8.415000,                   101.198802,      0.940000
                1626833760,           2021-07-21 02:16:00,           2021-07-20 19:16:00,      3.520000,     24.607000,          8.410000,                   101.043186,      0.939000
                1626834660,           2021-07-21 02:31:00,           2021-07-20 19:31:00,      3.520000,     24.591000,          8.424000,                   101.181389,      0.940000
                1626835560,           2021-07-21 02:46:00,           2021-07-20 19:46:00,      3.520000,     24.565000,          8.424000,                   101.132639,      0.940000
                1626836460,           2021-07-21 03:01:00,           2021-07-20 20:01:00,      3.520000,     24.532000,          8.431000,                   101.154759,      0.940000
                1626837360,           2021-07-21 03:16:00,           2021-07-20 20:16:00,      3.520000,     24.515000,          8.440000,                   101.230813,      0.940000
                1626838260,           2021-07-21 03:31:00,           2021-07-20 20:31:00,      3.520000,     24.507000,          8.434000,                   101.143834,      0.940000
                1626839160,           2021-07-21 03:46:00,           2021-07-20 20:46:00,      3.520000,     24.498000,          8.431000,                   101.090974,      0.941000
                1626840060,           2021-07-21 04:01:00,           2021-07-20 21:01:00,      3.520000,     24.515000,          8.429000,                   101.098877,      0.940000
                1626840960,           2021-07-21 04:16:00,           2021-07-20 21:16:00,      3.520000,     24.481000,          8.439000,                   101.154977,      0.940000
                1626841860,           2021-07-21 04:31:00,           2021-07-20 21:31:00,      3.520000,     24.490000,          8.447000,                   101.267784,      0.940000
                1626842760,           2021-07-21 04:46:00,           2021-07-20 21:46:00,      3.520000,     24.456000,          8.450000,                   101.239832,      0.940000
                1626843660,           2021-07-21 05:01:00,           2021-07-20 22:01:00,      3.520000,     24.439000,          8.453000,                   101.243809,      0.940000
                1626844560,           2021-07-21 05:16:00,           2021-07-20 22:16:00,      3.520000,     24.406000,          8.474000,                   101.433130,      0.940000
                1626845460,           2021-07-21 05:31:00,           2021-07-20 22:31:00,      3.520000,     24.389000,          8.468000,                   101.329294,      0.940000
                1626846360,           2021-07-21 05:46:00,           2021-07-20 22:46:00,      3.520000,     24.330000,          8.483000,                   101.397489,      0.940000
                1626847260,           2021-07-21 06:01:00,           2021-07-20 23:01:00,      3.520000,     24.280000,          8.490000,                   101.386785,      0.940000
                1626848160,           2021-07-21 06:16:00,           2021-07-20 23:16:00,      3.520000,     24.246000,          8.497000,                   101.406161,      0.940000
                1626849060,           2021-07-21 06:31:00,           2021-07-20 23:31:00,      3.520000,     24.204000,          8.508000,                   101.458021,      0.940000
                1626849960,           2021-07-21 06:46:00,           2021-07-20 23:46:00,      3.520000,     24.137000,          8.530000,                   101.593383,      0.941000
                1626850860,           2021-07-21 07:01:00,           2021-07-21 00:01:00,      3.520000,     24.087000,          8.520000,                   101.379648,      0.940000
                1626851760,           2021-07-21 07:16:00,           2021-07-21 00:16:00,      3.520000,     24.036000,          8.519000,                   101.271254,      0.939000
                1626852660,           2021-07-21 07:31:00,           2021-07-21 00:31:00,      3.520000,     23.969000,          8.543000,                   101.429465,      0.940000
                1626853560,           2021-07-21 07:46:00,           2021-07-21 00:46:00,      3.520000,     23.902000,          8.547000,                   101.349837,      0.940000
                1626854460,           2021-07-21 08:01:00,           2021-07-21 01:01:00,      3.520000,     23.827000,          8.570000,                   101.479931,      0.940000
                1626855360,           2021-07-21 08:16:00,           2021-07-21 01:16:00,      3.520000,     23.776000,          8.571000,                   101.394792,      0.940000
                1626856260,           2021-07-21 08:31:00,           2021-07-21 01:31:00,      3.530000,     23.718000,          8.570000,                   101.272708,      0.939000
                1626857160,           2021-07-21 08:46:00,           2021-07-21 01:46:00,      3.530000,     23.642000,          8.592000,                   101.387882,      0.940000
                1626858060,           2021-07-21 09:01:00,           2021-07-21 02:01:00,      3.530000,     23.584000,          8.604000,                   101.418854,      0.940000
                1626858960,           2021-07-21 09:16:00,           2021-07-21 02:16:00,      3.530000,     23.542000,          8.606000,                   101.362314,      0.940000
                1626859860,           2021-07-21 09:31:00,           2021-07-21 02:31:00,      3.530000,     23.475000,          8.617000,                   101.363937,      0.940000
                1626860760,           2021-07-21 09:46:00,           2021-07-21 02:46:00,      3.530000,     23.433000,          8.610000,                   101.201477,      0.939000
                1626861660,           2021-07-21 10:01:00,           2021-07-21 03:01:00,      3.530000,     23.366000,          8.630000,                   101.308483,      0.940000
                1626862560,           2021-07-21 10:16:00,           2021-07-21 03:16:00,      3.530000,     23.316000,          8.638000,                   101.306753,      0.940000
                1626863460,           2021-07-21 10:31:00,           2021-07-21 03:31:00,      3.520000,     23.265000,          8.655000,                   101.408401,      0.940000
                1626864360,           2021-07-21 10:46:00,           2021-07-21 03:46:00,      3.520000,     23.207000,          8.658000,                   101.332396,      0.940000
                1626865260,           2021-07-21 11:01:00,           2021-07-21 04:01:00,      3.520000,     23.173000,          8.665000,                   101.349123,      0.940000
                1626866160,           2021-07-21 11:16:00,           2021-07-21 04:16:00,      3.520000,     23.106000,          8.671000,                   101.290754,      0.940000
                1626867060,           2021-07-21 11:31:00,           2021-07-21 04:31:00,      3.520000,     23.048000,          8.684000,                   101.331196,      0.940000
                1626867960,           2021-07-21 11:46:00,           2021-07-21 04:46:00,      3.520000,     22.981000,          8.691000,                   101.284099,      0.940000
                1626868860,           2021-07-21 12:01:00,           2021-07-21 05:01:00,      3.520000,     22.955000,          8.695000,                   101.280727,      0.940000
                1626869760,           2021-07-21 12:16:00,           2021-07-21 05:16:00,      3.520000,     22.905000,          8.700000,                   101.242797,      0.940000
                1626870660,           2021-07-21 12:31:00,           2021-07-21 05:31:00,      3.530000,     22.838000,          8.728000,                   101.439384,      0.940000
                1626871560,           2021-07-21 12:46:00,           2021-07-21 05:46:00,      3.530000,     22.813000,          8.740000,                   101.530565,      0.941000
                1626872460,           2021-07-21 13:01:00,           2021-07-21 06:01:00,      3.530000,     22.746000,          8.724000,                   101.215551,      0.940000
                1626873360,           2021-07-21 13:16:00,           2021-07-21 06:16:00,      3.530000,     22.721000,          8.739000,                   101.341318,      0.940000
                1626874260,           2021-07-21 13:31:00,           2021-07-21 06:31:00,      3.530000,     22.671000,          8.743000,                   101.291148,      0.940000
                1626875160,           2021-07-21 13:46:00,           2021-07-21 06:46:00,      3.530000,     22.612000,          8.759000,                   101.362396,      0.941000
                1626876060,           2021-07-21 14:01:00,           2021-07-21 07:01:00,      3.530000,     22.470000,          8.770000,                   101.214798,      0.940000
                1626876960,           2021-07-21 14:16:00,           2021-07-21 07:16:00,      3.530000,     22.336000,          8.780000,                   101.070649,      0.940000
                1626877860,           2021-07-21 14:31:00,           2021-07-21 07:31:00,      3.530000,     22.169000,          8.801000,                   100.988328,      0.940000
                1626878760,           2021-07-21 14:46:00,           2021-07-21 07:46:00,      3.520000,     22.018000,          8.836000,                   101.095947,      0.940000
                1626879660,           2021-07-21 15:01:00,           2021-07-21 08:01:00,      3.530000,     19.037000,          9.162000,                    98.844752,      0.939000
                1626880560,           2021-07-21 15:16:00,           2021-07-21 08:16:00,      3.530000,     16.368000,          9.747000,                    99.522947,      0.939000
                1626881460,           2021-07-21 15:31:00,           2021-07-21 08:31:00,      3.540000,     15.805000,          9.877000,                    99.654281,      0.940000
                1626882360,           2021-07-21 15:46:00,           2021-07-21 08:46:00,      3.530000,     15.686000,          9.895000,                    99.582996,      0.940000
                1626883260,           2021-07-21 16:01:00,           2021-07-21 09:01:00,      3.530000,     15.669000,          9.917000,                    99.768205,      0.940000
                1626884160,           2021-07-21 16:16:00,           2021-07-21 09:16:00,      3.540000,     15.916000,          9.873000,                    99.849410,      0.940000
                1626885060,           2021-07-21 16:31:00,           2021-07-21 09:31:00,      3.540000,     15.763000,          9.856000,                    99.353480,      0.939000
                1626885960,           2021-07-21 16:46:00,           2021-07-21 09:46:00,      3.540000,     15.797000,          9.869000,                    99.556604,      0.939000
                1626886860,           2021-07-21 17:01:00,           2021-07-21 10:01:00,      3.530000,     16.283000,          9.795000,                    99.833798,      0.939000
                1626887760,           2021-07-21 17:16:00,           2021-07-21 10:16:00,      3.530000,     16.920000,         14.331000,                   148.033955,      0.941000
                1626888660,           2021-07-21 17:31:00,           2021-07-21 10:31:00,      3.530000,     17.513000,         15.568000,                   162.806789,      0.942000
                1626889560,           2021-07-21 17:46:00,           2021-07-21 10:46:00,      3.530000,     17.758000,         15.892000,                   167.037989,      0.940000
                1626890460,           2021-07-21 18:01:00,           2021-07-21 11:01:00,      3.530000,     17.876000,         16.357000,                   172.343666,      0.941000
                1626891360,           2021-07-21 18:16:00,           2021-07-21 11:16:00,      3.530000,     18.062000,         16.129000,                   170.591694,      0.942000
                1626892260,           2021-07-21 18:31:00,           2021-07-21 11:31:00,      3.530000,     18.365000,         16.120000,                   171.556357,      0.941000
