Site Name ,JOELEARY
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,14730


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,30/08/2021 , 09:50:00,1941,1941
2,30/08/2021 , 09:55:00,1200,1200
3,30/08/2021 , 10:00:00,1164,1164
4,30/08/2021 , 10:05:00,1229,1229
5,30/08/2021 , 10:10:00,1241,1241
6,30/08/2021 , 10:15:00,1220,1220
7,30/08/2021 , 10:20:00,1185,1185
8,30/08/2021 , 10:25:00,1309,1309
9,30/08/2021 , 10:30:00,1370,1370
10,30/08/2021 , 10:35:00,1236,1236
11,30/08/2021 , 10:40:00,1245,1245
12,30/08/2021 , 10:45:00,1476,1476
13,30/08/2021 , 10:50:00,1625,1625
14,30/08/2021 , 10:55:00,1889,1889
15,30/08/2021 , 11:00:00,1818,1818
16,30/08/2021 , 11:05:00,1619,1619
17,30/08/2021 , 11:10:00,1892,1892
18,30/08/2021 , 11:15:00,2139,2139
19,30/08/2021 , 11:20:00,2759,2759
20,30/08/2021 , 11:25:00,2529,2529
21,30/08/2021 , 11:30:00,2179,2179
22,30/08/2021 , 11:35:00,2591,2591
23,30/08/2021 , 11:40:00,2994,2994
24,30/08/2021 , 11:45:00,3478,3478
25,30/08/2021 , 11:50:00,3658,3658
26,30/08/2021 , 11:55:00,3993,3993
27,30/08/2021 , 12:00:00,3313,3313
28,30/08/2021 , 12:05:00,5652,5652
29,30/08/2021 , 12:10:00,9411,9411
30,30/08/2021 , 12:15:00,12411,12411
31,30/08/2021 , 12:20:00,12328,12328
32,30/08/2021 , 12:25:00,12141,12141
33,30/08/2021 , 12:30:00,6568,6568
34,30/08/2021 , 12:35:00,10170,10170
35,30/08/2021 , 12:40:00,8932,8932
36,30/08/2021 , 12:45:00,12486,12486
37,30/08/2021 , 12:50:00,11761,11761
38,30/08/2021 , 12:55:00,12397,12397
39,30/08/2021 , 13:00:00,8934,8934
40,30/08/2021 , 13:05:00,4351,4351
41,30/08/2021 , 13:10:00,8175,8175
42,30/08/2021 , 13:15:00,7156,7156
43,30/08/2021 , 13:20:00,14381,14381
44,30/08/2021 , 13:25:00,6539,6539
45,30/08/2021 , 13:30:00,11141,11141
46,30/08/2021 , 13:35:00,9444,9444
47,30/08/2021 , 13:40:00,11239,11239
48,30/08/2021 , 13:45:00,12985,12985
49,30/08/2021 , 13:50:00,10763,10763
50,30/08/2021 , 13:55:00,4659,4659
51,30/08/2021 , 14:00:00,6229,6229
52,30/08/2021 , 14:05:00,3838,3838
53,30/08/2021 , 14:10:00,99,99
54,30/08/2021 , 14:15:00,32,32
55,30/08/2021 , 14:20:00,35,35
56,30/08/2021 , 14:25:00,24,24
57,30/08/2021 , 14:30:00,19,19
58,30/08/2021 , 14:35:00,51,51
59,30/08/2021 , 14:40:00,17,17
60,30/08/2021 , 14:45:00,11,11
