Unix,Timestamp,UTC_Date_&_Time,date,time,time2,Battery,Temperature,DOmgL,DOsat,Q
1617308160,4/1/2021,20:16:00,4/1/2021,13:16:00,1,3.55,20.68,8.427,93.939237,0.998
1617309060,4/1/2021,20:31:00,4/1/2021,13:31:00,2,3.55,21.159,8.463,95.229654,1.002
1617309960,4/1/2021,20:46:00,4/1/2021,13:46:00,3,3.55,16.99,9.065,93.775097,0.999
1617310860,4/1/2021,21:01:00,4/1/2021,14:01:00,4,3.55,14.561,9.408,92.414858,0.995
1617311760,4/1/2021,21:16:00,4/1/2021,14:16:00,5,3.55,12.493,9.76,91.580855,0.995
1617312660,4/1/2021,21:31:00,4/1/2021,14:31:00,6,3.55,11.926,9.923,91.921576,0.999
1617313560,4/1/2021,21:46:00,4/1/2021,14:46:00,7,3.54,12.033,9.92,92.117792,1
1617314460,4/1/2021,22:01:00,4/1/2021,15:01:00,8,3.54,12.413,9.832,92.090062,0.999
1617315360,4/1/2021,22:16:00,4/1/2021,15:16:00,9,3.54,12.66,9.781,92.12365,0.998
1617316260,4/1/2021,22:31:00,4/1/2021,15:31:00,10,3.54,12.652,9.738,91.702152,0.999
1617317160,4/1/2021,22:46:00,4/1/2021,15:46:00,11,3.54,13.485,15.771,151.301937,1.006
1617318060,4/1/2021,23:01:00,4/1/2021,16:01:00,12,3.54,13.406,15.625,149.638884,1.001
1617318960,4/1/2021,23:16:00,4/1/2021,16:16:00,13,3.54,13.1,15.296,145.494105,1.002
1617319860,4/1/2021,23:31:00,4/1/2021,16:31:00,14,3.54,12.854,15.368,145.377179,1.002
1617320760,4/1/2021,23:46:00,4/1/2021,16:46:00,15,3.54,12.555,15.073,141.632003,1.002
1617321660,4/2/2021,0:01:00,4/1/2021,17:01:00,16,3.53,12.334,15.013,140.366385,1.002
1617322560,4/2/2021,0:16:00,4/1/2021,17:16:00,17,3.53,12.077,15.086,140.229756,1.003
1617323460,4/2/2021,0:31:00,4/1/2021,17:31:00,18,3.53,11.882,15.105,139.784755,1.002
1617324360,4/2/2021,0:46:00,4/1/2021,17:46:00,19,3.53,11.668,15.248,140.420183,1.001
1617325260,4/2/2021,1:01:00,4/1/2021,18:01:00,20,3.53,11.435,15.463,141.641447,1.004
1617326160,4/2/2021,1:16:00,4/1/2021,18:16:00,21,3.53,11.355,15.484,141.573171,1.002
1617327060,4/2/2021,1:31:00,4/1/2021,18:31:00,22,3.52,11.175,15.576,141.824827,1.002
1617327960,4/2/2021,1:46:00,4/1/2021,18:46:00,23,3.52,10.362,15.799,141.161665,1.003
1617328860,4/2/2021,2:01:00,4/1/2021,19:01:00,24,3.52,9.621,15.782,138.567724,1.003
1617329760,4/2/2021,2:16:00,4/1/2021,19:16:00,25,3.52,9.01,15.664,135.540772,1.001
1617330660,4/2/2021,2:31:00,4/1/2021,19:31:00,26,3.52,8.889,15.401,132.878206,1.003
1617331560,4/2/2021,2:46:00,4/1/2021,19:46:00,27,3.52,8.871,15.068,129.948841,1.001
1617332460,4/2/2021,3:01:00,4/1/2021,20:01:00,28,3.52,8.749,14.925,128.337932,1.003
1617333360,4/2/2021,3:16:00,4/1/2021,20:16:00,29,3.51,8.637,14.719,126.224892,1.003
1617334260,4/2/2021,3:31:00,4/1/2021,20:31:00,30,3.51,8.525,14.468,123.736783,1.002
1617335160,4/2/2021,3:46:00,4/1/2021,20:46:00,31,3.51,8.478,14.363,122.699023,1.004
1617336060,4/2/2021,4:01:00,4/1/2021,21:01:00,32,3.51,8.431,14.115,120.443129,1.002
1617336960,4/2/2021,4:16:00,4/1/2021,21:16:00,33,3.51,8.496,13.959,119.299778,1.005
1617337860,4/2/2021,4:31:00,4/1/2021,21:31:00,34,3.51,8.421,13.76,117.385445,1.002
1617338760,4/2/2021,4:46:00,4/1/2021,21:46:00,35,3.51,8.44,13.604,116.108109,1.002
1617339660,4/2/2021,5:01:00,4/1/2021,22:01:00,36,3.5,8.449,13.526,115.467584,1.004
1617340560,4/2/2021,5:16:00,4/1/2021,22:16:00,37,3.5,8.431,13.328,113.727667,1.001
1617341460,4/2/2021,5:31:00,4/1/2021,22:31:00,38,3.5,8.44,13.132,112.079659,1
1617342360,4/2/2021,5:46:00,4/1/2021,22:46:00,39,3.5,8.487,12.978,110.89154,1.001
1617343260,4/2/2021,6:01:00,4/1/2021,23:01:00,40,3.5,8.44,12.85,109.672831,1
1617344160,4/2/2021,6:16:00,4/1/2021,23:16:00,41,3.5,8.431,12.702,108.386017,1
1617345060,4/2/2021,6:31:00,4/1/2021,23:31:00,42,3.5,8.449,12.554,107.169898,1.001
1617345960,4/2/2021,6:46:00,4/1/2021,23:46:00,43,3.5,8.44,12.405,105.874823,1.002
1617346860,4/2/2021,7:01:00,4/2/2021,0:01:00,44,3.5,8.402,12.255,104.498234,1.002
1617347760,4/2/2021,7:16:00,4/2/2021,0:16:00,45,3.49,8.478,12.102,103.383943,1.001
1617348660,4/2/2021,7:31:00,4/2/2021,0:31:00,46,3.49,8.496,12.021,102.736775,1
