********LEGEND FOR FIELD NAMES LOCATED AT BOTTOM OF FILE************
Station_Code,isSWMP,m/d/y hh:mm,See Legend,See Legend,Frequency,See Legend,C,Flag Code,%,Flag Code,mb,Flag Code,m/s,Flag Code,m/s,Flag Code,time, degrees,Flag Code,sd,Flag Code,millimoles/m2, Flag Code,mm,Flag Code
"Station_Code","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","Frequency","F_Record","ATemp","F_ATemp","RH","F_RH","BP","F_BP","WSpd","F_WSpd","MaxWSpd","F_MaxWSpd","MaxWSpdT","Wdir","F_Wdir","SDWDir","F_SDWDir","TotPAR","F_TotPAR","TotPrcp","F_TotPrcp",
pdbpfmet,P,03/01/2021 00:00,0,1,15,,8.4,<0> ,78,<0> ,1019,<0> ,3.6,<0> ,5.0,<0> ,23:53,140,<0> ,7,<0> ,0.0,<0> ,0.0,<0> ,
pdbpfmet,P,03/01/2021 00:15,0,1,15,,8.3,<0> ,78,<0> ,1019,<0> ,3.6,<0> ,4.8,<0> ,00:14,141,<0> ,7,<0> ,0.0,<0> ,0.0,<0> ,
pdbpfmet,P,03/01/2021 00:30,0,1,15,,8.5,<0> ,76,<0> ,1019,<0> ,4.4,<0> ,6.2,<0> ,00:29,136,<0> ,7,<0> ,0.0,<0> ,0.0,<0> ,
pdbpfmet,P,03/01/2021 00:45,0,1,15,,8.7,<0> ,75,<0> ,1019,<0> ,4.9,<0> ,7.0,<0> ,00:31,129,<0> ,7,<0> ,0.0,<0> ,0.0,<0> ,
pdbpfmet,P,03/01/2021 01:00,0,1,15,,8.6,<0> ,75,<0> ,1019,<0> ,4.2,<0> ,6.1,<0> ,00:49,117,<0> ,10,<0> ,0.0,<0> ,0.0,<0> ,
pdbpfmet,P,03/01/2021 01:15,0,1,15,,8.3,<0> ,77,<0> ,1019,<0> ,3.9,<0> ,6.1,<0> ,01:08,113,<0> ,8,<0> ,0.0,<0> ,0.0,<0> ,
pdbpfmet,P,03/01/2021 01:30,0,1,15,,8.1,<0> ,77,<0> ,1019,<0> ,3.3,<0> ,4.8,<0> ,01:21,111,<0> ,9,<0> ,0.0,<0> ,0.0,<0> ,
pdbpfmet,P,03/01/2021 01:45,0,1,15,,8.0,<0> ,78,<0> ,1019,<0> ,2.7,<0> ,4.4,<0> ,01:37,125,<0> ,9,<0> ,0.0,<0> ,0.0,<0> ,
pdbpfmet,P,03/01/2021 02:00,0,1,15,,7.5,<0> ,81,<0> ,1019,<0> ,1.8,<0> ,3.4,<0> ,01:45,169,<0> ,33,<0> ,0.0,<0> ,0.0,<0> ,
pdbpfmet,P,03/01/2021 02:15,0,1,15,,7.5,<0> ,81,<0> ,1019,<0> ,1.3,<0> ,2.3,<0> ,02:00,168,<0> ,30,<0> ,0.0,<0> ,0.0,<0> ,
pdbpfmet,P,03/01/2021 02:30,0,1,15,,7.2,<0> ,85,<0> ,1019,<0> ,1.4,<0> ,2.2,<0> ,02:21,193,<0> ,13,<0> ,0.0,<0> ,0.0,<0> ,
pdbpfmet,P,03/01/2021 02:45,0,1,15,,7.1,<0> ,86,<0> ,1019,<0> ,0.7,<0> ,2.0,<0> ,02:44,204,<0> ,30,<0> ,0.0,<0> ,0.0,<0> ,
pdbpfmet,P,03/01/2021 03:00,0,1,15,,7.1,<0> ,85,<0> ,1018,<0> ,2.1,<0> ,3.1,<0> ,02:59,163,<0> ,7,<0> ,0.0,<0> ,0.0,<0> ,
pdbpfmet,P,03/01/2021 03:15,0,1,15,,6.9,<0> ,86,<0> ,1018,<0> ,3.0,<0> ,4.1,<0> ,03:04,151,<0> ,8,<0> ,0.0,<0> ,0.0,<0> ,
pdbpfmet,P,03/01/2021 03:30,0,1,15,,6.6,<0> ,87,<0> ,1018,<0> ,0.8,<0> ,1.9,<0> ,03:17,163,<0> ,27,<0> ,0.0,<0> ,0.0,<0> ,
pdbpfmet,P,03/01/2021 03:45,0,1,15,,6.5,<0> ,87,<0> ,1018,<0> ,1.4,<0> ,2.5,<0> ,03:43,202,<0> ,18,<0> ,0.0,<0> ,0.0,<0> ,
pdbpfmet,P,03/01/2021 04:00,0,1,15,,6.3,<0> ,88,<0> ,1018,<0> ,0.9,<0> ,2.3,<0> ,03:59,129,<0> ,38,<0> ,0.0,<0> ,0.0,<0> ,
pdbpfmet,P,03/01/2021 04:15,0,1,15,,6.5,<0> ,87,<0> ,1018,<0> ,1.6,<0> ,2.3,<0> ,04:03,170,<0> ,8,<0> ,0.0,<0> ,0.0,<0> ,
pdbpfmet,P,03/01/2021 04:30,0,1,15,,6.2,<0> ,88,<0> ,1018,<0> ,0.6,<0> ,1.3,<0> ,04:18,111,<0> ,22,<0> ,0.0,<0> ,0.0,<0> ,
pdbpfmet,P,03/01/2021 04:45,0,1,15,,6.4,<0> ,86,<0> ,1018,<0> ,0.3,<0> ,1.1,<0> ,04:45,113,<0> ,36,<0> ,0.0,<0> ,0.0,<0> ,
pdbpfmet,P,03/01/2021 05:00,0,1,15,,6.3,<0> ,86,<0> ,1018,<0> ,0.3,<0> ,1.1,<0> ,04:45,90,<0> ,15,<0> ,0.0,<0> ,0.0,<0> ,
