7392-798741
OS REV: 1.11 Sensor Cal: 1438807124
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1614375180,+3.49,+23.834, +7.817,+1.000
1614375780,+3.49,+23.850, +7.860,+1.003
1614376380,+3.49,+23.850, +7.842,+1.001
1614376980,+3.49,+23.842, +7.818,+1.000
1614377580,+3.49,+23.834, +7.858,+1.002
1614378180,+3.49,+23.842, +7.836,+1.001
1614378780,+3.49,+23.850, +7.841,+1.002
1614379380,+3.49,+23.842, +7.815,+1.000
1614379980,+3.49,+23.859, +7.859,+1.004
1614380580,+3.49,+23.842, +7.835,+1.001
1614381180,+3.49,+23.825, +7.840,+1.002
1614381780,+3.49,+23.867, +7.829,+1.002
1614382380,+3.49,+23.834, +7.836,+1.002
1614382980,+3.49,+23.842, +7.829,+1.001
1614383580,+3.49,+23.859, +7.829,+1.002
1614384180,+3.49,+23.834, +7.824,+1.001
1614384780,+3.49,+23.834, +7.835,+1.002
1614385380,+3.49,+23.834, +7.842,+1.002
1614385980,+3.49,+23.834, +7.826,+1.001
1614386580,+3.49,+23.825, +7.831,+1.001
1614387180,+3.49,+23.817, +7.822,+1.001
1614387780,+3.49,+23.850, +7.825,+1.002
1614388380,+3.49,+23.850, +7.818,+1.001
1614388980,+3.49,+23.859, +7.816,+1.002
1614389580,+3.49,+23.842, +7.811,+1.001
1614390180,+3.49,+23.842, +7.813,+1.001
1614390780,+3.49,+23.842, +7.830,+1.002
1614391380,+3.49,+23.850, +7.808,+1.001
1614391980,+3.49,+23.850, +7.805,+1.001
1614392580,+3.49,+23.850, +7.811,+1.001
1614393180,+3.49,+23.842, +7.830,+1.003
1614393780,+3.49,+23.817, +7.806,+1.001
1614394380,+3.49,+23.842, +7.827,+1.003
1614394980,+3.49,+23.817, +7.824,+1.002
1614395580,+3.49,+23.850, +7.823,+1.002
1614396180,+3.49,+23.850, +7.823,+1.003
1614396780,+3.49,+23.850, +7.831,+1.003
1614397380,+3.49,+23.834, +7.817,+1.002
1614397980,+3.49,+23.850, +7.822,+1.002
1614398580,+3.49,+23.842, +7.810,+1.002
1614399180,+3.49,+23.842, +7.820,+1.002
1614399780,+3.49,+23.834, +7.807,+1.001
1614400380,+3.49,+23.859, +7.812,+1.002
1614400980,+3.49,+23.850, +7.805,+1.001
1614401580,+3.49,+23.850, +7.800,+1.001
1614402180,+3.49,+23.850, +7.807,+1.002
1614402780,+3.49,+23.859, +7.817,+1.002
1614403380,+3.49,+23.867, +7.791,+1.000
1614403980,+3.49,+23.867, +7.805,+1.001
1614404580,+3.49,+23.884, +7.795,+1.000
1614405180,+3.49,+23.909, +7.805,+1.002
1614405780,+3.49,+23.892, +7.807,+1.001
1614406380,+3.49,+23.901, +7.806,+1.002
1614406980,+3.49,+23.926, +7.785,+1.001
1614407580,+3.49,+23.909, +7.801,+1.002
1614408180,+3.49,+23.918, +7.780,+1.000
1614408780,+3.49,+23.909, +7.806,+1.001
1614409380,+3.49,+23.918, +7.799,+1.002
1614409980,+3.49,+23.918, +7.783,+1.000
1614410580,+3.49,+23.926, +7.784,+1.001
1614411180,+3.49,+23.901, +7.778,+1.000
1614411780,+3.49,+23.926, +7.812,+1.003
1614412380,+3.49,+23.926, +7.794,+1.002
1614412980,+3.49,+23.934, +7.788,+1.001
1614413580,+3.49,+23.943, +7.766,+0.999
1614414180,+3.49,+23.943, +7.758,+0.998
1614414780,+3.49,+23.960, +7.786,+1.002
1614415380,+3.49,+23.934, +7.767,+0.999
1614415980,+3.50,+23.943, +7.784,+1.001
1614416580,+3.49,+23.960, +7.798,+1.002
1614417180,+3.49,+23.943, +7.802,+1.002
1614417780,+3.49,+23.951, +7.792,+1.001
1614418380,+3.49,+23.951, +7.784,+1.001
1614418980,+3.49,+23.976, +7.801,+1.002
1614419580,+3.49,+23.985, +7.791,+1.002
1614420180,+3.49,+23.976, +7.775,+1.001
1614420780,+3.49,+23.976, +7.812,+1.002
1614421380,+3.49,+23.960, +7.788,+1.000
1614421980,+3.49,+23.985, +7.788,+1.000
1614422580,+3.49,+23.976, +7.802,+1.002
1614423180,+3.49,+23.985, +7.791,+1.001
1614423780,+3.49,+24.002, +7.774,+1.000
1614424380,+3.49,+23.993, +7.777,+1.000
1614424980,+3.49,+23.985, +7.788,+1.001
1614425580,+3.49,+23.993, +7.813,+1.002
1614426180,+3.49,+24.002, +7.794,+1.001
1614426780,+3.49,+23.993, +7.794,+1.000
1614427380,+3.49,+23.993, +7.808,+1.002
1614427980,+3.49,+24.002, +7.788,+1.000
1614428580,+3.49,+24.010, +7.809,+1.002
1614429180,+3.49,+24.002, +7.791,+1.000
1614429780,+3.49,+24.010, +7.782,+1.001
1614430380,+3.49,+24.002, +7.793,+1.001
1614430980,+3.49,+24.010, +7.786,+1.001
1614431580,+3.49,+24.010, +7.784,+1.000
1614432180,+3.50,+24.002, +7.799,+1.001
1614432780,+3.49,+24.018, +7.799,+1.001
1614433380,+3.49,+24.010, +7.817,+1.002
1614433980,+3.49,+24.018, +7.802,+1.001
1614434580,+3.49,+24.027, +7.798,+1.001
1614435180,+3.49,+24.018, +7.792,+1.001
1614435780,+3.49,+24.010, +7.818,+1.002
1614436380,+3.49,+24.018, +7.771,+0.999
1614436980,+3.49,+24.002, +7.800,+1.000
1614437580,+3.49,+24.002, +7.816,+1.002
1614438180,+3.49,+23.976, +7.818,+1.002
1614438780,+3.49,+24.002, +7.796,+1.000
1614439380,+3.49,+24.010, +7.803,+1.000
1614439980,+3.49,+24.010, +7.790,+1.000
1614440580,+3.49,+24.010, +7.819,+1.002
1614441180,+3.49,+24.002, +7.801,+1.000
1614441780,+3.49,+24.010, +7.808,+1.001
1614442380,+3.49,+24.002, +7.795,+1.000
1614442980,+3.49,+23.993, +7.801,+1.000
1614443580,+3.50,+23.985, +7.833,+1.002
1614444180,+3.50,+24.002, +7.815,+1.002
1614444780,+3.49,+24.018, +7.799,+0.999
1614445380,+3.50,+23.993, +7.839,+1.002
1614445980,+3.49,+24.002, +7.834,+1.002
1614446580,+3.49,+24.002, +7.818,+1.001
1614447180,+3.49,+24.002, +7.829,+1.002
1614447780,+3.50,+23.993, +7.827,+1.001
1614448380,+3.50,+23.993, +7.830,+1.001
1614448980,+3.49,+23.976, +7.845,+1.002
1614449580,+3.49,+24.002, +7.826,+1.001
1614450180,+3.49,+23.993, +7.817,+1.001
1614450780,+3.49,+23.976, +7.851,+1.003
1614451380,+3.49,+23.993, +7.848,+1.002
1614451980,+3.49,+23.968, +7.848,+1.002
1614452580,+3.50,+23.985, +7.829,+1.001
1614453180,+3.50,+23.985, +7.831,+1.001
1614453780,+3.50,+23.976, +7.851,+1.001
1614454380,+3.50,+23.985, +7.822,+1.000
1614454980,+3.49,+23.968, +7.841,+1.001
1614455580,+3.50,+23.976, +7.852,+1.002
1614456180,+3.50,+23.968, +7.843,+1.001
1614456780,+3.50,+23.968, +7.821,+1.000
1614457380,+3.50,+23.960, +7.856,+1.002
1614457980,+3.50,+23.960, +7.858,+1.002
1614458580,+3.49,+23.951, +7.850,+1.001
1614459180,+3.50,+23.960, +7.833,+1.000
1614459780,+3.50,+23.943, +7.853,+1.001
1614460380,+3.50,+23.926, +7.863,+1.002
1614460980,+3.50,+23.943, +7.862,+1.002
1614461580,+3.50,+23.926, +7.862,+1.002
